Country,Month,Year,Events,Fatalities
Saint Vincent and the Grenadines,January,2018,0,0
Saint Vincent and the Grenadines,February,2018,0,0
Saint Vincent and the Grenadines,March,2018,0,0
Saint Vincent and the Grenadines,April,2018,0,0
Saint Vincent and the Grenadines,May,2018,0,0
Saint Vincent and the Grenadines,June,2018,0,0
Saint Vincent and the Grenadines,July,2018,0,0
Saint Vincent and the Grenadines,August,2018,0,0
Saint Vincent and the Grenadines,September,2018,0,0
Saint Vincent and the Grenadines,October,2018,0,0
Saint Vincent and the Grenadines,November,2018,0,0
Saint Vincent and the Grenadines,December,2018,0,0
Saint Vincent and the Grenadines,January,2019,0,0
Saint Vincent and the Grenadines,February,2019,0,0
Saint Vincent and the Grenadines,March,2019,0,0
Saint Vincent and the Grenadines,April,2019,0,0
Saint Vincent and the Grenadines,May,2019,0,0
Saint Vincent and the Grenadines,June,2019,0,0
Saint Vincent and the Grenadines,July,2019,0,0
Saint Vincent and the Grenadines,August,2019,0,0
Saint Vincent and the Grenadines,September,2019,0,0
Saint Vincent and the Grenadines,October,2019,0,0
Saint Vincent and the Grenadines,November,2019,0,0
Saint Vincent and the Grenadines,December,2019,0,0
Saint Vincent and the Grenadines,January,2020,0,0
Saint Vincent and the Grenadines,February,2020,0,0
Saint Vincent and the Grenadines,March,2020,0,0
Saint Vincent and the Grenadines,April,2020,0,0
Saint Vincent and the Grenadines,May,2020,0,0
Saint Vincent and the Grenadines,June,2020,0,0
Saint Vincent and the Grenadines,July,2020,0,0
Saint Vincent and the Grenadines,August,2020,0,0
Saint Vincent and the Grenadines,September,2020,0,0
Saint Vincent and the Grenadines,October,2020,0,0
Saint Vincent and the Grenadines,November,2020,0,0
Saint Vincent and the Grenadines,December,2020,0,0
Saint Vincent and the Grenadines,January,2021,0,0
Saint Vincent and the Grenadines,February,2021,0,0
Saint Vincent and the Grenadines,March,2021,0,0
Saint Vincent and the Grenadines,April,2021,0,0
Saint Vincent and the Grenadines,May,2021,0,0
Saint Vincent and the Grenadines,June,2021,0,0
Saint Vincent and the Grenadines,July,2021,0,0
Saint Vincent and the Grenadines,August,2021,0,0
Saint Vincent and the Grenadines,September,2021,0,0
Saint Vincent and the Grenadines,October,2021,0,0
Saint Vincent and the Grenadines,November,2021,0,0
Saint Vincent and the Grenadines,December,2021,0,0
Saint Vincent and the Grenadines,January,2022,0,0
Saint Vincent and the Grenadines,February,2022,0,0
Saint Vincent and the Grenadines,March,2022,0,0
Saint Vincent and the Grenadines,April,2022,0,0
Saint Vincent and the Grenadines,May,2022,0,0
Saint Vincent and the Grenadines,June,2022,0,0
Saint Vincent and the Grenadines,July,2022,0,0
Saint Vincent and the Grenadines,August,2022,0,0
Saint Vincent and the Grenadines,September,2022,0,0
Saint Vincent and the Grenadines,October,2022,0,0
Saint Vincent and the Grenadines,November,2022,0,0
Saint Vincent and the Grenadines,December,2022,0,0
Saint Vincent and the Grenadines,January,2023,0,0
Saint Vincent and the Grenadines,February,2023,0,0
Saint Vincent and the Grenadines,March,2023,0,0
Saint Vincent and the Grenadines,April,2023,0,0
Saint Vincent and the Grenadines,May,2023,0,0
Saint Vincent and the Grenadines,June,2023,0,0
Saint Vincent and the Grenadines,July,2023,0,0
Saint Vincent and the Grenadines,August,2023,0,0
Saint Vincent and the Grenadines,September,2023,0,0
Saint Vincent and the Grenadines,October,2023,0,0
Saint Vincent and the Grenadines,November,2023,0,0
Saint Vincent and the Grenadines,December,2023,0,0
Saint Vincent and the Grenadines,January,2024,1,0
Saint Vincent and the Grenadines,February,2024,0,0
Saint Vincent and the Grenadines,March,2024,0,0
Saint Vincent and the Grenadines,April,2024,0,0
Saint Vincent and the Grenadines,May,2024,0,0
Saint Vincent and the Grenadines,June,2024,0,0
Saint Vincent and the Grenadines,July,2024,0,0
Saint Vincent and the Grenadines,August,2024,0,0
Saint Vincent and the Grenadines,September,2024,0,0
Saint Vincent and the Grenadines,October,2024,0,0
Saint Vincent and the Grenadines,November,2024,0,0
Saint Vincent and the Grenadines,December,2024,0,0
Saint Vincent and the Grenadines,January,2025,0,0
Saint Vincent and the Grenadines,February,2025,0,0
Saint Vincent and the Grenadines,March,2025,0,0
Saint Vincent and the Grenadines,April,2025,0,0
Saint Vincent and the Grenadines,May,2025,0,0
Saint Vincent and the Grenadines,June,2025,0,0
Saint Vincent and the Grenadines,July,2025,0,0
Saint Vincent and the Grenadines,August,2025,0,0
Saint Vincent and the Grenadines,September,2025,0,0
Saint Vincent and the Grenadines,October,2025,0,0
Saint Vincent and the Grenadines,November,2025,0,0
Saint Vincent and the Grenadines,December,2025,0,0
Saint Vincent and the Grenadines,January,2026,0,0
Saint Vincent and the Grenadines,February,2026,0,0
Saint Vincent and the Grenadines,March,2026,0,0
Saint Vincent and the Grenadines,April,2026,0,0
