Country,Month,Year,Events,Fatalities
San Marino,January,2020,0,0
San Marino,February,2020,0,0
San Marino,March,2020,0,0
San Marino,April,2020,0,0
San Marino,May,2020,0,0
San Marino,June,2020,0,0
San Marino,July,2020,0,0
San Marino,August,2020,0,0
San Marino,September,2020,0,0
San Marino,October,2020,0,0
San Marino,November,2020,0,0
San Marino,December,2020,0,0
San Marino,January,2021,0,0
San Marino,February,2021,0,0
San Marino,March,2021,0,0
San Marino,April,2021,0,0
San Marino,May,2021,0,0
San Marino,June,2021,0,0
San Marino,July,2021,0,0
San Marino,August,2021,0,0
San Marino,September,2021,0,0
San Marino,October,2021,0,0
San Marino,November,2021,0,0
San Marino,December,2021,0,0
San Marino,January,2022,0,0
San Marino,February,2022,0,0
San Marino,March,2022,0,0
San Marino,April,2022,0,0
San Marino,May,2022,0,0
San Marino,June,2022,0,0
San Marino,July,2022,0,0
San Marino,August,2022,0,0
San Marino,September,2022,0,0
San Marino,October,2022,0,0
San Marino,November,2022,0,0
San Marino,December,2022,0,0
San Marino,January,2023,0,0
San Marino,February,2023,0,0
San Marino,March,2023,0,0
San Marino,April,2023,0,0
San Marino,May,2023,0,0
San Marino,June,2023,0,0
San Marino,July,2023,0,0
San Marino,August,2023,0,0
San Marino,September,2023,0,0
San Marino,October,2023,0,0
San Marino,November,2023,0,0
San Marino,December,2023,0,0
San Marino,January,2024,0,0
San Marino,February,2024,0,0
San Marino,March,2024,0,0
San Marino,April,2024,0,0
San Marino,May,2024,0,0
San Marino,June,2024,0,0
San Marino,July,2024,0,0
San Marino,August,2024,0,0
San Marino,September,2024,0,0
San Marino,October,2024,0,0
San Marino,November,2024,0,0
San Marino,December,2024,0,0
San Marino,January,2025,0,0
San Marino,February,2025,0,0
San Marino,March,2025,0,0
San Marino,April,2025,0,0
San Marino,May,2025,0,0
San Marino,June,2025,0,0
San Marino,July,2025,0,0
San Marino,August,2025,0,0
San Marino,September,2025,0,0
San Marino,October,2025,0,0
San Marino,November,2025,0,0
San Marino,December,2025,0,0
San Marino,January,2026,0,0
San Marino,February,2026,0,0
San Marino,March,2026,0,0
San Marino,April,2026,0,0
