Country,Month,Year,Events,Fatalities
Saudi Arabia,January,2015,1,0
Saudi Arabia,February,2015,0,0
Saudi Arabia,March,2015,1,1
Saudi Arabia,April,2015,0,0
Saudi Arabia,May,2015,10,39
Saudi Arabia,June,2015,1,1
Saudi Arabia,July,2015,4,1
Saudi Arabia,August,2015,3,17
Saudi Arabia,September,2015,2,4
Saudi Arabia,October,2015,2,7
Saudi Arabia,November,2015,0,0
Saudi Arabia,December,2015,3,6
Saudi Arabia,January,2016,3,9
Saudi Arabia,February,2016,4,2
Saudi Arabia,March,2016,4,1
Saudi Arabia,April,2016,2,3
Saudi Arabia,May,2016,0,0
Saudi Arabia,June,2016,1,2
Saudi Arabia,July,2016,6,5
Saudi Arabia,August,2016,15,25
Saudi Arabia,September,2016,1,1
Saudi Arabia,October,2016,2,2
Saudi Arabia,November,2016,6,3
Saudi Arabia,December,2016,2,1
Saudi Arabia,January,2017,2,1
Saudi Arabia,February,2017,6,2
Saudi Arabia,March,2017,2,1
Saudi Arabia,April,2017,3,1
Saudi Arabia,May,2017,1,1
Saudi Arabia,June,2017,5,3
Saudi Arabia,July,2017,4,3
Saudi Arabia,August,2017,1,1
Saudi Arabia,September,2017,0,0
Saudi Arabia,October,2017,2,0
Saudi Arabia,November,2017,2,0
Saudi Arabia,December,2017,0,0
Saudi Arabia,January,2018,0,0
Saudi Arabia,February,2018,1,0
Saudi Arabia,March,2018,3,1
Saudi Arabia,April,2018,3,1
Saudi Arabia,May,2018,1,0
Saudi Arabia,June,2018,2,3
Saudi Arabia,July,2018,2,0
Saudi Arabia,August,2018,1,1
Saudi Arabia,September,2018,1,0
Saudi Arabia,October,2018,1,0
Saudi Arabia,November,2018,2,0
Saudi Arabia,December,2018,0,0
Saudi Arabia,January,2019,0,0
Saudi Arabia,February,2019,0,0
Saudi Arabia,March,2019,1,0
Saudi Arabia,April,2019,1,0
Saudi Arabia,May,2019,1,0
Saudi Arabia,June,2019,3,3
Saudi Arabia,July,2019,3,1
Saudi Arabia,August,2019,1,0
Saudi Arabia,September,2019,1,1
Saudi Arabia,October,2019,1,0
Saudi Arabia,November,2019,1,0
Saudi Arabia,December,2019,0,0
Saudi Arabia,January,2020,0,0
Saudi Arabia,February,2020,0,0
Saudi Arabia,March,2020,2,0
Saudi Arabia,April,2020,2,10
Saudi Arabia,May,2020,1,0
Saudi Arabia,June,2020,2,0
Saudi Arabia,July,2020,0,0
Saudi Arabia,August,2020,0,0
Saudi Arabia,September,2020,1,0
Saudi Arabia,October,2020,1,0
Saudi Arabia,November,2020,1,0
Saudi Arabia,December,2020,0,0
Saudi Arabia,January,2021,1,0
Saudi Arabia,February,2021,0,0
Saudi Arabia,March,2021,2,0
Saudi Arabia,April,2021,0,0
Saudi Arabia,May,2021,0,0
Saudi Arabia,June,2021,0,0
Saudi Arabia,July,2021,0,0
Saudi Arabia,August,2021,1,0
Saudi Arabia,September,2021,2,1
Saudi Arabia,October,2021,2,0
Saudi Arabia,November,2021,1,0
Saudi Arabia,December,2021,2,2
Saudi Arabia,January,2022,1,0
Saudi Arabia,February,2022,2,0
Saudi Arabia,March,2022,0,0
Saudi Arabia,April,2022,1,0
Saudi Arabia,May,2022,0,0
Saudi Arabia,June,2022,2,5
Saudi Arabia,July,2022,0,0
Saudi Arabia,August,2022,1,0
Saudi Arabia,September,2022,1,0
Saudi Arabia,October,2022,2,0
Saudi Arabia,November,2022,0,0
Saudi Arabia,December,2022,0,0
Saudi Arabia,January,2023,1,185
Saudi Arabia,February,2023,1,0
Saudi Arabia,March,2023,0,0
Saudi Arabia,April,2023,0,0
Saudi Arabia,May,2023,0,0
Saudi Arabia,June,2023,0,0
Saudi Arabia,July,2023,0,0
Saudi Arabia,August,2023,1,0
Saudi Arabia,September,2023,0,0
Saudi Arabia,October,2023,0,0
Saudi Arabia,November,2023,1,0
Saudi Arabia,December,2023,0,0
Saudi Arabia,January,2024,1,5
Saudi Arabia,February,2024,0,0
Saudi Arabia,March,2024,0,0
Saudi Arabia,April,2024,0,0
Saudi Arabia,May,2024,0,0
Saudi Arabia,June,2024,0,0
Saudi Arabia,July,2024,0,0
Saudi Arabia,August,2024,0,0
Saudi Arabia,September,2024,0,0
Saudi Arabia,October,2024,0,0
Saudi Arabia,November,2024,0,0
Saudi Arabia,December,2024,1,0
Saudi Arabia,January,2025,0,0
Saudi Arabia,February,2025,0,0
Saudi Arabia,March,2025,0,0
Saudi Arabia,April,2025,0,0
Saudi Arabia,May,2025,0,0
Saudi Arabia,June,2025,0,0
Saudi Arabia,July,2025,1,1
Saudi Arabia,August,2025,0,0
Saudi Arabia,September,2025,0,0
Saudi Arabia,October,2025,0,0
Saudi Arabia,November,2025,0,0
Saudi Arabia,December,2025,0,0
Saudi Arabia,January,2026,0,0
Saudi Arabia,February,2026,0,0
Saudi Arabia,March,2026,4,3
Saudi Arabia,April,2026,0,0
