Country,Month,Year,Events,Fatalities
Sint Maarten,January,2018,0,0
Sint Maarten,February,2018,0,0
Sint Maarten,March,2018,0,0
Sint Maarten,April,2018,0,0
Sint Maarten,May,2018,0,0
Sint Maarten,June,2018,0,0
Sint Maarten,July,2018,0,0
Sint Maarten,August,2018,0,0
Sint Maarten,September,2018,0,0
Sint Maarten,October,2018,0,0
Sint Maarten,November,2018,0,0
Sint Maarten,December,2018,0,0
Sint Maarten,January,2019,0,0
Sint Maarten,February,2019,0,0
Sint Maarten,March,2019,0,0
Sint Maarten,April,2019,0,0
Sint Maarten,May,2019,0,0
Sint Maarten,June,2019,0,0
Sint Maarten,July,2019,0,0
Sint Maarten,August,2019,0,0
Sint Maarten,September,2019,0,0
Sint Maarten,October,2019,0,0
Sint Maarten,November,2019,0,0
Sint Maarten,December,2019,0,0
Sint Maarten,January,2020,0,0
Sint Maarten,February,2020,0,0
Sint Maarten,March,2020,0,0
Sint Maarten,April,2020,1,0
Sint Maarten,May,2020,0,0
Sint Maarten,June,2020,0,0
Sint Maarten,July,2020,0,0
Sint Maarten,August,2020,0,0
Sint Maarten,September,2020,0,0
Sint Maarten,October,2020,0,0
Sint Maarten,November,2020,0,0
Sint Maarten,December,2020,0,0
Sint Maarten,January,2021,0,0
Sint Maarten,February,2021,0,0
Sint Maarten,March,2021,0,0
Sint Maarten,April,2021,0,0
Sint Maarten,May,2021,0,0
Sint Maarten,June,2021,0,0
Sint Maarten,July,2021,0,0
Sint Maarten,August,2021,0,0
Sint Maarten,September,2021,0,0
Sint Maarten,October,2021,0,0
Sint Maarten,November,2021,0,0
Sint Maarten,December,2021,0,0
Sint Maarten,January,2022,0,0
Sint Maarten,February,2022,0,0
Sint Maarten,March,2022,0,0
Sint Maarten,April,2022,0,0
Sint Maarten,May,2022,0,0
Sint Maarten,June,2022,0,0
Sint Maarten,July,2022,0,0
Sint Maarten,August,2022,0,0
Sint Maarten,September,2022,0,0
Sint Maarten,October,2022,0,0
Sint Maarten,November,2022,2,0
Sint Maarten,December,2022,0,0
Sint Maarten,January,2023,0,0
Sint Maarten,February,2023,0,0
Sint Maarten,March,2023,0,0
Sint Maarten,April,2023,0,0
Sint Maarten,May,2023,0,0
Sint Maarten,June,2023,0,0
Sint Maarten,July,2023,0,0
Sint Maarten,August,2023,0,0
Sint Maarten,September,2023,0,0
Sint Maarten,October,2023,0,0
Sint Maarten,November,2023,0,0
Sint Maarten,December,2023,0,0
Sint Maarten,January,2024,0,0
Sint Maarten,February,2024,0,0
Sint Maarten,March,2024,0,0
Sint Maarten,April,2024,0,0
Sint Maarten,May,2024,0,0
Sint Maarten,June,2024,0,0
Sint Maarten,July,2024,1,1
Sint Maarten,August,2024,0,0
Sint Maarten,September,2024,0,0
Sint Maarten,October,2024,0,0
Sint Maarten,November,2024,0,0
Sint Maarten,December,2024,0,0
Sint Maarten,January,2025,0,0
Sint Maarten,February,2025,0,0
Sint Maarten,March,2025,0,0
Sint Maarten,April,2025,0,0
Sint Maarten,May,2025,0,0
Sint Maarten,June,2025,0,0
Sint Maarten,July,2025,0,0
Sint Maarten,August,2025,0,0
Sint Maarten,September,2025,0,0
Sint Maarten,October,2025,0,0
Sint Maarten,November,2025,0,0
Sint Maarten,December,2025,0,0
Sint Maarten,January,2026,0,0
Sint Maarten,February,2026,0,0
Sint Maarten,March,2026,0,0
Sint Maarten,April,2026,0,0
