Country,Month,Year,Events,Fatalities
Slovakia,January,2020,0,0
Slovakia,February,2020,0,0
Slovakia,March,2020,0,0
Slovakia,April,2020,0,0
Slovakia,May,2020,0,0
Slovakia,June,2020,0,0
Slovakia,July,2020,0,0
Slovakia,August,2020,0,0
Slovakia,September,2020,0,0
Slovakia,October,2020,0,0
Slovakia,November,2020,0,0
Slovakia,December,2020,0,0
Slovakia,January,2021,0,0
Slovakia,February,2021,0,0
Slovakia,March,2021,0,0
Slovakia,April,2021,0,0
Slovakia,May,2021,0,0
Slovakia,June,2021,0,0
Slovakia,July,2021,0,0
Slovakia,August,2021,0,0
Slovakia,September,2021,0,0
Slovakia,October,2021,0,0
Slovakia,November,2021,1,0
Slovakia,December,2021,0,0
Slovakia,January,2022,0,0
Slovakia,February,2022,0,0
Slovakia,March,2022,0,0
Slovakia,April,2022,0,0
Slovakia,May,2022,0,0
Slovakia,June,2022,0,0
Slovakia,July,2022,0,0
Slovakia,August,2022,0,0
Slovakia,September,2022,0,0
Slovakia,October,2022,2,2
Slovakia,November,2022,0,0
Slovakia,December,2022,2,0
Slovakia,January,2023,0,0
Slovakia,February,2023,0,0
Slovakia,March,2023,0,0
Slovakia,April,2023,1,0
Slovakia,May,2023,0,0
Slovakia,June,2023,0,0
Slovakia,July,2023,0,0
Slovakia,August,2023,0,0
Slovakia,September,2023,0,0
Slovakia,October,2023,0,0
Slovakia,November,2023,0,0
Slovakia,December,2023,0,0
Slovakia,January,2024,0,0
Slovakia,February,2024,0,0
Slovakia,March,2024,0,0
Slovakia,April,2024,0,0
Slovakia,May,2024,1,0
Slovakia,June,2024,0,0
Slovakia,July,2024,0,0
Slovakia,August,2024,0,0
Slovakia,September,2024,0,0
Slovakia,October,2024,1,0
Slovakia,November,2024,1,1
Slovakia,December,2024,0,0
Slovakia,January,2025,1,0
Slovakia,February,2025,0,0
Slovakia,March,2025,0,0
Slovakia,April,2025,0,0
Slovakia,May,2025,0,0
Slovakia,June,2025,0,0
Slovakia,July,2025,1,0
Slovakia,August,2025,1,0
Slovakia,September,2025,0,0
Slovakia,October,2025,0,0
Slovakia,November,2025,1,0
Slovakia,December,2025,0,0
Slovakia,January,2026,0,0
Slovakia,February,2026,0,0
Slovakia,March,2026,1,0
Slovakia,April,2026,0,0
