Country,Month,Year,Events,Fatalities
Suriname,January,2018,0,0
Suriname,February,2018,0,0
Suriname,March,2018,0,0
Suriname,April,2018,0,0
Suriname,May,2018,0,0
Suriname,June,2018,0,0
Suriname,July,2018,0,0
Suriname,August,2018,0,0
Suriname,September,2018,1,0
Suriname,October,2018,1,0
Suriname,November,2018,0,0
Suriname,December,2018,1,0
Suriname,January,2019,1,0
Suriname,February,2019,1,1
Suriname,March,2019,0,0
Suriname,April,2019,0,0
Suriname,May,2019,0,0
Suriname,June,2019,0,0
Suriname,July,2019,1,2
Suriname,August,2019,1,1
Suriname,September,2019,0,0
Suriname,October,2019,0,0
Suriname,November,2019,1,3
Suriname,December,2019,0,0
Suriname,January,2020,0,0
Suriname,February,2020,0,0
Suriname,March,2020,0,0
Suriname,April,2020,2,0
Suriname,May,2020,0,0
Suriname,June,2020,2,0
Suriname,July,2020,1,0
Suriname,August,2020,1,1
Suriname,September,2020,0,0
Suriname,October,2020,0,0
Suriname,November,2020,0,0
Suriname,December,2020,0,0
Suriname,January,2021,0,0
Suriname,February,2021,0,0
Suriname,March,2021,0,0
Suriname,April,2021,0,0
Suriname,May,2021,1,0
Suriname,June,2021,1,0
Suriname,July,2021,0,0
Suriname,August,2021,1,1
Suriname,September,2021,0,0
Suriname,October,2021,0,0
Suriname,November,2021,0,0
Suriname,December,2021,1,0
Suriname,January,2022,1,0
Suriname,February,2022,0,0
Suriname,March,2022,2,0
Suriname,April,2022,0,0
Suriname,May,2022,0,0
Suriname,June,2022,0,0
Suriname,July,2022,1,0
Suriname,August,2022,0,0
Suriname,September,2022,1,0
Suriname,October,2022,0,0
Suriname,November,2022,0,0
Suriname,December,2022,0,0
Suriname,January,2023,0,0
Suriname,February,2023,0,0
Suriname,March,2023,1,0
Suriname,April,2023,1,0
Suriname,May,2023,1,0
Suriname,June,2023,1,0
Suriname,July,2023,0,0
Suriname,August,2023,1,0
Suriname,September,2023,0,0
Suriname,October,2023,1,0
Suriname,November,2023,0,0
Suriname,December,2023,0,0
Suriname,January,2024,1,0
Suriname,February,2024,0,0
Suriname,March,2024,0,0
Suriname,April,2024,1,0
Suriname,May,2024,0,0
Suriname,June,2024,0,0
Suriname,July,2024,1,0
Suriname,August,2024,0,0
Suriname,September,2024,0,0
Suriname,October,2024,0,0
Suriname,November,2024,1,0
Suriname,December,2024,0,0
Suriname,January,2025,0,0
Suriname,February,2025,0,0
Suriname,March,2025,0,0
Suriname,April,2025,0,0
Suriname,May,2025,2,0
Suriname,June,2025,0,0
Suriname,July,2025,0,0
Suriname,August,2025,0,0
Suriname,September,2025,0,0
Suriname,October,2025,0,0
Suriname,November,2025,0,0
Suriname,December,2025,0,0
Suriname,January,2026,0,0
Suriname,February,2026,0,0
Suriname,March,2026,0,0
Suriname,April,2026,0,0
