Country,Month,Year,Events,Fatalities
Switzerland,January,2020,0,0
Switzerland,February,2020,0,0
Switzerland,March,2020,0,0
Switzerland,April,2020,0,0
Switzerland,May,2020,0,0
Switzerland,June,2020,0,0
Switzerland,July,2020,0,0
Switzerland,August,2020,0,0
Switzerland,September,2020,0,0
Switzerland,October,2020,0,0
Switzerland,November,2020,1,0
Switzerland,December,2020,0,0
Switzerland,January,2021,0,0
Switzerland,February,2021,0,0
Switzerland,March,2021,1,0
Switzerland,April,2021,0,0
Switzerland,May,2021,0,0
Switzerland,June,2021,1,0
Switzerland,July,2021,0,0
Switzerland,August,2021,1,0
Switzerland,September,2021,0,0
Switzerland,October,2021,0,0
Switzerland,November,2021,0,0
Switzerland,December,2021,0,0
Switzerland,January,2022,0,0
Switzerland,February,2022,0,0
Switzerland,March,2022,1,0
Switzerland,April,2022,0,0
Switzerland,May,2022,0,0
Switzerland,June,2022,0,0
Switzerland,July,2022,0,0
Switzerland,August,2022,0,0
Switzerland,September,2022,0,0
Switzerland,October,2022,0,0
Switzerland,November,2022,0,0
Switzerland,December,2022,0,0
Switzerland,January,2023,0,0
Switzerland,February,2023,0,0
Switzerland,March,2023,0,0
Switzerland,April,2023,0,0
Switzerland,May,2023,0,0
Switzerland,June,2023,0,0
Switzerland,July,2023,0,0
Switzerland,August,2023,0,0
Switzerland,September,2023,0,0
Switzerland,October,2023,0,0
Switzerland,November,2023,0,0
Switzerland,December,2023,0,0
Switzerland,January,2024,0,0
Switzerland,February,2024,0,0
Switzerland,March,2024,1,0
Switzerland,April,2024,0,0
Switzerland,May,2024,0,0
Switzerland,June,2024,1,0
Switzerland,July,2024,0,0
Switzerland,August,2024,0,0
Switzerland,September,2024,0,0
Switzerland,October,2024,0,0
Switzerland,November,2024,0,0
Switzerland,December,2024,0,0
Switzerland,January,2025,0,0
Switzerland,February,2025,0,0
Switzerland,March,2025,0,0
Switzerland,April,2025,0,0
Switzerland,May,2025,0,0
Switzerland,June,2025,0,0
Switzerland,July,2025,0,0
Switzerland,August,2025,0,0
Switzerland,September,2025,1,0
Switzerland,October,2025,0,0
Switzerland,November,2025,0,0
Switzerland,December,2025,0,0
Switzerland,January,2026,0,0
Switzerland,February,2026,0,0
Switzerland,March,2026,0,0
Switzerland,April,2026,0,0
