Country,Month,Year,Events,Fatalities
Taiwan,January,2018,0,0
Taiwan,February,2018,0,0
Taiwan,March,2018,2,0
Taiwan,April,2018,0,0
Taiwan,May,2018,0,0
Taiwan,June,2018,0,0
Taiwan,July,2018,0,0
Taiwan,August,2018,0,0
Taiwan,September,2018,0,0
Taiwan,October,2018,0,0
Taiwan,November,2018,0,0
Taiwan,December,2018,0,0
Taiwan,January,2019,1,0
Taiwan,February,2019,0,0
Taiwan,March,2019,0,0
Taiwan,April,2019,0,0
Taiwan,May,2019,0,0
Taiwan,June,2019,0,0
Taiwan,July,2019,0,0
Taiwan,August,2019,0,0
Taiwan,September,2019,1,0
Taiwan,October,2019,1,0
Taiwan,November,2019,0,0
Taiwan,December,2019,0,0
Taiwan,January,2020,0,0
Taiwan,February,2020,0,0
Taiwan,March,2020,0,0
Taiwan,April,2020,0,0
Taiwan,May,2020,0,0
Taiwan,June,2020,0,0
Taiwan,July,2020,0,0
Taiwan,August,2020,0,0
Taiwan,September,2020,0,0
Taiwan,October,2020,0,0
Taiwan,November,2020,0,0
Taiwan,December,2020,0,0
Taiwan,January,2021,0,0
Taiwan,February,2021,0,0
Taiwan,March,2021,0,0
Taiwan,April,2021,0,0
Taiwan,May,2021,0,0
Taiwan,June,2021,0,0
Taiwan,July,2021,0,0
Taiwan,August,2021,1,0
Taiwan,September,2021,0,0
Taiwan,October,2021,0,0
Taiwan,November,2021,0,0
Taiwan,December,2021,0,0
Taiwan,January,2022,1,0
Taiwan,February,2022,0,0
Taiwan,March,2022,0,0
Taiwan,April,2022,0,0
Taiwan,May,2022,0,0
Taiwan,June,2022,0,0
Taiwan,July,2022,0,0
Taiwan,August,2022,0,0
Taiwan,September,2022,0,0
Taiwan,October,2022,0,0
Taiwan,November,2022,2,0
Taiwan,December,2022,0,0
Taiwan,January,2023,0,0
Taiwan,February,2023,0,0
Taiwan,March,2023,0,0
Taiwan,April,2023,0,0
Taiwan,May,2023,0,0
Taiwan,June,2023,0,0
Taiwan,July,2023,0,0
Taiwan,August,2023,0,0
Taiwan,September,2023,0,0
Taiwan,October,2023,0,0
Taiwan,November,2023,0,0
Taiwan,December,2023,0,0
Taiwan,January,2024,0,0
Taiwan,February,2024,0,0
Taiwan,March,2024,0,0
Taiwan,April,2024,0,0
Taiwan,May,2024,0,0
Taiwan,June,2024,0,0
Taiwan,July,2024,0,0
Taiwan,August,2024,0,0
Taiwan,September,2024,0,0
Taiwan,October,2024,0,0
Taiwan,November,2024,0,0
Taiwan,December,2024,0,0
Taiwan,January,2025,0,0
Taiwan,February,2025,0,0
Taiwan,March,2025,0,0
Taiwan,April,2025,0,0
Taiwan,May,2025,0,0
Taiwan,June,2025,0,0
Taiwan,July,2025,0,0
Taiwan,August,2025,0,0
Taiwan,September,2025,0,0
Taiwan,October,2025,0,0
Taiwan,November,2025,0,0
Taiwan,December,2025,0,0
Taiwan,January,2026,0,0
Taiwan,February,2026,0,0
Taiwan,March,2026,0,0
Taiwan,April,2026,0,0
