Country,Month,Year,Events,Fatalities
Tanzania,January,1997,0,0
Tanzania,February,1997,0,0
Tanzania,March,1997,0,0
Tanzania,April,1997,0,0
Tanzania,May,1997,0,0
Tanzania,June,1997,1,0
Tanzania,July,1997,2,6
Tanzania,August,1997,0,0
Tanzania,September,1997,1,0
Tanzania,October,1997,0,0
Tanzania,November,1997,0,0
Tanzania,December,1997,0,0
Tanzania,January,1998,0,0
Tanzania,February,1998,0,0
Tanzania,March,1998,0,0
Tanzania,April,1998,0,0
Tanzania,May,1998,0,0
Tanzania,June,1998,0,0
Tanzania,July,1998,0,0
Tanzania,August,1998,2,11
Tanzania,September,1998,0,0
Tanzania,October,1998,0,0
Tanzania,November,1998,1,9
Tanzania,December,1998,0,0
Tanzania,January,1999,0,0
Tanzania,February,1999,0,0
Tanzania,March,1999,0,0
Tanzania,April,1999,0,0
Tanzania,May,1999,0,0
Tanzania,June,1999,0,0
Tanzania,July,1999,1,0
Tanzania,August,1999,1,0
Tanzania,September,1999,0,0
Tanzania,October,1999,0,0
Tanzania,November,1999,1,0
Tanzania,December,1999,2,0
Tanzania,January,2000,0,0
Tanzania,February,2000,1,5
Tanzania,March,2000,0,0
Tanzania,April,2000,0,0
Tanzania,May,2000,0,0
Tanzania,June,2000,0,0
Tanzania,July,2000,0,0
Tanzania,August,2000,0,0
Tanzania,September,2000,2,0
Tanzania,October,2000,1,0
Tanzania,November,2000,5,0
Tanzania,December,2000,3,32
Tanzania,January,2001,11,129
Tanzania,February,2001,2,2
Tanzania,March,2001,0,0
Tanzania,April,2001,0,0
Tanzania,May,2001,2,0
Tanzania,June,2001,0,0
Tanzania,July,2001,0,0
Tanzania,August,2001,2,0
Tanzania,September,2001,1,4
Tanzania,October,2001,0,0
Tanzania,November,2001,0,0
Tanzania,December,2001,1,0
Tanzania,January,2002,13,99
Tanzania,February,2002,0,0
Tanzania,March,2002,0,0
Tanzania,April,2002,0,0
Tanzania,May,2002,0,0
Tanzania,June,2002,0,0
Tanzania,July,2002,0,0
Tanzania,August,2002,0,0
Tanzania,September,2002,0,0
Tanzania,October,2002,0,0
Tanzania,November,2002,0,0
Tanzania,December,2002,0,0
Tanzania,January,2003,0,0
Tanzania,February,2003,1,0
Tanzania,March,2003,0,0
Tanzania,April,2003,0,0
Tanzania,May,2003,0,0
Tanzania,June,2003,0,0
Tanzania,July,2003,0,0
Tanzania,August,2003,0,0
Tanzania,September,2003,0,0
Tanzania,October,2003,0,0
Tanzania,November,2003,0,0
Tanzania,December,2003,0,0
Tanzania,January,2004,0,0
Tanzania,February,2004,0,0
Tanzania,March,2004,5,0
Tanzania,April,2004,3,0
Tanzania,May,2004,0,0
