Country,Month,Year,Events,Fatalities
Thailand,January,2010,28,29
Thailand,February,2010,30,20
Thailand,March,2010,34,17
Thailand,April,2010,34,19
Thailand,May,2010,34,25
Thailand,June,2010,26,11
Thailand,July,2010,16,11
Thailand,August,2010,22,20
Thailand,September,2010,28,31
Thailand,October,2010,40,24
Thailand,November,2010,11,13
Thailand,December,2010,15,16
Thailand,January,2011,19,23
Thailand,February,2011,23,28
Thailand,March,2011,23,22
Thailand,April,2011,14,5
Thailand,May,2011,23,17
Thailand,June,2011,19,12
Thailand,July,2011,24,13
Thailand,August,2011,33,28
Thailand,September,2011,18,20
Thailand,October,2011,21,27
Thailand,November,2011,19,18
Thailand,December,2011,22,14
Thailand,January,2012,18,16
Thailand,February,2012,18,20
Thailand,March,2012,19,25
Thailand,April,2012,18,13
Thailand,May,2012,7,3
Thailand,June,2012,15,10
Thailand,July,2012,25,15
Thailand,August,2012,18,8
Thailand,September,2012,21,13
Thailand,October,2012,28,24
Thailand,November,2012,24,28
Thailand,December,2012,15,15
Thailand,January,2013,20,17
Thailand,February,2013,17,12
Thailand,March,2013,15,10
Thailand,April,2013,22,18
Thailand,May,2013,21,29
Thailand,June,2013,19,7
Thailand,July,2013,23,22
Thailand,August,2013,27,14
Thailand,September,2013,8,5
Thailand,October,2013,17,12
Thailand,November,2013,14,12
Thailand,December,2013,34,20
Thailand,January,2014,45,27
Thailand,February,2014,55,35
Thailand,March,2014,44,43
Thailand,April,2014,36,28
Thailand,May,2014,34,19
Thailand,June,2014,25,20
Thailand,July,2014,26,19
Thailand,August,2014,14,8
Thailand,September,2014,19,14
Thailand,October,2014,11,7
Thailand,November,2014,23,25
Thailand,December,2014,18,13
Thailand,January,2015,13,9
Thailand,February,2015,16,4
Thailand,March,2015,11,7
Thailand,April,2015,22,19
Thailand,May,2015,18,11
Thailand,June,2015,8,4
Thailand,July,2015,23,17
Thailand,August,2015,19,30
Thailand,September,2015,11,8
Thailand,October,2015,25,16
Thailand,November,2015,9,3
Thailand,December,2015,7,4
Thailand,January,2016,14,11
Thailand,February,2016,24,17
Thailand,March,2016,22,13
Thailand,April,2016,21,21
Thailand,May,2016,17,6
Thailand,June,2016,18,8
Thailand,July,2016,18,13
Thailand,August,2016,19,16
Thailand,September,2016,13,10
Thailand,October,2016,19,15
Thailand,November,2016,18,11
Thailand,December,2016,8,7
Thailand,January,2017,10,9
Thailand,February,2017,10,7
Thailand,March,2017,9,10
Thailand,April,2017,4,0
Thailand,May,2017,16,10
Thailand,June,2017,13,15
Thailand,July,2017,14,9
Thailand,August,2017,6,3
Thailand,September,2017,7,4
Thailand,October,2017,7,5
Thailand,November,2017,2,1
Thailand,December,2017,3,0
Thailand,January,2018,7,5
Thailand,February,2018,12,4
Thailand,March,2018,5,3
Thailand,April,2018,8,5
Thailand,May,2018,11,5
Thailand,June,2018,10,12
Thailand,July,2018,7,2
Thailand,August,2018,13,9
Thailand,September,2018,6,6
Thailand,October,2018,7,4
Thailand,November,2018,3,3
Thailand,December,2018,10,9
Thailand,January,2019,11,8
Thailand,February,2019,12,9
Thailand,March,2019,18,7
Thailand,April,2019,12,11
Thailand,May,2019,15,4
Thailand,June,2019,15,11
Thailand,July,2019,12,10
Thailand,August,2019,12,5
Thailand,September,2019,7,4
Thailand,October,2019,5,3
Thailand,November,2019,3,3
Thailand,December,2019,16,9
Thailand,January,2020,8,9
Thailand,February,2020,6,5
Thailand,March,2020,6,5
Thailand,April,2020,3,4
Thailand,May,2020,2,2
Thailand,June,2020,6,3
Thailand,July,2020,1,0
Thailand,August,2020,1,0
Thailand,September,2020,4,2
Thailand,October,2020,6,1
Thailand,November,2020,10,3
Thailand,December,2020,9,6
Thailand,January,2021,6,2
Thailand,February,2021,8,3
Thailand,March,2021,8,5
Thailand,April,2021,4,4
Thailand,May,2021,4,1
Thailand,June,2021,3,3
Thailand,July,2021,2,1
Thailand,August,2021,8,4
Thailand,September,2021,2,0
Thailand,October,2021,2,0
Thailand,November,2021,5,0
Thailand,December,2021,3,2
Thailand,January,2022,4,0
Thailand,February,2022,1,0
Thailand,March,2022,1,0
Thailand,April,2022,2,2
Thailand,May,2022,0,0
Thailand,June,2022,0,0
Thailand,July,2022,1,0
Thailand,August,2022,7,3
Thailand,September,2022,1,2
Thailand,October,2022,3,1
Thailand,November,2022,2,0
Thailand,December,2022,4,3
Thailand,January,2023,2,0
Thailand,February,2023,1,1
Thailand,March,2023,1,0
Thailand,April,2023,2,1
Thailand,May,2023,1,1
Thailand,June,2023,3,3
Thailand,July,2023,1,1
Thailand,August,2023,3,3
Thailand,September,2023,0,0
Thailand,October,2023,12,1
Thailand,November,2023,2,0
Thailand,December,2023,2,0
Thailand,January,2024,1,1
Thailand,February,2024,1,0
Thailand,March,2024,3,2
Thailand,April,2024,4,1
Thailand,May,2024,1,0
Thailand,June,2024,3,4
Thailand,July,2024,2,2
Thailand,August,2024,2,0
Thailand,September,2024,0,0
Thailand,October,2024,1,1
Thailand,November,2024,4,2
Thailand,December,2024,3,3
Thailand,January,2025,1,1
Thailand,February,2025,1,0
Thailand,March,2025,5,2
Thailand,April,2025,6,4
Thailand,May,2025,4,5
Thailand,June,2025,2,1
Thailand,July,2025,8,14
Thailand,August,2025,2,1
Thailand,September,2025,4,2
Thailand,October,2025,6,3
Thailand,November,2025,3,1
Thailand,December,2025,6,2
Thailand,January,2026,0,0
Thailand,February,2026,2,0
Thailand,March,2026,5,2
Thailand,April,2026,4,4
