Country,Month,Year,Events,Fatalities
Tokelau,January,2021,0,0
Tokelau,February,2021,0,0
Tokelau,March,2021,0,0
Tokelau,April,2021,0,0
Tokelau,May,2021,0,0
Tokelau,June,2021,0,0
Tokelau,July,2021,0,0
Tokelau,August,2021,0,0
Tokelau,September,2021,0,0
Tokelau,October,2021,0,0
Tokelau,November,2021,0,0
Tokelau,December,2021,0,0
Tokelau,January,2022,0,0
Tokelau,February,2022,0,0
Tokelau,March,2022,0,0
Tokelau,April,2022,0,0
Tokelau,May,2022,0,0
Tokelau,June,2022,0,0
Tokelau,July,2022,0,0
Tokelau,August,2022,0,0
Tokelau,September,2022,0,0
Tokelau,October,2022,0,0
Tokelau,November,2022,0,0
Tokelau,December,2022,0,0
Tokelau,January,2023,0,0
Tokelau,February,2023,0,0
Tokelau,March,2023,0,0
Tokelau,April,2023,0,0
Tokelau,May,2023,0,0
Tokelau,June,2023,0,0
Tokelau,July,2023,0,0
Tokelau,August,2023,0,0
Tokelau,September,2023,0,0
Tokelau,October,2023,0,0
Tokelau,November,2023,0,0
Tokelau,December,2023,0,0
Tokelau,January,2024,0,0
Tokelau,February,2024,0,0
Tokelau,March,2024,0,0
Tokelau,April,2024,0,0
Tokelau,May,2024,0,0
Tokelau,June,2024,0,0
Tokelau,July,2024,0,0
Tokelau,August,2024,0,0
Tokelau,September,2024,0,0
Tokelau,October,2024,0,0
Tokelau,November,2024,0,0
Tokelau,December,2024,0,0
Tokelau,January,2025,0,0
Tokelau,February,2025,0,0
Tokelau,March,2025,0,0
Tokelau,April,2025,0,0
Tokelau,May,2025,0,0
Tokelau,June,2025,0,0
Tokelau,July,2025,0,0
Tokelau,August,2025,0,0
Tokelau,September,2025,0,0
Tokelau,October,2025,0,0
Tokelau,November,2025,0,0
Tokelau,December,2025,0,0
Tokelau,January,2026,0,0
Tokelau,February,2026,0,0
Tokelau,March,2026,0,0
Tokelau,April,2026,0,0
