Country,Month,Year,Events,Fatalities
Turkmenistan,January,2018,0,0
Turkmenistan,February,2018,0,0
Turkmenistan,March,2018,0,0
Turkmenistan,April,2018,0,0
Turkmenistan,May,2018,1,0
Turkmenistan,June,2018,0,0
Turkmenistan,July,2018,0,0
Turkmenistan,August,2018,0,0
Turkmenistan,September,2018,0,0
Turkmenistan,October,2018,0,0
Turkmenistan,November,2018,1,0
Turkmenistan,December,2018,0,0
Turkmenistan,January,2019,0,0
Turkmenistan,February,2019,0,0
Turkmenistan,March,2019,0,0
Turkmenistan,April,2019,0,0
Turkmenistan,May,2019,1,0
Turkmenistan,June,2019,0,0
Turkmenistan,July,2019,1,1
Turkmenistan,August,2019,1,1
Turkmenistan,September,2019,2,5
Turkmenistan,October,2019,1,0
Turkmenistan,November,2019,0,0
Turkmenistan,December,2019,0,0
Turkmenistan,January,2020,0,0
Turkmenistan,February,2020,0,0
Turkmenistan,March,2020,0,0
Turkmenistan,April,2020,0,0
Turkmenistan,May,2020,0,0
Turkmenistan,June,2020,1,1
Turkmenistan,July,2020,0,0
Turkmenistan,August,2020,1,0
Turkmenistan,September,2020,0,0
Turkmenistan,October,2020,0,0
Turkmenistan,November,2020,0,0
Turkmenistan,December,2020,0,0
Turkmenistan,January,2021,0,0
Turkmenistan,February,2021,0,0
Turkmenistan,March,2021,0,0
Turkmenistan,April,2021,0,0
Turkmenistan,May,2021,0,0
Turkmenistan,June,2021,0,0
Turkmenistan,July,2021,0,0
Turkmenistan,August,2021,0,0
Turkmenistan,September,2021,0,0
Turkmenistan,October,2021,0,0
Turkmenistan,November,2021,0,0
Turkmenistan,December,2021,0,0
Turkmenistan,January,2022,0,0
Turkmenistan,February,2022,0,0
Turkmenistan,March,2022,0,0
Turkmenistan,April,2022,0,0
Turkmenistan,May,2022,0,0
Turkmenistan,June,2022,0,0
Turkmenistan,July,2022,0,0
Turkmenistan,August,2022,0,0
Turkmenistan,September,2022,0,0
Turkmenistan,October,2022,0,0
Turkmenistan,November,2022,0,0
Turkmenistan,December,2022,0,0
Turkmenistan,January,2023,0,0
Turkmenistan,February,2023,0,0
Turkmenistan,March,2023,0,0
Turkmenistan,April,2023,0,0
Turkmenistan,May,2023,0,0
Turkmenistan,June,2023,0,0
Turkmenistan,July,2023,0,0
Turkmenistan,August,2023,0,0
Turkmenistan,September,2023,0,0
Turkmenistan,October,2023,0,0
Turkmenistan,November,2023,0,0
Turkmenistan,December,2023,1,1
Turkmenistan,January,2024,0,0
Turkmenistan,February,2024,0,0
Turkmenistan,March,2024,0,0
Turkmenistan,April,2024,0,0
Turkmenistan,May,2024,0,0
Turkmenistan,June,2024,0,0
Turkmenistan,July,2024,1,0
Turkmenistan,August,2024,0,0
Turkmenistan,September,2024,0,0
Turkmenistan,October,2024,0,0
Turkmenistan,November,2024,0,0
Turkmenistan,December,2024,0,0
Turkmenistan,January,2025,1,1
Turkmenistan,February,2025,0,0
Turkmenistan,March,2025,0,0
Turkmenistan,April,2025,0,0
Turkmenistan,May,2025,0,0
Turkmenistan,June,2025,0,0
Turkmenistan,July,2025,0,0
Turkmenistan,August,2025,0,0
Turkmenistan,September,2025,0,0
Turkmenistan,October,2025,1,0
Turkmenistan,November,2025,2,1
Turkmenistan,December,2025,1,0
Turkmenistan,January,2026,0,0
Turkmenistan,February,2026,1,0
Turkmenistan,March,2026,0,0
Turkmenistan,April,2026,0,0
