Country,Month,Year,Events,Fatalities
Vanuatu,January,2021,0,0
Vanuatu,February,2021,0,0
Vanuatu,March,2021,0,0
Vanuatu,April,2021,0,0
Vanuatu,May,2021,0,0
Vanuatu,June,2021,0,0
Vanuatu,July,2021,0,0
Vanuatu,August,2021,0,0
Vanuatu,September,2021,0,0
Vanuatu,October,2021,0,0
Vanuatu,November,2021,0,0
Vanuatu,December,2021,0,0
Vanuatu,January,2022,0,0
Vanuatu,February,2022,0,0
Vanuatu,March,2022,0,0
Vanuatu,April,2022,0,0
Vanuatu,May,2022,0,0
Vanuatu,June,2022,0,0
Vanuatu,July,2022,0,0
Vanuatu,August,2022,0,0
Vanuatu,September,2022,1,1
Vanuatu,October,2022,0,0
Vanuatu,November,2022,0,0
Vanuatu,December,2022,0,0
Vanuatu,January,2023,0,0
Vanuatu,February,2023,0,0
Vanuatu,March,2023,0,0
Vanuatu,April,2023,0,0
Vanuatu,May,2023,0,0
Vanuatu,June,2023,0,0
Vanuatu,July,2023,0,0
Vanuatu,August,2023,0,0
Vanuatu,September,2023,0,0
Vanuatu,October,2023,0,0
Vanuatu,November,2023,0,0
Vanuatu,December,2023,0,0
Vanuatu,January,2024,0,0
Vanuatu,February,2024,0,0
Vanuatu,March,2024,0,0
Vanuatu,April,2024,0,0
Vanuatu,May,2024,0,0
Vanuatu,June,2024,0,0
Vanuatu,July,2024,0,0
Vanuatu,August,2024,0,0
Vanuatu,September,2024,0,0
Vanuatu,October,2024,0,0
Vanuatu,November,2024,0,0
Vanuatu,December,2024,0,0
Vanuatu,January,2025,0,0
Vanuatu,February,2025,0,0
Vanuatu,March,2025,0,0
Vanuatu,April,2025,0,0
Vanuatu,May,2025,0,0
Vanuatu,June,2025,0,0
Vanuatu,July,2025,0,0
Vanuatu,August,2025,0,0
Vanuatu,September,2025,0,0
Vanuatu,October,2025,0,0
Vanuatu,November,2025,0,0
Vanuatu,December,2025,0,0
Vanuatu,January,2026,0,0
Vanuatu,February,2026,0,0
Vanuatu,March,2026,0,0
Vanuatu,April,2026,0,0
