Country,Month,Year,Events,Fatalities
Vatican City,January,2020,0,0
Vatican City,February,2020,0,0
Vatican City,March,2020,0,0
Vatican City,April,2020,0,0
Vatican City,May,2020,0,0
Vatican City,June,2020,0,0
Vatican City,July,2020,0,0
Vatican City,August,2020,0,0
Vatican City,September,2020,0,0
Vatican City,October,2020,0,0
Vatican City,November,2020,0,0
Vatican City,December,2020,0,0
Vatican City,January,2021,0,0
Vatican City,February,2021,0,0
Vatican City,March,2021,0,0
Vatican City,April,2021,0,0
Vatican City,May,2021,0,0
Vatican City,June,2021,0,0
Vatican City,July,2021,0,0
Vatican City,August,2021,0,0
Vatican City,September,2021,0,0
Vatican City,October,2021,0,0
Vatican City,November,2021,0,0
Vatican City,December,2021,0,0
Vatican City,January,2022,0,0
Vatican City,February,2022,0,0
Vatican City,March,2022,0,0
Vatican City,April,2022,0,0
Vatican City,May,2022,0,0
Vatican City,June,2022,0,0
Vatican City,July,2022,0,0
Vatican City,August,2022,0,0
Vatican City,September,2022,0,0
Vatican City,October,2022,0,0
Vatican City,November,2022,0,0
Vatican City,December,2022,0,0
Vatican City,January,2023,0,0
Vatican City,February,2023,0,0
Vatican City,March,2023,0,0
Vatican City,April,2023,0,0
Vatican City,May,2023,0,0
Vatican City,June,2023,0,0
Vatican City,July,2023,0,0
Vatican City,August,2023,0,0
Vatican City,September,2023,0,0
Vatican City,October,2023,0,0
Vatican City,November,2023,0,0
Vatican City,December,2023,0,0
Vatican City,January,2024,0,0
Vatican City,February,2024,0,0
Vatican City,March,2024,0,0
Vatican City,April,2024,0,0
Vatican City,May,2024,0,0
Vatican City,June,2024,0,0
Vatican City,July,2024,0,0
Vatican City,August,2024,0,0
Vatican City,September,2024,0,0
Vatican City,October,2024,0,0
Vatican City,November,2024,0,0
Vatican City,December,2024,0,0
Vatican City,January,2025,0,0
Vatican City,February,2025,0,0
Vatican City,March,2025,0,0
Vatican City,April,2025,0,0
Vatican City,May,2025,0,0
Vatican City,June,2025,0,0
Vatican City,July,2025,0,0
Vatican City,August,2025,0,0
Vatican City,September,2025,0,0
Vatican City,October,2025,0,0
Vatican City,November,2025,0,0
Vatican City,December,2025,0,0
Vatican City,January,2026,0,0
Vatican City,February,2026,0,0
Vatican City,March,2026,0,0
Vatican City,April,2026,0,0
