Country,Month,Year,Events,Fatalities
Zambia,January,1997,0,0
Zambia,February,1997,0,0
Zambia,March,1997,0,0
Zambia,April,1997,0,0
Zambia,May,1997,0,0
Zambia,June,1997,0,0
Zambia,July,1997,0,0
Zambia,August,1997,2,0
Zambia,September,1997,0,0
Zambia,October,1997,0,0
Zambia,November,1997,0,0
Zambia,December,1997,0,0
Zambia,January,1998,0,0
Zambia,February,1998,0,0
Zambia,March,1998,0,0
Zambia,April,1998,0,0
Zambia,May,1998,0,0
Zambia,June,1998,0,0
Zambia,July,1998,0,0
Zambia,August,1998,0,0
Zambia,September,1998,0,0
Zambia,October,1998,0,0
Zambia,November,1998,1,1
Zambia,December,1998,0,0
Zambia,January,1999,0,0
Zambia,February,1999,1,1
Zambia,March,1999,0,0
Zambia,April,1999,0,0
Zambia,May,1999,1,1
Zambia,June,1999,1,1
Zambia,July,1999,1,0
Zambia,August,1999,0,0
Zambia,September,1999,3,1
Zambia,October,1999,0,0
Zambia,November,1999,0,0
Zambia,December,1999,0,0
Zambia,January,2000,2,0
Zambia,February,2000,0,0
Zambia,March,2000,3,0
Zambia,April,2000,1,0
Zambia,May,2000,0,0
Zambia,June,2000,0,0
Zambia,July,2000,1,1
Zambia,August,2000,2,0
Zambia,September,2000,2,0
Zambia,October,2000,0,0
Zambia,November,2000,0,0
Zambia,December,2000,0,0
Zambia,January,2001,0,0
Zambia,February,2001,0,0
Zambia,March,2001,1,0
Zambia,April,2001,0,0
Zambia,May,2001,0,0
Zambia,June,2001,0,0
Zambia,July,2001,3,1
Zambia,August,2001,0,0
Zambia,September,2001,1,0
Zambia,October,2001,0,0
Zambia,November,2001,5,0
Zambia,December,2001,0,0
Zambia,January,2002,0,0
Zambia,February,2002,0,0
Zambia,March,2002,0,0
Zambia,April,2002,1,0
Zambia,May,2002,0,0
Zambia,June,2002,1,0
Zambia,July,2002,0,0
Zambia,August,2002,1,0
Zambia,September,2002,0,0
Zambia,October,2002,0,0
Zambia,November,2002,0,0
Zambia,December,2002,0,0
Zambia,January,2003,2,0
Zambia,February,2003,0,0
Zambia,March,2003,2,2
Zambia,April,2003,0,0
Zambia,May,2003,0,0
Zambia,June,2003,6,8
Zambia,July,2003,0,0
Zambia,August,2003,0,0
Zambia,September,2003,0,0
Zambia,October,2003,0,0
Zambia,November,2003,0,0
Zambia,December,2003,0,0
Zambia,January,2004,0,0
Zambia,February,2004,0,0
Zambia,March,2004,4,0
Zambia,April,2004,0,0
Zambia,May,2004,0,0
Zambia,June,2004,0,0
Zambia,July,2004,0,0
Zambia,August,2004,1,0
Zambia,September,2004,1,0
Zambia,October,2004,0,0
Zambia,November,2004,0,0
