Country,Month,Year,Events,Fatalities
Zimbabwe,January,1997,0,0
Zimbabwe,February,1997,0,0
Zimbabwe,March,1997,0,0
Zimbabwe,April,1997,0,0
Zimbabwe,May,1997,0,0
Zimbabwe,June,1997,0,0
Zimbabwe,July,1997,0,0
Zimbabwe,August,1997,1,0
Zimbabwe,September,1997,0,0
Zimbabwe,October,1997,0,0
Zimbabwe,November,1997,0,0
Zimbabwe,December,1997,2,0
Zimbabwe,January,1998,0,0
Zimbabwe,February,1998,1,0
Zimbabwe,March,1998,2,0
Zimbabwe,April,1998,2,1
Zimbabwe,May,1998,1,0
Zimbabwe,June,1998,1,0
Zimbabwe,July,1998,0,0
Zimbabwe,August,1998,1,0
Zimbabwe,September,1998,0,0
Zimbabwe,October,1998,0,0
Zimbabwe,November,1998,3,3
Zimbabwe,December,1998,0,0
Zimbabwe,January,1999,6,1
Zimbabwe,February,1999,0,0
Zimbabwe,March,1999,5,3
Zimbabwe,April,1999,1,1
Zimbabwe,May,1999,0,0
Zimbabwe,June,1999,0,0
Zimbabwe,July,1999,3,1
Zimbabwe,August,1999,1,0
Zimbabwe,September,1999,0,0
Zimbabwe,October,1999,1,0
Zimbabwe,November,1999,0,0
Zimbabwe,December,1999,1,0
Zimbabwe,January,2000,2,0
Zimbabwe,February,2000,4,1
Zimbabwe,March,2000,16,2
Zimbabwe,April,2000,53,12
Zimbabwe,May,2000,94,3
Zimbabwe,June,2000,79,8
Zimbabwe,July,2000,4,14
Zimbabwe,August,2000,1,1
Zimbabwe,September,2000,2,1
Zimbabwe,October,2000,4,1
Zimbabwe,November,2000,5,0
Zimbabwe,December,2000,1,1
Zimbabwe,January,2001,9,0
Zimbabwe,February,2001,11,0
Zimbabwe,March,2001,24,2
Zimbabwe,April,2001,13,0
Zimbabwe,May,2001,21,0
Zimbabwe,June,2001,14,1
Zimbabwe,July,2001,50,12
Zimbabwe,August,2001,24,2
Zimbabwe,September,2001,21,3
Zimbabwe,October,2001,26,2
Zimbabwe,November,2001,22,4
Zimbabwe,December,2001,43,11
Zimbabwe,January,2002,117,18
Zimbabwe,February,2002,120,7
Zimbabwe,March,2002,225,15
Zimbabwe,April,2002,42,5
Zimbabwe,May,2002,12,1
Zimbabwe,June,2002,26,0
Zimbabwe,July,2002,20,1
Zimbabwe,August,2002,19,6
Zimbabwe,September,2002,39,1
Zimbabwe,October,2002,17,0
Zimbabwe,November,2002,0,0
Zimbabwe,December,2002,14,0
Zimbabwe,January,2003,11,1
Zimbabwe,February,2003,32,1
Zimbabwe,March,2003,87,2
Zimbabwe,April,2003,43,1
Zimbabwe,May,2003,23,0
Zimbabwe,June,2003,22,0
Zimbabwe,July,2003,7,1
Zimbabwe,August,2003,7,0
Zimbabwe,September,2003,4,0
Zimbabwe,October,2003,5,0
Zimbabwe,November,2003,2,0
Zimbabwe,December,2003,6,0
Zimbabwe,January,2004,23,0
Zimbabwe,February,2004,18,0
Zimbabwe,March,2004,30,1
Zimbabwe,April,2004,22,0
Zimbabwe,May,2004,29,0
Zimbabwe,June,2004,16,0
Zimbabwe,July,2004,19,1
Zimbabwe,August,2004,18,0
Zimbabwe,September,2004,14,0
Zimbabwe,October,2004,24,0
Zimbabwe,November,2004,17,0
Zimbabwe,December,2004,5,0
Zimbabwe,January,2005,13,1
Zimbabwe,February,2005,33,1
Zimbabwe,March,2005,43,2
Zimbabwe,April,2005,40,4
Zimbabwe,May,2005,26,0
Zimbabwe,June,2005,9,0
Zimbabwe,July,2005,6,0
Zimbabwe,August,2005,3,0
Zimbabwe,September,2005,4,0
Zimbabwe,October,2005,9,0
Zimbabwe,November,2005,4,0
Zimbabwe,December,2005,5,0
Zimbabwe,January,2006,6,0
Zimbabwe,February,2006,4,1
Zimbabwe,March,2006,7,0
Zimbabwe,April,2006,6,0
Zimbabwe,May,2006,8,0
Zimbabwe,June,2006,4,0
Zimbabwe,July,2006,7,0
Zimbabwe,August,2006,9,0
Zimbabwe,September,2006,7,0
Zimbabwe,October,2006,11,0
Zimbabwe,November,2006,6,0
Zimbabwe,December,2006,14,0
Zimbabwe,January,2007,4,1
Zimbabwe,February,2007,28,4
Zimbabwe,March,2007,30,1
Zimbabwe,April,2007,17,0
Zimbabwe,May,2007,17,2
Zimbabwe,June,2007,7,0
Zimbabwe,July,2007,15,0
Zimbabwe,August,2007,7,1
Zimbabwe,September,2007,9,0
Zimbabwe,October,2007,10,1
Zimbabwe,November,2007,8,2
Zimbabwe,December,2007,4,1
Zimbabwe,January,2008,24,3
Zimbabwe,February,2008,27,1
Zimbabwe,March,2008,38,4
Zimbabwe,April,2008,35,12
Zimbabwe,May,2008,141,11
Zimbabwe,June,2008,187,78
Zimbabwe,July,2008,46,3
Zimbabwe,August,2008,32,1
Zimbabwe,September,2008,51,1
Zimbabwe,October,2008,34,6
Zimbabwe,November,2008,36,4
Zimbabwe,December,2008,44,2
Zimbabwe,January,2009,8,1
Zimbabwe,February,2009,19,0
Zimbabwe,March,2009,10,0
Zimbabwe,April,2009,24,1
Zimbabwe,May,2009,13,0
