Country,Month,Year,Events,Fatalities
eSwatini,January,1997,0,0
eSwatini,February,1997,1,0
eSwatini,March,1997,0,0
eSwatini,April,1997,0,0
eSwatini,May,1997,0,0
eSwatini,June,1997,0,0
eSwatini,July,1997,0,0
eSwatini,August,1997,0,0
eSwatini,September,1997,0,0
eSwatini,October,1997,0,0
eSwatini,November,1997,0,0
eSwatini,December,1997,0,0
eSwatini,January,1998,0,0
eSwatini,February,1998,0,0
eSwatini,March,1998,0,0
eSwatini,April,1998,0,0
eSwatini,May,1998,0,0
eSwatini,June,1998,0,0
eSwatini,July,1998,0,0
eSwatini,August,1998,0,0
eSwatini,September,1998,0,0
eSwatini,October,1998,1,0
eSwatini,November,1998,3,2
eSwatini,December,1998,0,0
eSwatini,January,1999,0,0
eSwatini,February,1999,0,0
eSwatini,March,1999,0,0
eSwatini,April,1999,0,0
eSwatini,May,1999,0,0
eSwatini,June,1999,0,0
eSwatini,July,1999,0,0
eSwatini,August,1999,0,0
eSwatini,September,1999,0,0
eSwatini,October,1999,0,0
eSwatini,November,1999,2,0
eSwatini,December,1999,0,0
eSwatini,January,2000,0,0
eSwatini,February,2000,0,0
eSwatini,March,2000,0,0
eSwatini,April,2000,0,0
eSwatini,May,2000,0,0
eSwatini,June,2000,0,0
eSwatini,July,2000,0,0
eSwatini,August,2000,0,0
eSwatini,September,2000,0,0
eSwatini,October,2000,1,0
eSwatini,November,2000,1,1
eSwatini,December,2000,0,0
eSwatini,January,2001,0,0
eSwatini,February,2001,0,0
eSwatini,March,2001,0,0
eSwatini,April,2001,0,0
eSwatini,May,2001,0,0
eSwatini,June,2001,0,0
eSwatini,July,2001,0,0
eSwatini,August,2001,0,0
eSwatini,September,2001,0,0
eSwatini,October,2001,1,1
eSwatini,November,2001,0,0
eSwatini,December,2001,0,0
eSwatini,January,2002,0,0
eSwatini,February,2002,0,0
eSwatini,March,2002,0,0
eSwatini,April,2002,0,0
eSwatini,May,2002,0,0
eSwatini,June,2002,0,0
eSwatini,July,2002,0,0
eSwatini,August,2002,0,0
eSwatini,September,2002,0,0
eSwatini,October,2002,0,0
eSwatini,November,2002,0,0
eSwatini,December,2002,0,0
eSwatini,January,2003,0,0
eSwatini,February,2003,0,0
eSwatini,March,2003,0,0
eSwatini,April,2003,0,0
eSwatini,May,2003,0,0
eSwatini,June,2003,1,0
eSwatini,July,2003,0,0
eSwatini,August,2003,1,1
eSwatini,September,2003,0,0
eSwatini,October,2003,0,0
eSwatini,November,2003,0,0
eSwatini,December,2003,0,0
eSwatini,January,2004,0,0
eSwatini,February,2004,0,0
eSwatini,March,2004,0,0
eSwatini,April,2004,0,0
eSwatini,May,2004,0,0
eSwatini,June,2004,0,0
eSwatini,July,2004,0,0
eSwatini,August,2004,0,0
eSwatini,September,2004,0,0
eSwatini,October,2004,0,0
eSwatini,November,2004,0,0
eSwatini,December,2004,0,0
eSwatini,January,2005,0,0
eSwatini,February,2005,0,0
eSwatini,March,2005,0,0
eSwatini,April,2005,0,0
eSwatini,May,2005,0,0
eSwatini,June,2005,0,0
eSwatini,July,2005,0,0
eSwatini,August,2005,0,0
eSwatini,September,2005,0,0
eSwatini,October,2005,3,0
eSwatini,November,2005,0,0
eSwatini,December,2005,0,0
eSwatini,January,2006,1,0
eSwatini,February,2006,0,0
eSwatini,March,2006,1,0
eSwatini,April,2006,0,0
eSwatini,May,2006,0,0
eSwatini,June,2006,0,0
eSwatini,July,2006,0,0
eSwatini,August,2006,0,0
eSwatini,September,2006,0,0
eSwatini,October,2006,0,0
eSwatini,November,2006,0,0
eSwatini,December,2006,0,0
eSwatini,January,2007,0,0
eSwatini,February,2007,0,0
eSwatini,March,2007,0,0
eSwatini,April,2007,0,0
eSwatini,May,2007,0,0
eSwatini,June,2007,0,0
eSwatini,July,2007,0,0
eSwatini,August,2007,0,0
eSwatini,September,2007,0,0
eSwatini,October,2007,0,0
eSwatini,November,2007,0,0
eSwatini,December,2007,0,0
eSwatini,January,2008,0,0
eSwatini,February,2008,0,0
eSwatini,March,2008,0,0
