Indicator,Non_Null_Count,Percentage
COUNTRY_ID,946,100.0
YEAR,946,100.0
COUNTRY_NAME,946,100.0
Theoretical duration of secondary education (years),930,98.30866807610994
"Population of the official entrance age to primary education, female (number)",927,97.99154334038055
"Population of the official entrance age to primary education, both sexes (number)",927,97.99154334038055
"Population of the official entrance age to primary education, male (number)",927,97.99154334038055
"Population of the official entrance age to secondary general education, both sexes (number)",927,97.99154334038055
"Population of the official entrance age to secondary general education, female (number)",927,97.99154334038055
"Population of the official entrance age to secondary general education, male (number)",927,97.99154334038055
"School age population, lower secondary education, female (number)",927,97.99154334038055
"School age population, lower secondary education, male (number)",927,97.99154334038055
"School age population, one year before the official primary entry age, both sexes (number)",927,97.99154334038055
"School age population, one year before the official primary entry age, female (number)",927,97.99154334038055
"School age population, last grade of primary education, both sexes (number)",927,97.99154334038055
"School age population, last grade of primary education, female (number)",927,97.99154334038055
"School age population, last grade of primary education, male (number)",927,97.99154334038055
"School age population, lower secondary education, both sexes (number)",927,97.99154334038055
"School age population, pre-primary education, male (number)",927,97.99154334038055
"School age population, pre-primary education, female (number)",927,97.99154334038055
"School age population, pre-primary education, both sexes (number)",927,97.99154334038055
"School age population, one year before the official primary entry age, male (number)",927,97.99154334038055
"School age population, primary education, both sexes (number)",927,97.99154334038055
"School age population, primary education, female (number)",927,97.99154334038055
"School age population, primary education, male (number)",927,97.99154334038055
"School age population, secondary education, both sexes (number)",927,97.99154334038055
"School age population, tertiary education, female (number)",927,97.99154334038055
"School age population, tertiary education, both sexes (number)",927,97.99154334038055
"School age population, secondary education, male (number)",927,97.99154334038055
"School age population, secondary education, female (number)",927,97.99154334038055
"School age population, upper secondary education, male (number)",927,97.99154334038055
"School age population, upper secondary education, female (number)",927,97.99154334038055
"School age population, upper secondary education, both sexes (number)",927,97.99154334038055
"School age population, tertiary education, male (number)",927,97.99154334038055
"Outbound internationally mobile tertiary students studying in Central Asia, male (UIS estimate) (number)",912,96.40591966173362
"Outbound internationally mobile tertiary students studying in Central and Eastern Europe, male (UIS estimate) (number)",912,96.40591966173362
"Outbound internationally mobile tertiary students studying in Latin America, male (UIS estimate) (number)",912,96.40591966173362
"Outbound internationally mobile tertiary students studying in Latin America and the Caribbean, male (UIS estimate) (number)",912,96.40591966173362
"Outbound internationally mobile tertiary students studying in the Arab States, male (UIS estimate) (number)",912,96.40591966173362
"Outbound internationally mobile tertiary students studying in the Pacific, male (UIS estimate) (number)",912,96.40591966173362
"Total outbound internationally mobile tertiary students studying abroad, all countries, male (UIS estimate) (number)",912,96.40591966173362
"Outbound internationally mobile tertiary students studying in sub-Saharan Africa, male (UIS estimate) (number)",912,96.40591966173362
"Outbound internationally mobile tertiary students studying in North America and Western Europe, male (UIS estimate) (number)",912,96.40591966173362
