name,country,latitude,longitude,near_hotspot,hotspot_info
عمر بن الخطاب,Lebanon,33.871997,35.500379,True,Beirut (11 events)
الأخوة اللبنانية الحدث,Lebanon,33.828384,35.527611,True,Beirut (11 events)
Ecole Catholique,Burkina Faso,11.099241,0.017016,False,
B.E.P.S. Thaphern Gwin,Myanmar,18.013657,94.497271,False,
Groupe scolaire bouyagui diarra,Mali,12.579412,-7.971849,False,
Ecole C,Burkina Faso,12.487852,1.522384,False,
مدرسه اناثیه اصلاح البنات خالد بن ولید,Afghanistan,36.268231,68.001909,False,
Baby World Kindergarten,Palestine,31.925303,35.218006,True,Al Quds (93 events)
RAGHEB BUS,Palestine,31.383138,34.353799,True,Deir El Balah (3 events)
Palestine Polyticnic University,Palestine,31.52148,35.087649,True,Hebron (147 events)
Modern University College-MUC,Palestine,31.899788,35.204772,True,Al Quds (93 events)
Myanmar Excellent Stars,Myanmar,16.804834,96.206436,False,
Cocci International Secondary School,Nigeria,6.483071,7.51449,True,Enugu North (4 events)
အ.မ.လ.က(၂၆) B.E.H.S(26),Myanmar,16.943256,96.07411,False,
english teaching,Myanmar,22.622015,97.300558,False,
سيدة الجمهور,Lebanon,33.832909,35.564588,True,Beirut (11 events)
Basic Education Primary School No(13),Myanmar,16.957663,96.083155,False,
အမှတ်(၆) ပညာရေးကျောင်း တပ်မတော်ကြည်း,Myanmar,16.372943,97.665767,False,
BEPS 10,Myanmar,16.765919,96.138203,False,
Complexe scolaire Blima,Mali,12.613361,-7.98223,False,
GUINDIGATA HORO,Mali,16.190065,-3.806193,False,
היברו יוניון קולג',Palestine,31.775852,35.222475,True,Bethlehem (68 events)
Computational Science Program,Ethiopia,9.034126,38.766369,False,
Escola Secundária Magoanine,Mozambique,-25.858311,32.615259,False,
النخبة,Lebanon,33.78618,35.495604,True,Baabda (1 events)
Al Iman Kindergarten,Palestine,32.083809,35.362509,False,
جامعة الأقصى,Palestine,31.51113,34.440399,True,Deir El Balah (3 events)
Rafidia Girls School,Palestine,32.224175,35.233878,True,Nablus (156 events)
Al-Ansar Boys Elementary School,Palestine,31.453291,35.109729,True,Hebron (147 events)
Al-Sakhra Girls Elementary School,Palestine,31.449634,35.089588,True,Hebron (147 events)
Hawah Girls High School,Palestine,31.451089,35.084818,True,Hebron (147 events)
Yatta Girls High School,Palestine,31.452339,35.092425,True,Hebron (147 events)
Ain Yabrud Elementary School,Palestine,31.951662,35.247509,True,Al Quds (93 events)
Kafr Malik Girls Secondary School,Palestine,31.986374,35.307142,False,
مدرسة بيتين الثانوية للبنات,Palestine,31.92814,35.242452,True,Al Quds (93 events)
Artas Girls Elementary School,Palestine,31.690775,35.192002,True,Bethlehem (68 events)
Sbah Abu Warda Kindergarten,Palestine,31.309263,34.358204,True,Khan Yunis (9 events)
