Country,Key Insight,Reasoning (Insight),Pressing Need/Action,Reasoning (Action)
Afghanistan,Critical Risk: 98.6% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (98.6%) of schools within 50km of conflict hotspots.
Bangladesh,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Burkina Faso,Critical Risk: 94.9% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (94.9%) of schools within 50km of conflict hotspots.
Burundi,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
CAR,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Cambodia,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Cameroon,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Chad,Critical Risk: 77.5% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (77.5%) of schools within 50km of conflict hotspots.
Colombia,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
DR Congo,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Ethiopia,Critical Risk: 64.8% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (64.8%) of schools within 50km of conflict hotspots.
Ghana,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Haiti,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Indonesia,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Iraq,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Jordan,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Kenya,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Laos,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Lebanon,Critical Risk: 100.0% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (100.0%) of schools within 50km of conflict hotspots.
Libya,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Mali,Critical Risk: 76.0% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (76.0%) of schools within 50km of conflict hotspots.
Mozambique,Critical Risk: 95.7% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (95.7%) of schools within 50km of conflict hotspots.
Myanmar,Critical Risk: 84.0% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (84.0%) of schools within 50km of conflict hotspots.
Niger,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Nigeria,Critical Risk: 99.7% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (99.7%) of schools within 50km of conflict hotspots.
Palestine,Critical Risk: 100.0% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (100.0%) of schools within 50km of conflict hotspots.
Philippines,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Somalia,Critical Risk: 88.6% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (88.6%) of schools within 50km of conflict hotspots.
South Sudan,Critical Risk: 92.7% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (92.7%) of schools within 50km of conflict hotspots.
Sudan,Critical Risk: 86.6% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (86.6%) of schools within 50km of conflict hotspots.
Syria,Critical Risk: 82.9% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (82.9%) of schools within 50km of conflict hotspots.
Tanzania,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Thailand,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Uganda,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Ukraine,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Venezuela,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Vietnam,Insufficient Vulnerability Data,Conflict proximity data is unavailable for this country.,Monitor,Data collection required.
Yemen,Critical Risk: 97.8% Vulnerability,Conflict proximity data is unavailable for this country.,Immediate Infrastructure & Security Intervention,High percentage (97.8%) of schools within 50km of conflict hotspots.
