year,indicator_code,indicator_label,unit,source,angle,value
2000,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,19.9514658284614
2000,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,3986.83513941026
2000,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,24.4092903137207
2000,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,73.9341812133789
2000,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,71.8339920043945
2000,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,72.859977722168
2000,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.23481
2000,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,85.1220779418945
2000,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,28393
2000,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,115898
2000,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,24.307149887085
2000,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,24.5069599151611
2000,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,24.4092903137207
2000,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,59.3963813781738
2000,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,62.5770492553711
2000,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,21.168
2000,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.641
2000,SM.POP.NETM,Net migration (count),count,worldbank,displacement,455
2001,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,18.9489419180559
2001,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,4009.55929751102
2001,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,24.14909934997559
2001,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,73.1627197265625
2001,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,69.5888977050781
2001,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,71.3348617553711
2001,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,17.34958
2001,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,84.4280319213867
2001,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,27464
2001,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,136291
2001,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,23.9833908081055
2001,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,24.3076095581055
2001,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,24.1490993499756
2001,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,53.972038269043
2001,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,7.53579
2001,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,60.7058296203613
2001,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,44486
2001,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.4212498664856
2001,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.84148001670837
2001,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,20.912
2001,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.499
2001,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-1094
2002,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,17.9647936930119
2002,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,4290.85283803266
2002,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,23.29566955566406
2002,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,72.2617797851562
2002,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,68.5222320556641
2002,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,70.3497695922852
2002,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,17.19698
2002,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,85.5243682861328
2002,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,27586
2002,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,129219
2002,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,23.1493701934814
2002,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,23.4357204437256
2002,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,23.2956695556641
2002,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,52.4632301330566
2002,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,7.3906
2002,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,62.5551910400391
2002,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,47348
2002,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.05630016326904
2002,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.55271005630493
2002,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,20.473
2002,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.248
2002,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-21543
2003,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,17.0192420215892
2003,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,4437.71588507526
2003,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,21.85791969299316
2003,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,75.4977874755859
