Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Mali,Kayes,Nioro,MLI,ML0106,ML01,January,1997,0,0
Mali,Segou,Baraoueli,MLI,ML0401,ML04,January,1997,0,0
Mali,Kayes,Kenieba,MLI,ML0104,ML01,January,1997,0,0
Mali,Segou,Bla,MLI,ML0402,ML04,January,1997,0,0
Mali,Segou,Tominian,MLI,ML0407,ML04,January,1997,0,0
Mali,Sikasso,Kolondieba,MLI,ML0303,ML03,January,1997,0,0
Mali,Kayes,Yelimane,MLI,ML0107,ML01,January,1997,0,0
Mali,Koulikoro,Kolokani,MLI,ML0205,ML02,January,1997,0,0
Mali,Kidal,Tessalit,MLI,ML0803,ML08,January,1997,0,0
Mali,Gao,Ansongo,MLI,ML0701,ML07,January,1997,0,0
Mali,Mopti,Mopti,MLI,ML0506,ML05,January,1997,0,0
Mali,Sikasso,Yanfolila,MLI,ML0306,ML03,January,1997,0,0
Mali,Mopti,Youwarou,MLI,ML0508,ML05,January,1997,0,0
Mali,Sikasso,Yorosso,MLI,ML0307,ML03,January,1997,0,0
Mali,Mopti,Djenne,MLI,ML0503,ML05,January,1997,0,0
Mali,Mopti,Tenenkou,MLI,ML0507,ML05,January,1997,0,0
Mali,Tombouctou,Dire,MLI,ML0601,ML06,January,1997,0,0
Mali,Gao,Bourem,MLI,ML0702,ML07,January,1997,0,0
Mali,Kayes,Bafoulabe,MLI,ML0101,ML01,January,1997,0,0
Mali,Koulikoro,Banamba,MLI,ML0201,ML02,January,1997,0,0
Mali,Koulikoro,Dioila,MLI,ML0202,ML02,January,1997,0,0
Mali,Tombouctou,Niafunke,MLI,ML0604,ML06,January,1997,0,0
Mali,Sikasso,Sikasso,MLI,ML0305,ML03,January,1997,0,0
Mali,Sikasso,Bougouni,MLI,ML0301,ML03,January,1997,0,0
Mali,Sikasso,Koutiala,MLI,ML0304,ML03,January,1997,0,0
Mali,Menaka,Inekar,MLI,ML1003,ML10,January,1997,0,0
Mali,Menaka,Menaka,MLI,ML1001,ML10,January,1997,0,0
Mali,Menaka,Tidermene,MLI,ML1004,ML10,January,1997,0,0
Mali,Kidal,Abeibara,MLI,ML0801,ML08,January,1997,0,0
Mali,Menaka,Anderamboukane,MLI,ML1002,ML10,January,1997,0,0
Mali,Segou,Segou,MLI,ML0406,ML04,January,1997,0,0
Mali,Koulikoro,Kati,MLI,ML0204,ML02,January,1997,0,0
Mali,Mopti,Koro,MLI,ML0505,ML05,January,1997,0,0
Mali,Kayes,Kayes,MLI,ML0103,ML01,January,1997,0,0
Mali,Mopti,Bankass,MLI,ML0502,ML05,January,1997,0,0
Mali,Kidal,Tin-Essako,MLI,ML0804,ML08,January,1997,0,0
Mali,Tombouctou,Goundam,MLI,ML0602,ML06,January,1997,0,0
Mali,Kidal,Kidal,MLI,ML0802,ML08,January,1997,0,0
Mali,Segou,San,MLI,ML0405,ML04,January,1997,0,0
Mali,Kayes,Diema,MLI,ML0102,ML01,January,1997,0,0
Mali,Koulikoro,Nara,MLI,ML0207,ML02,January,1997,0,0
Mali,Gao,Gao,MLI,ML0703,ML07,January,1997,0,0
Mali,Kayes,Kita,MLI,ML0105,ML01,January,1997,0,0
Mali,Tombouctou,Gourma-Rharous,MLI,ML0603,ML06,January,1997,0,0
Mali,Bamako,Bamako,MLI,ML0901,ML09,January,1997,0,0
Mali,Koulikoro,Koulikoro,MLI,ML0206,ML02,January,1997,0,0
Mali,Sikasso,Kadiolo,MLI,ML0302,ML03,January,1997,0,0
Mali,Tombouctou,Tombouctou,MLI,ML0605,ML06,January,1997,0,0
Mali,Koulikoro,Kangaba,MLI,ML0203,ML02,January,1997,0,0
Mali,Mopti,Bandiagara,MLI,ML0501,ML05,January,1997,0,0
Mali,Segou,Macina,MLI,ML0403,ML04,January,1997,0,0
Mali,Mopti,Douentza,MLI,ML0504,ML05,January,1997,0,0
Mali,Segou,Niono,MLI,ML0404,ML04,January,1997,0,0
Mali,Kayes,Nioro,MLI,ML0106,ML01,February,1997,0,0
Mali,Segou,Baraoueli,MLI,ML0401,ML04,February,1997,0,0
Mali,Kayes,Kenieba,MLI,ML0104,ML01,February,1997,0,0
Mali,Segou,Bla,MLI,ML0402,ML04,February,1997,0,0
Mali,Segou,Tominian,MLI,ML0407,ML04,February,1997,0,0
Mali,Sikasso,Kolondieba,MLI,ML0303,ML03,February,1997,0,0
Mali,Kayes,Yelimane,MLI,ML0107,ML01,February,1997,0,0
Mali,Koulikoro,Kolokani,MLI,ML0205,ML02,February,1997,0,0
Mali,Kidal,Tessalit,MLI,ML0803,ML08,February,1997,0,0
Mali,Gao,Ansongo,MLI,ML0701,ML07,February,1997,0,0
Mali,Mopti,Mopti,MLI,ML0506,ML05,February,1997,0,0
Mali,Sikasso,Yanfolila,MLI,ML0306,ML03,February,1997,0,0
Mali,Mopti,Youwarou,MLI,ML0508,ML05,February,1997,0,0
Mali,Sikasso,Yorosso,MLI,ML0307,ML03,February,1997,0,0
Mali,Mopti,Djenne,MLI,ML0503,ML05,February,1997,0,0
Mali,Mopti,Tenenkou,MLI,ML0507,ML05,February,1997,0,0
Mali,Tombouctou,Dire,MLI,ML0601,ML06,February,1997,0,0
Mali,Gao,Bourem,MLI,ML0702,ML07,February,1997,0,0
Mali,Kayes,Bafoulabe,MLI,ML0101,ML01,February,1997,0,0
Mali,Koulikoro,Banamba,MLI,ML0201,ML02,February,1997,0,0
Mali,Koulikoro,Dioila,MLI,ML0202,ML02,February,1997,0,0
Mali,Tombouctou,Niafunke,MLI,ML0604,ML06,February,1997,0,0
Mali,Sikasso,Sikasso,MLI,ML0305,ML03,February,1997,0,0
Mali,Sikasso,Bougouni,MLI,ML0301,ML03,February,1997,0,0
Mali,Sikasso,Koutiala,MLI,ML0304,ML03,February,1997,0,0
Mali,Menaka,Inekar,MLI,ML1003,ML10,February,1997,0,0
Mali,Menaka,Menaka,MLI,ML1001,ML10,February,1997,0,0
Mali,Menaka,Tidermene,MLI,ML1004,ML10,February,1997,0,0
Mali,Kidal,Abeibara,MLI,ML0801,ML08,February,1997,0,0
Mali,Menaka,Anderamboukane,MLI,ML1002,ML10,February,1997,0,0
Mali,Segou,Segou,MLI,ML0406,ML04,February,1997,0,0
Mali,Koulikoro,Kati,MLI,ML0204,ML02,February,1997,0,0
Mali,Mopti,Koro,MLI,ML0505,ML05,February,1997,0,0
Mali,Kayes,Kayes,MLI,ML0103,ML01,February,1997,0,0
Mali,Mopti,Bankass,MLI,ML0502,ML05,February,1997,0,0
Mali,Kidal,Tin-Essako,MLI,ML0804,ML08,February,1997,0,0
Mali,Tombouctou,Goundam,MLI,ML0602,ML06,February,1997,0,0
Mali,Kidal,Kidal,MLI,ML0802,ML08,February,1997,0,0
Mali,Segou,San,MLI,ML0405,ML04,February,1997,0,0
Mali,Kayes,Diema,MLI,ML0102,ML01,February,1997,0,0
Mali,Koulikoro,Nara,MLI,ML0207,ML02,February,1997,0,0
Mali,Gao,Gao,MLI,ML0703,ML07,February,1997,0,0
Mali,Kayes,Kita,MLI,ML0105,ML01,February,1997,0,0
Mali,Tombouctou,Gourma-Rharous,MLI,ML0603,ML06,February,1997,0,0
Mali,Bamako,Bamako,MLI,ML0901,ML09,February,1997,0,0
Mali,Koulikoro,Koulikoro,MLI,ML0206,ML02,February,1997,0,0
Mali,Sikasso,Kadiolo,MLI,ML0302,ML03,February,1997,0,0
Mali,Tombouctou,Tombouctou,MLI,ML0605,ML06,February,1997,0,0
Mali,Koulikoro,Kangaba,MLI,ML0203,ML02,February,1997,0,0
Mali,Mopti,Bandiagara,MLI,ML0501,ML05,February,1997,0,0
Mali,Segou,Macina,MLI,ML0403,ML04,February,1997,0,0
Mali,Mopti,Douentza,MLI,ML0504,ML05,February,1997,0,0
Mali,Segou,Niono,MLI,ML0404,ML04,February,1997,0,0
Mali,Kayes,Nioro,MLI,ML0106,ML01,March,1997,0,0
Mali,Segou,Baraoueli,MLI,ML0401,ML04,March,1997,0,0
Mali,Kayes,Kenieba,MLI,ML0104,ML01,March,1997,0,0
Mali,Segou,Bla,MLI,ML0402,ML04,March,1997,0,0
Mali,Segou,Tominian,MLI,ML0407,ML04,March,1997,0,0
Mali,Sikasso,Kolondieba,MLI,ML0303,ML03,March,1997,0,0
Mali,Kayes,Yelimane,MLI,ML0107,ML01,March,1997,0,0
Mali,Koulikoro,Kolokani,MLI,ML0205,ML02,March,1997,0,0
Mali,Kidal,Tessalit,MLI,ML0803,ML08,March,1997,0,0
Mali,Gao,Ansongo,MLI,ML0701,ML07,March,1997,0,0
Mali,Mopti,Mopti,MLI,ML0506,ML05,March,1997,0,0
Mali,Sikasso,Yanfolila,MLI,ML0306,ML03,March,1997,0,0
Mali,Mopti,Youwarou,MLI,ML0508,ML05,March,1997,0,0
Mali,Sikasso,Yorosso,MLI,ML0307,ML03,March,1997,0,0
Mali,Mopti,Djenne,MLI,ML0503,ML05,March,1997,0,0
Mali,Mopti,Tenenkou,MLI,ML0507,ML05,March,1997,0,0
Mali,Tombouctou,Dire,MLI,ML0601,ML06,March,1997,0,0
Mali,Gao,Bourem,MLI,ML0702,ML07,March,1997,0,0
Mali,Kayes,Bafoulabe,MLI,ML0101,ML01,March,1997,0,0
Mali,Koulikoro,Banamba,MLI,ML0201,ML02,March,1997,0,0
Mali,Koulikoro,Dioila,MLI,ML0202,ML02,March,1997,0,0
Mali,Tombouctou,Niafunke,MLI,ML0604,ML06,March,1997,0,0
Mali,Sikasso,Sikasso,MLI,ML0305,ML03,March,1997,0,0
Mali,Sikasso,Bougouni,MLI,ML0301,ML03,March,1997,0,0
Mali,Sikasso,Koutiala,MLI,ML0304,ML03,March,1997,0,0
Mali,Menaka,Inekar,MLI,ML1003,ML10,March,1997,0,0
Mali,Menaka,Menaka,MLI,ML1001,ML10,March,1997,0,0
Mali,Menaka,Tidermene,MLI,ML1004,ML10,March,1997,0,0
Mali,Kidal,Abeibara,MLI,ML0801,ML08,March,1997,0,0
Mali,Menaka,Anderamboukane,MLI,ML1002,ML10,March,1997,0,0
Mali,Segou,Segou,MLI,ML0406,ML04,March,1997,0,0
Mali,Koulikoro,Kati,MLI,ML0204,ML02,March,1997,0,0
Mali,Mopti,Koro,MLI,ML0505,ML05,March,1997,0,0
Mali,Kayes,Kayes,MLI,ML0103,ML01,March,1997,0,0
Mali,Mopti,Bankass,MLI,ML0502,ML05,March,1997,0,0
Mali,Kidal,Tin-Essako,MLI,ML0804,ML08,March,1997,0,0
Mali,Tombouctou,Goundam,MLI,ML0602,ML06,March,1997,0,0
Mali,Kidal,Kidal,MLI,ML0802,ML08,March,1997,0,0
Mali,Segou,San,MLI,ML0405,ML04,March,1997,0,0
Mali,Kayes,Diema,MLI,ML0102,ML01,March,1997,0,0
Mali,Koulikoro,Nara,MLI,ML0207,ML02,March,1997,0,0
Mali,Gao,Gao,MLI,ML0703,ML07,March,1997,0,0
Mali,Kayes,Kita,MLI,ML0105,ML01,March,1997,0,0
Mali,Tombouctou,Gourma-Rharous,MLI,ML0603,ML06,March,1997,0,0
Mali,Bamako,Bamako,MLI,ML0901,ML09,March,1997,0,0
Mali,Koulikoro,Koulikoro,MLI,ML0206,ML02,March,1997,0,0
Mali,Sikasso,Kadiolo,MLI,ML0302,ML03,March,1997,0,0
Mali,Tombouctou,Tombouctou,MLI,ML0605,ML06,March,1997,0,0
Mali,Koulikoro,Kangaba,MLI,ML0203,ML02,March,1997,0,0
Mali,Mopti,Bandiagara,MLI,ML0501,ML05,March,1997,0,0
Mali,Segou,Macina,MLI,ML0403,ML04,March,1997,0,0
Mali,Mopti,Douentza,MLI,ML0504,ML05,March,1997,0,0
Mali,Segou,Niono,MLI,ML0404,ML04,March,1997,0,0
Mali,Kayes,Nioro,MLI,ML0106,ML01,April,1997,0,0
Mali,Segou,Baraoueli,MLI,ML0401,ML04,April,1997,0,0
Mali,Kayes,Kenieba,MLI,ML0104,ML01,April,1997,0,0
Mali,Segou,Bla,MLI,ML0402,ML04,April,1997,0,0
Mali,Segou,Tominian,MLI,ML0407,ML04,April,1997,0,0
Mali,Sikasso,Kolondieba,MLI,ML0303,ML03,April,1997,0,0
Mali,Kayes,Yelimane,MLI,ML0107,ML01,April,1997,0,0
Mali,Koulikoro,Kolokani,MLI,ML0205,ML02,April,1997,0,0
Mali,Kidal,Tessalit,MLI,ML0803,ML08,April,1997,0,0
Mali,Gao,Ansongo,MLI,ML0701,ML07,April,1997,0,0
Mali,Mopti,Mopti,MLI,ML0506,ML05,April,1997,0,0
Mali,Sikasso,Yanfolila,MLI,ML0306,ML03,April,1997,0,0
Mali,Mopti,Youwarou,MLI,ML0508,ML05,April,1997,0,0
Mali,Sikasso,Yorosso,MLI,ML0307,ML03,April,1997,0,0
Mali,Mopti,Djenne,MLI,ML0503,ML05,April,1997,0,0
Mali,Mopti,Tenenkou,MLI,ML0507,ML05,April,1997,0,0
Mali,Tombouctou,Dire,MLI,ML0601,ML06,April,1997,0,0
Mali,Gao,Bourem,MLI,ML0702,ML07,April,1997,0,0
Mali,Kayes,Bafoulabe,MLI,ML0101,ML01,April,1997,0,0
Mali,Koulikoro,Banamba,MLI,ML0201,ML02,April,1997,0,0
Mali,Koulikoro,Dioila,MLI,ML0202,ML02,April,1997,0,0
Mali,Tombouctou,Niafunke,MLI,ML0604,ML06,April,1997,0,0
Mali,Sikasso,Sikasso,MLI,ML0305,ML03,April,1997,0,0
Mali,Sikasso,Bougouni,MLI,ML0301,ML03,April,1997,0,0
Mali,Sikasso,Koutiala,MLI,ML0304,ML03,April,1997,0,0
Mali,Menaka,Inekar,MLI,ML1003,ML10,April,1997,0,0
Mali,Menaka,Menaka,MLI,ML1001,ML10,April,1997,0,0
Mali,Menaka,Tidermene,MLI,ML1004,ML10,April,1997,0,0
Mali,Kidal,Abeibara,MLI,ML0801,ML08,April,1997,0,0
Mali,Menaka,Anderamboukane,MLI,ML1002,ML10,April,1997,0,0
Mali,Segou,Segou,MLI,ML0406,ML04,April,1997,0,0
Mali,Koulikoro,Kati,MLI,ML0204,ML02,April,1997,0,0
Mali,Mopti,Koro,MLI,ML0505,ML05,April,1997,0,0
Mali,Kayes,Kayes,MLI,ML0103,ML01,April,1997,0,0
Mali,Mopti,Bankass,MLI,ML0502,ML05,April,1997,0,0
Mali,Kidal,Tin-Essako,MLI,ML0804,ML08,April,1997,0,0
Mali,Tombouctou,Goundam,MLI,ML0602,ML06,April,1997,0,0
Mali,Kidal,Kidal,MLI,ML0802,ML08,April,1997,0,0
Mali,Segou,San,MLI,ML0405,ML04,April,1997,0,0
Mali,Kayes,Diema,MLI,ML0102,ML01,April,1997,0,0
Mali,Koulikoro,Nara,MLI,ML0207,ML02,April,1997,0,0
Mali,Gao,Gao,MLI,ML0703,ML07,April,1997,0,0
Mali,Kayes,Kita,MLI,ML0105,ML01,April,1997,0,0
