Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Syria,Aleppo,Menbij,SYR,SY0205,SY02,January,2017,13,45
Syria,Ar Raqqa,Ar Raqqa,SYR,SY1101,SY11,January,2017,27,53
Syria,Hama,As Salamiyeh,SYR,SY0503,SY05,January,2017,27,48
Syria,Homs,Tall Kalakh,SYR,SY0403,SY04,January,2017,0,0
Syria,Rural Damascus,Az Zabdani,SYR,SY0307,SY03,January,2017,90,154
Syria,Aleppo,Ain Al Arab,SYR,SY0206,SY02,January,2017,0,0
Syria,Aleppo,Azaz,SYR,SY0204,SY02,January,2017,6,65
Syria,Hama,Muhradah,SYR,SY0505,SY05,January,2017,17,17
Syria,Idleb,Idleb,SYR,SY0700,SY07,January,2017,45,106
Syria,Quneitra,Al Fiq,SYR,SY1402,SY14,January,2017,0,0
Syria,Quneitra,Quneitra,SYR,SY1400,SY14,January,2017,0,0
Syria,Rural Damascus,At Tall,SYR,SY0304,SY03,January,2017,6,7
Syria,Rural Damascus,Qatana,SYR,SY0308,SY03,January,2017,3,3
Syria,Rural Damascus,Yabroud,SYR,SY0305,SY03,January,2017,0,0
Syria,Tartous,Dreikish,SYR,SY1004,SY10,January,2017,0,0
Syria,Al Hasakeh,Al Malikeyyeh,SYR,SY0803,SY08,January,2017,0,0
Syria,Al Hasakeh,Quamishli,SYR,SY0802,SY08,January,2017,3,5
Syria,As Sweida,Salkhad,SYR,SY1302,SY13,January,2017,0,0
Syria,Deir ez Zor,Al Mayadin,SYR,SY0903,SY09,January,2017,11,26
Syria,Tartous,Qadmous,SYR,SY1006,SY10,January,2017,0,0
Syria,Damascus,Damascus,SYR,SY0100,SY01,January,2017,10,8
Syria,Dara,Dara,SYR,SY1200,SY12,January,2017,28,68
Syria,Hama,As Suqaylabiyah,SYR,SY0502,SY05,January,2017,6,15
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,January,2017,1,8
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,January,2017,0,0
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,January,2017,0,0
Syria,Rural Damascus,Darayya,SYR,SY0309,SY03,January,2017,0,0
Syria,Tartous,Banyas,SYR,SY1002,SY10,January,2017,0,0
Syria,Tartous,Safita,SYR,SY1003,SY10,January,2017,0,0
Syria,Tartous,Tartous,SYR,SY1000,SY10,January,2017,0,0
Syria,Aleppo,Afrin,SYR,SY0203,SY02,January,2017,0,0
Syria,Dara,As Sanamayn,SYR,SY1202,SY12,January,2017,1,2
Syria,Dara,Izra,SYR,SY1203,SY12,January,2017,4,9
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,January,2017,81,362
Syria,Aleppo,As Safira,SYR,SY0207,SY02,January,2017,9,18
Syria,Hama,Masyaf,SYR,SY0504,SY05,January,2017,0,0
Syria,Homs,Homs,SYR,SY0401,SY04,January,2017,20,61
Syria,Homs,Tadmor,SYR,SY0405,SY04,January,2017,3,28
Syria,Idleb,Ariha,SYR,SY0705,SY07,January,2017,12,44
Syria,Lattakia,Al Haffa,SYR,SY0603,SY06,January,2017,0,0
Syria,Lattakia,Jablah,SYR,SY0602,SY06,January,2017,1,14
Syria,Rural Damascus,Al Qutayfah,SYR,SY0303,SY03,January,2017,4,4
Syria,Rural Damascus,Rural Damascus,SYR,SY0301,SY03,January,2017,20,31
Syria,Tartous,Sheikh Badr,SYR,SY1005,SY10,January,2017,0,0
Syria,Al Hasakeh,Al Hasakeh,SYR,SY0800,SY08,January,2017,6,7
Syria,Ar Raqqa,Ath Thawrah,SYR,SY1103,SY11,January,2017,23,53
Syria,As Sweida,Shahba,SYR,SY1303,SY13,January,2017,0,0
Syria,Deir ez Zor,Deir ez Zor,SYR,SY0901,SY09,January,2017,69,284
Syria,Homs,Al Qusayr,SYR,SY0402,SY04,January,2017,0,0
Syria,Homs,Ar Rastan,SYR,SY0404,SY04,January,2017,27,58
Syria,Al Hasakeh,Ras Al Ain,SYR,SY0804,SY08,January,2017,3,6
Syria,Aleppo,Jarablus,SYR,SY0208,SY02,January,2017,0,0
Syria,Aleppo,Jebel Saman,SYR,SY0200,SY02,January,2017,53,136
Syria,Ar Raqqa,Tell Abiad,SYR,SY1102,SY11,January,2017,11,18
Syria,As Sweida,As Sweida,SYR,SY1300,SY13,January,2017,0,0
Syria,Deir ez Zor,Abu Kamal,SYR,SY0902,SY09,January,2017,6,22
Syria,Hama,Hama,SYR,SY0501,SY05,January,2017,18,57
Syria,Idleb,Al Mara,SYR,SY0702,SY07,January,2017,13,40
Syria,Idleb,Harim,SYR,SY0703,SY07,January,2017,5,8
Syria,Idleb,Jisr Ash Shugur,SYR,SY0704,SY07,January,2017,2,1
Syria,Rural Damascus,An Nabk,SYR,SY0306,SY03,January,2017,0,0
Syria,Rural Damascus,Duma,SYR,SY0302,SY03,January,2017,42,82
Syria,Aleppo,Menbij,SYR,SY0205,SY02,February,2017,10,44
Syria,Ar Raqqa,Ar Raqqa,SYR,SY1101,SY11,February,2017,46,134
Syria,Hama,As Salamiyeh,SYR,SY0503,SY05,February,2017,15,29
Syria,Homs,Tall Kalakh,SYR,SY0403,SY04,February,2017,0,0
Syria,Rural Damascus,Az Zabdani,SYR,SY0307,SY03,February,2017,43,27
Syria,Aleppo,Ain Al Arab,SYR,SY0206,SY02,February,2017,1,2
Syria,Aleppo,Azaz,SYR,SY0204,SY02,February,2017,6,9
Syria,Hama,Muhradah,SYR,SY0505,SY05,February,2017,18,54
Syria,Idleb,Idleb,SYR,SY0700,SY07,February,2017,33,154
Syria,Quneitra,Al Fiq,SYR,SY1402,SY14,February,2017,0,0
Syria,Quneitra,Quneitra,SYR,SY1400,SY14,February,2017,0,0
Syria,Rural Damascus,At Tall,SYR,SY0304,SY03,February,2017,15,15
Syria,Rural Damascus,Qatana,SYR,SY0308,SY03,February,2017,3,4
Syria,Rural Damascus,Yabroud,SYR,SY0305,SY03,February,2017,0,0
Syria,Tartous,Dreikish,SYR,SY1004,SY10,February,2017,0,0
Syria,Al Hasakeh,Al Malikeyyeh,SYR,SY0803,SY08,February,2017,1,1
Syria,Al Hasakeh,Quamishli,SYR,SY0802,SY08,February,2017,3,2
Syria,As Sweida,Salkhad,SYR,SY1302,SY13,February,2017,0,0
Syria,Deir ez Zor,Al Mayadin,SYR,SY0903,SY09,February,2017,7,9
Syria,Tartous,Qadmous,SYR,SY1006,SY10,February,2017,0,0
Syria,Damascus,Damascus,SYR,SY0100,SY01,February,2017,33,76
Syria,Dara,Dara,SYR,SY1200,SY12,February,2017,63,130
Syria,Hama,As Suqaylabiyah,SYR,SY0502,SY05,February,2017,22,34
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,February,2017,0,0
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,February,2017,0,0
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,February,2017,0,0
Syria,Rural Damascus,Darayya,SYR,SY0309,SY03,February,2017,0,0
Syria,Tartous,Banyas,SYR,SY1002,SY10,February,2017,0,0
Syria,Tartous,Safita,SYR,SY1003,SY10,February,2017,0,0
Syria,Tartous,Tartous,SYR,SY1000,SY10,February,2017,0,0
Syria,Aleppo,Afrin,SYR,SY0203,SY02,February,2017,1,0
Syria,Dara,As Sanamayn,SYR,SY1202,SY12,February,2017,0,0
Syria,Dara,Izra,SYR,SY1203,SY12,February,2017,8,126
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,February,2017,42,240
Syria,Aleppo,As Safira,SYR,SY0207,SY02,February,2017,4,10
Syria,Hama,Masyaf,SYR,SY0504,SY05,February,2017,0,0
Syria,Homs,Homs,SYR,SY0401,SY04,February,2017,41,175
Syria,Homs,Tadmor,SYR,SY0405,SY04,February,2017,1,4
Syria,Idleb,Ariha,SYR,SY0705,SY07,February,2017,3,45
Syria,Lattakia,Al Haffa,SYR,SY0603,SY06,February,2017,2,11
Syria,Lattakia,Jablah,SYR,SY0602,SY06,February,2017,1,3
Syria,Rural Damascus,Al Qutayfah,SYR,SY0303,SY03,February,2017,1,1
Syria,Rural Damascus,Rural Damascus,SYR,SY0301,SY03,February,2017,12,5
Syria,Tartous,Sheikh Badr,SYR,SY1005,SY10,February,2017,0,0
Syria,Al Hasakeh,Al Hasakeh,SYR,SY0800,SY08,February,2017,7,4
Syria,Ar Raqqa,Ath Thawrah,SYR,SY1103,SY11,February,2017,11,43
Syria,As Sweida,Shahba,SYR,SY1303,SY13,February,2017,0,0
Syria,Deir ez Zor,Deir ez Zor,SYR,SY0901,SY09,February,2017,23,134
Syria,Homs,Al Qusayr,SYR,SY0402,SY04,February,2017,0,0
Syria,Homs,Ar Rastan,SYR,SY0404,SY04,February,2017,19,13
Syria,Al Hasakeh,Ras Al Ain,SYR,SY0804,SY08,February,2017,1,1
Syria,Aleppo,Jarablus,SYR,SY0208,SY02,February,2017,2,2
Syria,Aleppo,Jebel Saman,SYR,SY0200,SY02,February,2017,46,100
