Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Yemen,Abyan,Al Mahfad,YEM,YE1201,YE12,January,2015,1,1
Yemen,Ad Dali,Ash Shuayb,YEM,YE3004,YE30,January,2015,0,0
Yemen,Aden,Al Buraiqeh,YEM,YE2404,YE24,January,2015,1,1
Yemen,Aden,Ash Shaikh Outhman,YEM,YE2402,YE24,January,2015,0,0
Yemen,Aden,Dar Sad,YEM,YE2401,YE24,January,2015,0,0
Yemen,Al Bayda,Dhi Naim,YEM,YE1406,YE14,January,2015,0,0
Yemen,Al Bayda,Naman,YEM,YE1401,YE14,January,2015,0,0
Yemen,Al Bayda,Nati,YEM,YE1402,YE14,January,2015,0,0
Yemen,Al Bayda,Sabah,YEM,YE1417,YE14,January,2015,0,0
Yemen,Al Mahrah,Al Ghaydah,YEM,YE2804,YE28,January,2015,0,0
Yemen,Al Mahwit,Ar Rujum,YEM,YE2703,YE27,January,2015,0,0
Yemen,Al Mahwit,Hufash,YEM,YE2706,YE27,January,2015,0,0
Yemen,Amanat al Asimah,Al Wahdah,YEM,YE1306,YE13,January,2015,1,0
Yemen,Amran,Amran,YEM,YE2915,YE29,January,2015,0,0
Yemen,Amran,Raydah,YEM,YE2911,YE29,January,2015,0,0
Yemen,Amran,Shaharah,YEM,YE2905,YE29,January,2015,0,0
Yemen,Dhamar,Al Manar,YEM,YE2012,YE20,January,2015,0,0
Yemen,Dhamar,Jahran,YEM,YE2002,YE20,January,2015,1,1
Yemen,Dhamar,Wusab Al Ali,YEM,YE2006,YE20,January,2015,0,0
Yemen,Hadramawt,Ash Shihr,YEM,YE1915,YE19,January,2015,1,1
Yemen,Hadramawt,Rumah,YEM,YE1901,YE19,January,2015,0,0
Yemen,Hajjah,Al Mahabishah,YEM,YE1715,YE17,January,2015,0,0
Yemen,Hajjah,Ash Shahil,YEM,YE1721,YE17,January,2015,0,0
Yemen,Hajjah,Bani Qais,YEM,YE1724,YE17,January,2015,0,0
Yemen,Hajjah,Midi,YEM,YE1703,YE17,January,2015,0,0
Yemen,Ibb,Al Dhihar,YEM,YE1119,YE11,January,2015,1,1
Yemen,Ibb,Dhi As Sufal,YEM,YE1116,YE11,January,2015,3,0
Yemen,Lahij,Al Had,YEM,YE2501,YE25,January,2015,1,3
Yemen,Lahij,Al Madaribah Wa Al Arah,YEM,YE2513,YE25,January,2015,0,0
Yemen,Marib,Harib,YEM,YE2609,YE26,January,2015,0,0
Yemen,Marib,Mahliyah,YEM,YE2610,YE26,January,2015,0,0
Yemen,Marib,Sirwah,YEM,YE2606,YE26,January,2015,0,0
Yemen,Raymah,As Salafiyah,YEM,YE3102,YE31,January,2015,0,0
Yemen,Raymah,Bilad At Taam,YEM,YE3101,YE31,January,2015,0,0
Yemen,Raymah,Kusmah,YEM,YE3105,YE31,January,2015,0,0
Yemen,Sadah,Razih,YEM,YE2205,YE22,January,2015,0,0
Yemen,Sadah,Saqayn,YEM,YE2209,YE22,January,2015,0,0
Yemen,Sanaa,Jihanah,YEM,YE2316,YE23,January,2015,0,0
Yemen,Sanaa,Safan,YEM,YE2311,YE23,January,2015,0,0
Yemen,Shabwah,Dhar,YEM,YE2101,YE21,January,2015,0,0
Yemen,Shabwah,Mayfaa,YEM,YE2116,YE21,January,2015,0,0
Yemen,Taizz,At Taiziyah,YEM,YE1520,YE15,January,2015,0,0
Yemen,Taizz,Dhubab,YEM,YE1506,YE15,January,2015,0,0
Yemen,Taizz,Mashraa Wa Hadnan,YEM,YE1509,YE15,January,2015,0,0
Yemen,Taizz,Mawza,YEM,YE1507,YE15,January,2015,0,0
Yemen,Abyan,Al Wadea,YEM,YE1208,YE12,January,2015,0,0
Yemen,Abyan,Zingibar,YEM,YE1210,YE12,January,2015,1,1
Yemen,Aden,Craiter,YEM,YE2407,YE24,January,2015,1,0
Yemen,Aden,Khur Maksar,YEM,YE2408,YE24,January,2015,0,0
Yemen,Al Bayda,Al Quraishyah,YEM,YE1414,YE14,January,2015,0,0
