Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Syria,Aleppo,Menbij,SYR,SY0205,SY02,January,2017,13,45,36.2988434,37.7593857
Syria,Ar Raqqa,Ar Raqqa,SYR,SY1101,SY11,January,2017,27,53,35.949678,39.0089212
Syria,Hama,As Salamiyeh,SYR,SY0503,SY05,January,2017,27,48,35.28733,37.2541753
Syria,Homs,Tall Kalakh,SYR,SY0403,SY04,January,2017,0,0,34.6711575,36.2616815
Syria,Rural Damascus,Az Zabdani,SYR,SY0307,SY03,January,2017,90,154,,
Syria,Aleppo,Ain Al Arab,SYR,SY0206,SY02,January,2017,0,0,36.8899756,38.3542376
Syria,Aleppo,Azaz,SYR,SY0204,SY02,January,2017,6,65,36.5864441,37.0464305
Syria,Hama,Muhradah,SYR,SY0505,SY05,January,2017,17,17,35.28733,37.2541753
Syria,Idleb,Idleb,SYR,SY0700,SY07,January,2017,45,106,35.8741289,36.8142178
Syria,Quneitra,Al Fiq,SYR,SY1402,SY14,January,2017,0,0,32.8997436,35.8780671
Syria,Quneitra,Quneitra,SYR,SY1400,SY14,January,2017,0,0,33.1215488,35.8973287
Syria,Rural Damascus,At Tall,SYR,SY0304,SY03,January,2017,6,7,,
Syria,Rural Damascus,Qatana,SYR,SY0308,SY03,January,2017,3,3,33.3810496,35.9846358
Syria,Rural Damascus,Yabroud,SYR,SY0305,SY03,January,2017,0,0,,
Syria,Tartous,Dreikish,SYR,SY1004,SY10,January,2017,0,0,34.9453957,36.0733069
Syria,Al Hasakeh,Al Malikeyyeh,SYR,SY0803,SY08,January,2017,0,0,,
Syria,Al Hasakeh,Quamishli,SYR,SY0802,SY08,January,2017,3,5,,
Syria,As Sweida,Salkhad,SYR,SY1302,SY13,January,2017,0,0,32.7386567,36.8999085
Syria,Deir ez Zor,Al Mayadin,SYR,SY0903,SY09,January,2017,11,26,35.0190567,40.4509227
Syria,Tartous,Qadmous,SYR,SY1006,SY10,January,2017,0,0,35.1086261,36.1654891
Syria,Damascus,Damascus,SYR,SY0100,SY01,January,2017,10,8,33.5130695,36.3095814
Syria,Dara,Dara,SYR,SY1200,SY12,January,2017,28,68,32.6227776,36.1067639
Syria,Hama,As Suqaylabiyah,SYR,SY0502,SY05,January,2017,6,15,35.28733,37.2541753
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,January,2017,1,8,34.4667601,38.0622823
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,January,2017,0,0,,
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,January,2017,0,0,35.5752422,35.8008169
Syria,Rural Damascus,Darayya,SYR,SY0309,SY03,January,2017,0,0,33.4624691,36.2183064
Syria,Tartous,Banyas,SYR,SY1002,SY10,January,2017,0,0,35.1459539,36.0872985
Syria,Tartous,Safita,SYR,SY1003,SY10,January,2017,0,0,34.820683,36.1177283
Syria,Tartous,Tartous,SYR,SY1000,SY10,January,2017,0,0,34.8936225,35.885167
Syria,Aleppo,Afrin,SYR,SY0203,SY02,January,2017,0,0,36.5083795,36.870089
Syria,Dara,As Sanamayn,SYR,SY1202,SY12,January,2017,1,2,33.0732448,36.1833927
Syria,Dara,Izra,SYR,SY1203,SY12,January,2017,4,9,32.8546282,36.2420324
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,January,2017,81,362,36.3711098,37.5143955
Syria,Aleppo,As Safira,SYR,SY0207,SY02,January,2017,9,18,36.0791541,37.3728465
Syria,Hama,Masyaf,SYR,SY0504,SY05,January,2017,0,0,35.0646383,36.3407993
Syria,Homs,Homs,SYR,SY0401,SY04,January,2017,20,61,34.7333334,36.7166667
Syria,Homs,Tadmor,SYR,SY0405,SY04,January,2017,3,28,34.5526608,38.259261
Syria,Idleb,Ariha,SYR,SY0705,SY07,January,2017,12,44,35.8126373,36.6100784
Syria,Lattakia,Al Haffa,SYR,SY0603,SY06,January,2017,0,0,35.5980442,36.0302525
Syria,Lattakia,Jablah,SYR,SY0602,SY06,January,2017,1,14,,
Syria,Rural Damascus,Al Qutayfah,SYR,SY0303,SY03,January,2017,4,4,,
