Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Afghanistan,Badakhshan,Shahri Buzurg,AFG,AF1713,AF17,January,2017,0,0,37.341232,70.135468
Afghanistan,Badakhshan,Shighnan,AFG,AF1719,AF17,January,2017,0,0,37.601108,71.243997
Afghanistan,Badakhshan,Yawan,AFG,AF1709,AF17,January,2017,0,0,37.528151,70.380443
Afghanistan,Baghlan,Khinjan,AFG,AF0906,AF09,January,2017,0,0,35.47131,68.973603
Afghanistan,Baghlan,Nahreen,AFG,AF0904,AF09,January,2017,0,0,35.75,69.0
Afghanistan,Balkh,Char Kent,AFG,AF2104,AF21,January,2017,0,0,36.7558933,66.7208878
Afghanistan,Balkh,Khulm,AFG,AF2110,AF21,January,2017,0,0,36.814534,67.743267
Afghanistan,Bamyan,Bamyan,AFG,AF1001,AF10,January,2017,0,0,34.794631,67.684334
Afghanistan,Daykundi,Miramor,AFG,AF2406,AF24,January,2017,0,0,33.8050984,67.0466319
Afghanistan,Faryab,Qaram Qul,AFG,AF2911,AF29,January,2017,0,0,35.6481166,64.8808667
Afghanistan,Ghazni,Muqur,AFG,AF1115,AF11,January,2017,0,0,32.940346,67.781802
Afghanistan,Ghor,Pasaband,AFG,AF2305,AF23,January,2017,0,0,33.5768137,65.1399903
Afghanistan,Helmand,Kajaki,AFG,AF3010,AF30,January,2017,0,0,32.48418,65.038714
Afghanistan,Helmand,Sangin,AFG,AF3008,AF30,January,2017,0,0,32.123611,64.996532
Afghanistan,Herat,Adraskan,AFG,AF3209,AF32,January,2017,0,0,33.705406,61.995481
Afghanistan,Herat,Ghoryan,AFG,AF3211,AF32,January,2017,0,0,34.18233,61.16269
Afghanistan,Herat,Gulran,AFG,AF3208,AF32,January,2017,0,0,35.134036,61.57135
Afghanistan,Herat,Guzera,AFG,AF3203,AF32,January,2017,0,0,34.1577182,62.2905676
