Country,Month,Year,Events,Fatalities
Andorra,January,2020,1,0
Andorra,February,2020,0,0
Andorra,March,2020,0,0
Andorra,April,2020,0,0
Andorra,May,2020,0,0
Andorra,June,2020,0,0
Andorra,July,2020,0,0
Andorra,August,2020,0,0
Andorra,September,2020,0,0
Andorra,October,2020,0,0
Andorra,November,2020,0,0
Andorra,December,2020,0,0
Andorra,January,2021,0,0
Andorra,February,2021,0,0
Andorra,March,2021,0,0
Andorra,April,2021,0,0
Andorra,May,2021,0,0
Andorra,June,2021,0,0
Andorra,July,2021,0,0
Andorra,August,2021,0,0
Andorra,September,2021,0,0
Andorra,October,2021,0,0
Andorra,November,2021,0,0
Andorra,December,2021,0,0
Andorra,January,2022,0,0
Andorra,February,2022,0,0
Andorra,March,2022,0,0
Andorra,April,2022,0,0
Andorra,May,2022,0,0
Andorra,June,2022,0,0
Andorra,July,2022,0,0
Andorra,August,2022,0,0
Andorra,September,2022,0,0
Andorra,October,2022,0,0
Andorra,November,2022,0,0
Andorra,December,2022,0,0
Andorra,January,2023,0,0
Andorra,February,2023,0,0
Andorra,March,2023,0,0
Andorra,April,2023,0,0
Andorra,May,2023,0,0
Andorra,June,2023,0,0
Andorra,July,2023,0,0
Andorra,August,2023,0,0
Andorra,September,2023,0,0
Andorra,October,2023,0,0
Andorra,November,2023,0,0
Andorra,December,2023,0,0
Andorra,January,2024,0,0
Andorra,February,2024,0,0
Andorra,March,2024,0,0
Andorra,April,2024,0,0
Andorra,May,2024,0,0
Andorra,June,2024,0,0
Andorra,July,2024,0,0
Andorra,August,2024,0,0
Andorra,September,2024,0,0
Andorra,October,2024,0,0
Andorra,November,2024,0,0
Andorra,December,2024,0,0
Andorra,January,2025,0,0
Andorra,February,2025,0,0
Andorra,March,2025,0,0
Andorra,April,2025,0,0
Andorra,May,2025,0,0
Andorra,June,2025,0,0
Andorra,July,2025,0,0
Andorra,August,2025,0,0
Andorra,September,2025,0,0
Andorra,October,2025,0,0
Andorra,November,2025,0,0
Andorra,December,2025,0,0
Andorra,January,2026,0,0
Andorra,February,2026,0,0
Andorra,March,2026,0,0
Andorra,April,2026,0,0
