Country,Month,Year,Events,Fatalities
Antigua and Barbuda,January,2018,0,0
Antigua and Barbuda,February,2018,0,0
Antigua and Barbuda,March,2018,0,0
Antigua and Barbuda,April,2018,0,0
Antigua and Barbuda,May,2018,1,0
Antigua and Barbuda,June,2018,0,0
Antigua and Barbuda,July,2018,0,0
Antigua and Barbuda,August,2018,0,0
Antigua and Barbuda,September,2018,0,0
Antigua and Barbuda,October,2018,0,0
Antigua and Barbuda,November,2018,0,0
Antigua and Barbuda,December,2018,0,0
Antigua and Barbuda,January,2019,0,0
Antigua and Barbuda,February,2019,0,0
Antigua and Barbuda,March,2019,0,0
Antigua and Barbuda,April,2019,0,0
Antigua and Barbuda,May,2019,0,0
Antigua and Barbuda,June,2019,0,0
Antigua and Barbuda,July,2019,0,0
Antigua and Barbuda,August,2019,0,0
Antigua and Barbuda,September,2019,0,0
Antigua and Barbuda,October,2019,1,0
Antigua and Barbuda,November,2019,0,0
Antigua and Barbuda,December,2019,0,0
Antigua and Barbuda,January,2020,0,0
Antigua and Barbuda,February,2020,0,0
Antigua and Barbuda,March,2020,0,0
Antigua and Barbuda,April,2020,2,1
Antigua and Barbuda,May,2020,0,0
Antigua and Barbuda,June,2020,0,0
Antigua and Barbuda,July,2020,1,1
Antigua and Barbuda,August,2020,0,0
Antigua and Barbuda,September,2020,1,0
Antigua and Barbuda,October,2020,0,0
Antigua and Barbuda,November,2020,0,0
Antigua and Barbuda,December,2020,0,0
Antigua and Barbuda,January,2021,0,0
Antigua and Barbuda,February,2021,0,0
Antigua and Barbuda,March,2021,0,0
Antigua and Barbuda,April,2021,0,0
Antigua and Barbuda,May,2021,0,0
Antigua and Barbuda,June,2021,0,0
Antigua and Barbuda,July,2021,0,0
Antigua and Barbuda,August,2021,0,0
Antigua and Barbuda,September,2021,0,0
Antigua and Barbuda,October,2021,0,0
Antigua and Barbuda,November,2021,0,0
Antigua and Barbuda,December,2021,1,0
Antigua and Barbuda,January,2022,0,0
Antigua and Barbuda,February,2022,0,0
Antigua and Barbuda,March,2022,0,0
Antigua and Barbuda,April,2022,0,0
Antigua and Barbuda,May,2022,0,0
Antigua and Barbuda,June,2022,0,0
Antigua and Barbuda,July,2022,0,0
Antigua and Barbuda,August,2022,0,0
Antigua and Barbuda,September,2022,0,0
Antigua and Barbuda,October,2022,0,0
Antigua and Barbuda,November,2022,0,0
Antigua and Barbuda,December,2022,0,0
Antigua and Barbuda,January,2023,0,0
Antigua and Barbuda,February,2023,0,0
Antigua and Barbuda,March,2023,0,0
Antigua and Barbuda,April,2023,0,0
Antigua and Barbuda,May,2023,0,0
Antigua and Barbuda,June,2023,0,0
Antigua and Barbuda,July,2023,1,1
Antigua and Barbuda,August,2023,0,0
Antigua and Barbuda,September,2023,0,0
Antigua and Barbuda,October,2023,0,0
Antigua and Barbuda,November,2023,0,0
Antigua and Barbuda,December,2023,0,0
Antigua and Barbuda,January,2024,0,0
Antigua and Barbuda,February,2024,0,0
Antigua and Barbuda,March,2024,0,0
Antigua and Barbuda,April,2024,2,1
Antigua and Barbuda,May,2024,1,1
Antigua and Barbuda,June,2024,0,0
Antigua and Barbuda,July,2024,0,0
Antigua and Barbuda,August,2024,0,0
Antigua and Barbuda,September,2024,0,0
Antigua and Barbuda,October,2024,0,0
Antigua and Barbuda,November,2024,1,1
Antigua and Barbuda,December,2024,0,0
Antigua and Barbuda,January,2025,0,0
Antigua and Barbuda,February,2025,0,0
Antigua and Barbuda,March,2025,0,0
Antigua and Barbuda,April,2025,0,0
Antigua and Barbuda,May,2025,0,0
Antigua and Barbuda,June,2025,0,0
Antigua and Barbuda,July,2025,0,0
Antigua and Barbuda,August,2025,1,1
Antigua and Barbuda,September,2025,0,0
Antigua and Barbuda,October,2025,0,0
Antigua and Barbuda,November,2025,0,0
Antigua and Barbuda,December,2025,0,0
Antigua and Barbuda,January,2026,0,0
Antigua and Barbuda,February,2026,0,0
Antigua and Barbuda,March,2026,0,0
Antigua and Barbuda,April,2026,0,0
