Country,Month,Year,Events,Fatalities
Bangladesh,January,2010,75,37
Bangladesh,February,2010,83,30
Bangladesh,March,2010,68,37
Bangladesh,April,2010,44,19
Bangladesh,May,2010,25,11
Bangladesh,June,2010,33,18
Bangladesh,July,2010,61,42
Bangladesh,August,2010,71,40
Bangladesh,September,2010,51,22
Bangladesh,October,2010,74,41
Bangladesh,November,2010,72,42
Bangladesh,December,2010,44,21
Bangladesh,January,2011,48,30
Bangladesh,February,2011,38,17
Bangladesh,March,2011,27,15
Bangladesh,April,2011,46,31
Bangladesh,May,2011,54,34
Bangladesh,June,2011,67,26
Bangladesh,July,2011,62,36
Bangladesh,August,2011,48,25
Bangladesh,September,2011,50,34
Bangladesh,October,2011,58,27
Bangladesh,November,2011,47,28
Bangladesh,December,2011,49,31
Bangladesh,January,2012,58,32
Bangladesh,February,2012,48,20
Bangladesh,March,2012,39,29
Bangladesh,April,2012,31,18
Bangladesh,May,2012,35,25
Bangladesh,June,2012,37,16
Bangladesh,July,2012,40,29
Bangladesh,August,2012,46,38
Bangladesh,September,2012,28,14
Bangladesh,October,2012,36,23
Bangladesh,November,2012,40,13
Bangladesh,December,2012,24,12
Bangladesh,January,2013,35,23
Bangladesh,February,2013,22,9
Bangladesh,March,2013,60,34
Bangladesh,April,2013,46,19
Bangladesh,May,2013,26,13
Bangladesh,June,2013,47,18
Bangladesh,July,2013,44,28
Bangladesh,August,2013,43,25
Bangladesh,September,2013,29,8
Bangladesh,October,2013,68,28
Bangladesh,November,2013,64,25
Bangladesh,December,2013,81,51
Bangladesh,January,2014,63,20
Bangladesh,February,2014,32,14
Bangladesh,March,2014,30,8
Bangladesh,April,2014,31,13
Bangladesh,May,2014,29,20
Bangladesh,June,2014,25,13
Bangladesh,July,2014,21,13
Bangladesh,August,2014,29,14
Bangladesh,September,2014,22,9
Bangladesh,October,2014,22,8
Bangladesh,November,2014,32,12
Bangladesh,December,2014,20,6
Bangladesh,January,2015,116,31
Bangladesh,February,2015,103,50
Bangladesh,March,2015,77,23
Bangladesh,April,2015,24,6
Bangladesh,May,2015,12,7
Bangladesh,June,2015,19,14
Bangladesh,July,2015,16,15
Bangladesh,August,2015,21,22
Bangladesh,September,2015,15,10
Bangladesh,October,2015,24,17
Bangladesh,November,2015,17,11
Bangladesh,December,2015,47,12
Bangladesh,January,2016,13,5
Bangladesh,February,2016,11,5
Bangladesh,March,2016,21,11
Bangladesh,April,2016,22,20
Bangladesh,May,2016,27,21
Bangladesh,June,2016,26,16
Bangladesh,July,2016,18,14
Bangladesh,August,2016,14,9
Bangladesh,September,2016,11,10
Bangladesh,October,2016,6,9
Bangladesh,November,2016,14,2
Bangladesh,December,2016,13,7
Bangladesh,January,2017,14,6
Bangladesh,February,2017,8,7
Bangladesh,March,2017,9,13
Bangladesh,April,2017,4,0
Bangladesh,May,2017,13,12
Bangladesh,June,2017,10,4
Bangladesh,July,2017,7,4
Bangladesh,August,2017,7,4
Bangladesh,September,2017,6,5
Bangladesh,October,2017,7,3
Bangladesh,November,2017,5,1
Bangladesh,December,2017,9,5
Bangladesh,January,2018,13,5
Bangladesh,February,2018,9,5
Bangladesh,March,2018,15,7
Bangladesh,April,2018,7,4
Bangladesh,May,2018,14,15
Bangladesh,June,2018,11,8
Bangladesh,July,2018,21,8
Bangladesh,August,2018,33,21
Bangladesh,September,2018,29,17
Bangladesh,October,2018,36,19
Bangladesh,November,2018,25,15
Bangladesh,December,2018,236,26
Bangladesh,January,2019,57,27
Bangladesh,February,2019,34,28
Bangladesh,March,2019,54,26
Bangladesh,April,2019,34,23
Bangladesh,May,2019,41,25
Bangladesh,June,2019,41,26
Bangladesh,July,2019,50,27
Bangladesh,August,2019,31,20
Bangladesh,September,2019,34,21
Bangladesh,October,2019,28,13
Bangladesh,November,2019,29,22
Bangladesh,December,2019,31,17
Bangladesh,January,2020,45,25
Bangladesh,February,2020,42,22
Bangladesh,March,2020,22,16
Bangladesh,April,2020,25,17
Bangladesh,May,2020,21,16
Bangladesh,June,2020,27,21
Bangladesh,July,2020,19,22
Bangladesh,August,2020,27,11
Bangladesh,September,2020,39,22
Bangladesh,October,2020,42,18
Bangladesh,November,2020,19,13
Bangladesh,December,2020,18,7
Bangladesh,January,2021,30,15
Bangladesh,February,2021,27,10
Bangladesh,March,2021,41,19
Bangladesh,April,2021,47,18
Bangladesh,May,2021,31,14
Bangladesh,June,2021,23,9
Bangladesh,July,2021,26,11
Bangladesh,August,2021,32,10
Bangladesh,September,2021,26,11
Bangladesh,October,2021,38,23
Bangladesh,November,2021,74,24
Bangladesh,December,2021,48,14
Bangladesh,January,2022,52,21
Bangladesh,February,2022,32,16
Bangladesh,March,2022,28,15
Bangladesh,April,2022,26,10
Bangladesh,May,2022,32,12
Bangladesh,June,2022,36,15
Bangladesh,July,2022,38,11
Bangladesh,August,2022,47,13
Bangladesh,September,2022,55,27
Bangladesh,October,2022,43,20
Bangladesh,November,2022,57,16
Bangladesh,December,2022,46,12
Bangladesh,January,2023,46,16
Bangladesh,February,2023,46,17
Bangladesh,March,2023,35,19
Bangladesh,April,2023,36,20
Bangladesh,May,2023,39,17
Bangladesh,June,2023,44,15
Bangladesh,July,2023,46,18
