Country,Month,Year,Events,Fatalities
Bosnia and Herzegovina,January,2018,0,0
Bosnia and Herzegovina,February,2018,1,0
Bosnia and Herzegovina,March,2018,0,0
Bosnia and Herzegovina,April,2018,1,0
Bosnia and Herzegovina,May,2018,0,0
Bosnia and Herzegovina,June,2018,2,0
Bosnia and Herzegovina,July,2018,0,0
Bosnia and Herzegovina,August,2018,3,0
Bosnia and Herzegovina,September,2018,2,1
Bosnia and Herzegovina,October,2018,2,0
Bosnia and Herzegovina,November,2018,0,0
Bosnia and Herzegovina,December,2018,0,0
Bosnia and Herzegovina,January,2019,1,0
Bosnia and Herzegovina,February,2019,0,0
Bosnia and Herzegovina,March,2019,3,0
Bosnia and Herzegovina,April,2019,4,1
Bosnia and Herzegovina,May,2019,1,0
Bosnia and Herzegovina,June,2019,3,0
Bosnia and Herzegovina,July,2019,3,0
Bosnia and Herzegovina,August,2019,1,0
Bosnia and Herzegovina,September,2019,1,0
Bosnia and Herzegovina,October,2019,0,0
Bosnia and Herzegovina,November,2019,0,0
Bosnia and Herzegovina,December,2019,0,0
Bosnia and Herzegovina,January,2020,0,0
Bosnia and Herzegovina,February,2020,1,0
Bosnia and Herzegovina,March,2020,1,0
Bosnia and Herzegovina,April,2020,0,0
Bosnia and Herzegovina,May,2020,0,0
Bosnia and Herzegovina,June,2020,0,0
Bosnia and Herzegovina,July,2020,0,0
Bosnia and Herzegovina,August,2020,0,0
Bosnia and Herzegovina,September,2020,0,0
Bosnia and Herzegovina,October,2020,2,0
Bosnia and Herzegovina,November,2020,0,0
Bosnia and Herzegovina,December,2020,0,0
Bosnia and Herzegovina,January,2021,0,0
Bosnia and Herzegovina,February,2021,0,0
Bosnia and Herzegovina,March,2021,0,0
Bosnia and Herzegovina,April,2021,0,0
Bosnia and Herzegovina,May,2021,0,0
Bosnia and Herzegovina,June,2021,1,0
Bosnia and Herzegovina,July,2021,1,0
Bosnia and Herzegovina,August,2021,0,0
Bosnia and Herzegovina,September,2021,0,0
Bosnia and Herzegovina,October,2021,0,0
Bosnia and Herzegovina,November,2021,1,0
Bosnia and Herzegovina,December,2021,0,0
Bosnia and Herzegovina,January,2022,1,0
Bosnia and Herzegovina,February,2022,0,0
Bosnia and Herzegovina,March,2022,1,1
Bosnia and Herzegovina,April,2022,0,0
Bosnia and Herzegovina,May,2022,0,0
Bosnia and Herzegovina,June,2022,0,0
Bosnia and Herzegovina,July,2022,0,0
Bosnia and Herzegovina,August,2022,0,0
Bosnia and Herzegovina,September,2022,1,0
Bosnia and Herzegovina,October,2022,2,0
Bosnia and Herzegovina,November,2022,0,0
Bosnia and Herzegovina,December,2022,0,0
Bosnia and Herzegovina,January,2023,1,0
Bosnia and Herzegovina,February,2023,0,0
Bosnia and Herzegovina,March,2023,2,0
Bosnia and Herzegovina,April,2023,0,0
Bosnia and Herzegovina,May,2023,0,0
Bosnia and Herzegovina,June,2023,2,0
Bosnia and Herzegovina,July,2023,0,0
Bosnia and Herzegovina,August,2023,2,0
Bosnia and Herzegovina,September,2023,0,0
Bosnia and Herzegovina,October,2023,0,0
Bosnia and Herzegovina,November,2023,0,0
Bosnia and Herzegovina,December,2023,1,0
Bosnia and Herzegovina,January,2024,1,0
Bosnia and Herzegovina,February,2024,1,0
Bosnia and Herzegovina,March,2024,1,0
Bosnia and Herzegovina,April,2024,1,0
Bosnia and Herzegovina,May,2024,1,0
Bosnia and Herzegovina,June,2024,0,0
Bosnia and Herzegovina,July,2024,1,0
Bosnia and Herzegovina,August,2024,2,0
Bosnia and Herzegovina,September,2024,3,0
Bosnia and Herzegovina,October,2024,1,0
Bosnia and Herzegovina,November,2024,2,0
Bosnia and Herzegovina,December,2024,2,0
Bosnia and Herzegovina,January,2025,2,0
Bosnia and Herzegovina,February,2025,2,0
Bosnia and Herzegovina,March,2025,1,0
Bosnia and Herzegovina,April,2025,1,0
Bosnia and Herzegovina,May,2025,1,0
Bosnia and Herzegovina,June,2025,1,0
Bosnia and Herzegovina,July,2025,0,0
Bosnia and Herzegovina,August,2025,3,0
Bosnia and Herzegovina,September,2025,1,0
Bosnia and Herzegovina,October,2025,1,0
Bosnia and Herzegovina,November,2025,3,0
Bosnia and Herzegovina,December,2025,0,0
Bosnia and Herzegovina,January,2026,1,0
Bosnia and Herzegovina,February,2026,3,0
Bosnia and Herzegovina,March,2026,1,0
Bosnia and Herzegovina,April,2026,0,0
