Country,Month,Year,Events,Fatalities
Brunei,January,2020,0,0
Brunei,February,2020,0,0
Brunei,March,2020,0,0
Brunei,April,2020,0,0
Brunei,May,2020,0,0
Brunei,June,2020,0,0
Brunei,July,2020,0,0
Brunei,August,2020,0,0
Brunei,September,2020,0,0
Brunei,October,2020,0,0
Brunei,November,2020,0,0
Brunei,December,2020,0,0
Brunei,January,2021,0,0
Brunei,February,2021,0,0
Brunei,March,2021,0,0
Brunei,April,2021,0,0
Brunei,May,2021,0,0
Brunei,June,2021,0,0
Brunei,July,2021,0,0
Brunei,August,2021,0,0
Brunei,September,2021,0,0
Brunei,October,2021,0,0
Brunei,November,2021,0,0
Brunei,December,2021,0,0
Brunei,January,2022,0,0
Brunei,February,2022,0,0
Brunei,March,2022,0,0
Brunei,April,2022,0,0
Brunei,May,2022,0,0
Brunei,June,2022,0,0
Brunei,July,2022,0,0
Brunei,August,2022,0,0
Brunei,September,2022,0,0
Brunei,October,2022,0,0
Brunei,November,2022,0,0
Brunei,December,2022,0,0
Brunei,January,2023,0,0
Brunei,February,2023,0,0
Brunei,March,2023,0,0
Brunei,April,2023,0,0
Brunei,May,2023,0,0
Brunei,June,2023,0,0
Brunei,July,2023,0,0
Brunei,August,2023,0,0
Brunei,September,2023,0,0
Brunei,October,2023,0,0
Brunei,November,2023,0,0
Brunei,December,2023,0,0
Brunei,January,2024,0,0
Brunei,February,2024,0,0
Brunei,March,2024,0,0
Brunei,April,2024,0,0
Brunei,May,2024,0,0
Brunei,June,2024,0,0
Brunei,July,2024,0,0
Brunei,August,2024,0,0
Brunei,September,2024,0,0
Brunei,October,2024,0,0
Brunei,November,2024,0,0
Brunei,December,2024,0,0
Brunei,January,2025,0,0
Brunei,February,2025,0,0
Brunei,March,2025,0,0
Brunei,April,2025,0,0
Brunei,May,2025,0,0
Brunei,June,2025,0,0
Brunei,July,2025,0,0
Brunei,August,2025,0,0
Brunei,September,2025,0,0
Brunei,October,2025,0,0
Brunei,November,2025,0,0
Brunei,December,2025,0,0
Brunei,January,2026,0,0
Brunei,February,2026,0,0
Brunei,March,2026,0,0
Brunei,April,2026,0,0
