Country,Month,Year,Events,Fatalities
Caribbean Netherlands,January,2018,0,0
Caribbean Netherlands,February,2018,0,0
Caribbean Netherlands,March,2018,0,0
Caribbean Netherlands,April,2018,0,0
Caribbean Netherlands,May,2018,0,0
Caribbean Netherlands,June,2018,0,0
Caribbean Netherlands,July,2018,0,0
Caribbean Netherlands,August,2018,0,0
Caribbean Netherlands,September,2018,0,0
Caribbean Netherlands,October,2018,0,0
Caribbean Netherlands,November,2018,0,0
Caribbean Netherlands,December,2018,0,0
Caribbean Netherlands,January,2019,0,0
Caribbean Netherlands,February,2019,0,0
Caribbean Netherlands,March,2019,0,0
Caribbean Netherlands,April,2019,0,0
Caribbean Netherlands,May,2019,0,0
Caribbean Netherlands,June,2019,0,0
Caribbean Netherlands,July,2019,0,0
Caribbean Netherlands,August,2019,0,0
Caribbean Netherlands,September,2019,0,0
Caribbean Netherlands,October,2019,0,0
Caribbean Netherlands,November,2019,0,0
Caribbean Netherlands,December,2019,0,0
Caribbean Netherlands,January,2020,0,0
Caribbean Netherlands,February,2020,0,0
Caribbean Netherlands,March,2020,0,0
Caribbean Netherlands,April,2020,0,0
Caribbean Netherlands,May,2020,0,0
Caribbean Netherlands,June,2020,0,0
Caribbean Netherlands,July,2020,0,0
Caribbean Netherlands,August,2020,0,0
Caribbean Netherlands,September,2020,0,0
Caribbean Netherlands,October,2020,0,0
Caribbean Netherlands,November,2020,0,0
Caribbean Netherlands,December,2020,0,0
Caribbean Netherlands,January,2021,0,0
Caribbean Netherlands,February,2021,0,0
Caribbean Netherlands,March,2021,0,0
Caribbean Netherlands,April,2021,0,0
Caribbean Netherlands,May,2021,0,0
Caribbean Netherlands,June,2021,0,0
Caribbean Netherlands,July,2021,0,0
Caribbean Netherlands,August,2021,0,0
Caribbean Netherlands,September,2021,0,0
Caribbean Netherlands,October,2021,0,0
Caribbean Netherlands,November,2021,0,0
Caribbean Netherlands,December,2021,0,0
Caribbean Netherlands,January,2022,0,0
Caribbean Netherlands,February,2022,0,0
Caribbean Netherlands,March,2022,0,0
Caribbean Netherlands,April,2022,0,0
Caribbean Netherlands,May,2022,0,0
Caribbean Netherlands,June,2022,0,0
Caribbean Netherlands,July,2022,0,0
Caribbean Netherlands,August,2022,0,0
Caribbean Netherlands,September,2022,0,0
Caribbean Netherlands,October,2022,0,0
Caribbean Netherlands,November,2022,0,0
Caribbean Netherlands,December,2022,0,0
Caribbean Netherlands,January,2023,0,0
Caribbean Netherlands,February,2023,0,0
Caribbean Netherlands,March,2023,0,0
Caribbean Netherlands,April,2023,0,0
Caribbean Netherlands,May,2023,0,0
Caribbean Netherlands,June,2023,0,0
Caribbean Netherlands,July,2023,0,0
Caribbean Netherlands,August,2023,0,0
Caribbean Netherlands,September,2023,0,0
Caribbean Netherlands,October,2023,0,0
Caribbean Netherlands,November,2023,0,0
Caribbean Netherlands,December,2023,0,0
Caribbean Netherlands,January,2024,0,0
Caribbean Netherlands,February,2024,0,0
Caribbean Netherlands,March,2024,0,0
Caribbean Netherlands,April,2024,0,0
Caribbean Netherlands,May,2024,0,0
Caribbean Netherlands,June,2024,0,0
Caribbean Netherlands,July,2024,0,0
Caribbean Netherlands,August,2024,0,0
Caribbean Netherlands,September,2024,0,0
Caribbean Netherlands,October,2024,0,0
Caribbean Netherlands,November,2024,0,0
Caribbean Netherlands,December,2024,0,0
Caribbean Netherlands,January,2025,0,0
Caribbean Netherlands,February,2025,0,0
Caribbean Netherlands,March,2025,0,0
Caribbean Netherlands,April,2025,0,0
Caribbean Netherlands,May,2025,0,0
Caribbean Netherlands,June,2025,0,0
Caribbean Netherlands,July,2025,0,0
Caribbean Netherlands,August,2025,0,0
Caribbean Netherlands,September,2025,0,0
Caribbean Netherlands,October,2025,0,0
Caribbean Netherlands,November,2025,0,0
Caribbean Netherlands,December,2025,0,0
Caribbean Netherlands,January,2026,0,0
Caribbean Netherlands,February,2026,0,0
Caribbean Netherlands,March,2026,0,0
Caribbean Netherlands,April,2026,0,0
