Country,Month,Year,Events,Fatalities
Croatia,January,2018,1,0
Croatia,February,2018,0,0
Croatia,March,2018,0,0
Croatia,April,2018,0,0
Croatia,May,2018,1,0
Croatia,June,2018,1,0
Croatia,July,2018,0,0
Croatia,August,2018,0,0
Croatia,September,2018,1,0
Croatia,October,2018,0,0
Croatia,November,2018,0,0
Croatia,December,2018,0,0
Croatia,January,2019,1,0
Croatia,February,2019,1,0
Croatia,March,2019,1,0
Croatia,April,2019,2,1
Croatia,May,2019,2,0
Croatia,June,2019,2,0
Croatia,July,2019,4,1
Croatia,August,2019,4,1
Croatia,September,2019,0,0
Croatia,October,2019,1,0
Croatia,November,2019,0,0
Croatia,December,2019,0,0
Croatia,January,2020,1,0
Croatia,February,2020,0,0
Croatia,March,2020,0,0
Croatia,April,2020,1,0
Croatia,May,2020,3,0
Croatia,June,2020,1,0
Croatia,July,2020,2,0
Croatia,August,2020,0,0
Croatia,September,2020,0,0
Croatia,October,2020,2,0
Croatia,November,2020,0,0
Croatia,December,2020,1,0
Croatia,January,2021,0,0
Croatia,February,2021,2,0
Croatia,March,2021,0,0
Croatia,April,2021,1,0
Croatia,May,2021,0,0
Croatia,June,2021,2,0
Croatia,July,2021,0,0
Croatia,August,2021,0,0
Croatia,September,2021,0,0
Croatia,October,2021,0,0
Croatia,November,2021,2,0
Croatia,December,2021,0,0
Croatia,January,2022,0,0
Croatia,February,2022,0,0
Croatia,March,2022,0,0
Croatia,April,2022,0,0
Croatia,May,2022,0,0
Croatia,June,2022,0,0
Croatia,July,2022,0,0
Croatia,August,2022,0,0
Croatia,September,2022,0,0
Croatia,October,2022,0,0
Croatia,November,2022,0,0
Croatia,December,2022,0,0
Croatia,January,2023,0,0
Croatia,February,2023,0,0
Croatia,March,2023,0,0
Croatia,April,2023,0,0
Croatia,May,2023,0,0
Croatia,June,2023,0,0
Croatia,July,2023,0,0
Croatia,August,2023,1,0
Croatia,September,2023,0,0
Croatia,October,2023,0,0
Croatia,November,2023,0,0
Croatia,December,2023,0,0
Croatia,January,2024,0,0
Croatia,February,2024,0,0
Croatia,March,2024,0,0
Croatia,April,2024,0,0
Croatia,May,2024,1,0
Croatia,June,2024,1,0
Croatia,July,2024,3,0
Croatia,August,2024,3,0
Croatia,September,2024,3,0
Croatia,October,2024,0,0
Croatia,November,2024,1,0
Croatia,December,2024,3,0
Croatia,January,2025,0,0
Croatia,February,2025,1,0
Croatia,March,2025,0,0
Croatia,April,2025,0,0
Croatia,May,2025,1,0
Croatia,June,2025,0,0
Croatia,July,2025,2,0
Croatia,August,2025,2,0
Croatia,September,2025,0,0
Croatia,October,2025,0,0
Croatia,November,2025,3,0
Croatia,December,2025,1,0
Croatia,January,2026,0,0
Croatia,February,2026,0,0
Croatia,March,2026,0,0
Croatia,April,2026,0,0
