Country,Month,Year,Events,Fatalities
Djibouti,January,1997,0,0
Djibouti,February,1997,0,0
Djibouti,March,1997,0,0
Djibouti,April,1997,0,0
Djibouti,May,1997,0,0
Djibouti,June,1997,0,0
Djibouti,July,1997,0,0
Djibouti,August,1997,0,0
Djibouti,September,1997,0,0
Djibouti,October,1997,0,0
Djibouti,November,1997,0,0
Djibouti,December,1997,0,0
Djibouti,January,1998,0,0
Djibouti,February,1998,0,0
Djibouti,March,1998,1,0
Djibouti,April,1998,0,0
Djibouti,May,1998,0,0
Djibouti,June,1998,0,0
Djibouti,July,1998,0,0
Djibouti,August,1998,0,0
Djibouti,September,1998,0,0
Djibouti,October,1998,0,0
Djibouti,November,1998,0,0
Djibouti,December,1998,0,0
Djibouti,January,1999,0,0
Djibouti,February,1999,0,0
Djibouti,March,1999,0,0
Djibouti,April,1999,1,2
Djibouti,May,1999,0,0
Djibouti,June,1999,0,0
Djibouti,July,1999,0,0
Djibouti,August,1999,0,0
Djibouti,September,1999,0,0
Djibouti,October,1999,0,0
Djibouti,November,1999,0,0
Djibouti,December,1999,0,0
Djibouti,January,2000,0,0
Djibouti,February,2000,0,0
Djibouti,March,2000,0,0
Djibouti,April,2000,0,0
Djibouti,May,2000,0,0
Djibouti,June,2000,0,0
Djibouti,July,2000,0,0
Djibouti,August,2000,0,0
Djibouti,September,2000,0,0
Djibouti,October,2000,0,0
Djibouti,November,2000,0,0
Djibouti,December,2000,0,0
Djibouti,January,2001,0,0
Djibouti,February,2001,0,0
Djibouti,March,2001,0,0
Djibouti,April,2001,0,0
Djibouti,May,2001,0,0
Djibouti,June,2001,0,0
Djibouti,July,2001,0,0
Djibouti,August,2001,0,0
Djibouti,September,2001,0,0
Djibouti,October,2001,0,0
Djibouti,November,2001,0,0
Djibouti,December,2001,0,0
Djibouti,January,2002,0,0
Djibouti,February,2002,0,0
Djibouti,March,2002,0,0
Djibouti,April,2002,0,0
Djibouti,May,2002,0,0
Djibouti,June,2002,0,0
Djibouti,July,2002,0,0
Djibouti,August,2002,0,0
Djibouti,September,2002,0,0
Djibouti,October,2002,0,0
Djibouti,November,2002,0,0
Djibouti,December,2002,0,0
Djibouti,January,2003,0,0
Djibouti,February,2003,0,0
Djibouti,March,2003,0,0
Djibouti,April,2003,0,0
Djibouti,May,2003,0,0
Djibouti,June,2003,0,0
Djibouti,July,2003,0,0
Djibouti,August,2003,0,0
Djibouti,September,2003,0,0
Djibouti,October,2003,0,0
Djibouti,November,2003,0,0
Djibouti,December,2003,0,0
Djibouti,January,2004,1,0
Djibouti,February,2004,0,0
Djibouti,March,2004,0,0
Djibouti,April,2004,0,0
Djibouti,May,2004,0,0
Djibouti,June,2004,0,0
Djibouti,July,2004,0,0
Djibouti,August,2004,0,0
Djibouti,September,2004,0,0
Djibouti,October,2004,0,0
Djibouti,November,2004,0,0
Djibouti,December,2004,0,0
Djibouti,January,2005,0,0
Djibouti,February,2005,0,0
Djibouti,March,2005,0,0
Djibouti,April,2005,0,0
Djibouti,May,2005,0,0
Djibouti,June,2005,0,0
Djibouti,July,2005,0,0
Djibouti,August,2005,0,0
Djibouti,September,2005,0,0
