Country,Month,Year,Events,Fatalities
Eritrea,January,1997,0,0
Eritrea,February,1997,0,0
Eritrea,March,1997,0,0
Eritrea,April,1997,0,0
Eritrea,May,1997,0,0
Eritrea,June,1997,0,0
Eritrea,July,1997,0,0
Eritrea,August,1997,0,0
Eritrea,September,1997,0,0
Eritrea,October,1997,0,0
Eritrea,November,1997,0,0
Eritrea,December,1997,0,0
Eritrea,January,1998,0,0
Eritrea,February,1998,0,0
Eritrea,March,1998,0,0
Eritrea,April,1998,0,0
Eritrea,May,1998,5,6
Eritrea,June,1998,7,32
Eritrea,July,1998,3,60
Eritrea,August,1998,0,0
Eritrea,September,1998,0,0
Eritrea,October,1998,0,0
Eritrea,November,1998,1,0
Eritrea,December,1998,0,0
Eritrea,January,1999,0,0
Eritrea,February,1999,7,1851
Eritrea,March,1999,7,3
Eritrea,April,1999,7,2769
Eritrea,May,1999,2,2
Eritrea,June,1999,3,26
Eritrea,July,1999,0,0
Eritrea,August,1999,0,0
Eritrea,September,1999,0,0
Eritrea,October,1999,0,0
Eritrea,November,1999,0,0
Eritrea,December,1999,0,0
Eritrea,January,2000,2,6
Eritrea,February,2000,0,0
Eritrea,March,2000,0,0
Eritrea,April,2000,0,0
Eritrea,May,2000,3,13
Eritrea,June,2000,3,0
Eritrea,July,2000,0,0
Eritrea,August,2000,0,0
Eritrea,September,2000,0,0
Eritrea,October,2000,0,0
Eritrea,November,2000,0,0
Eritrea,December,2000,0,0
Eritrea,January,2001,0,0
Eritrea,February,2001,0,0
Eritrea,March,2001,0,0
Eritrea,April,2001,0,0
Eritrea,May,2001,1,1
Eritrea,June,2001,0,0
Eritrea,July,2001,0,0
Eritrea,August,2001,0,0
Eritrea,September,2001,0,0
Eritrea,October,2001,0,0
Eritrea,November,2001,0,0
Eritrea,December,2001,0,0
Eritrea,January,2002,0,0
Eritrea,February,2002,0,0
Eritrea,March,2002,0,0
Eritrea,April,2002,0,0
Eritrea,May,2002,0,0
Eritrea,June,2002,0,0
Eritrea,July,2002,0,0
Eritrea,August,2002,0,0
Eritrea,September,2002,0,0
Eritrea,October,2002,0,0
Eritrea,November,2002,0,0
Eritrea,December,2002,1,1
Eritrea,January,2003,0,0
Eritrea,February,2003,1,16
Eritrea,March,2003,1,1
Eritrea,April,2003,1,1
Eritrea,May,2003,0,0
Eritrea,June,2003,0,0
Eritrea,July,2003,1,1
Eritrea,August,2003,2,4
Eritrea,September,2003,0,0
Eritrea,October,2003,0,0
Eritrea,November,2003,0,0
Eritrea,December,2003,1,1
