Country,Month,Year,Events,Fatalities
Fiji,January,2021,0,0
Fiji,February,2021,0,0
Fiji,March,2021,0,0
Fiji,April,2021,0,0
Fiji,May,2021,0,0
Fiji,June,2021,0,0
Fiji,July,2021,0,0
Fiji,August,2021,0,0
Fiji,September,2021,0,0
Fiji,October,2021,0,0
Fiji,November,2021,0,0
Fiji,December,2021,0,0
Fiji,January,2022,0,0
Fiji,February,2022,0,0
Fiji,March,2022,0,0
Fiji,April,2022,0,0
Fiji,May,2022,0,0
Fiji,June,2022,0,0
Fiji,July,2022,0,0
Fiji,August,2022,0,0
Fiji,September,2022,0,0
Fiji,October,2022,1,0
Fiji,November,2022,0,0
Fiji,December,2022,0,0
Fiji,January,2023,0,0
Fiji,February,2023,0,0
Fiji,March,2023,0,0
Fiji,April,2023,0,0
Fiji,May,2023,0,0
Fiji,June,2023,0,0
Fiji,July,2023,0,0
Fiji,August,2023,0,0
Fiji,September,2023,0,0
Fiji,October,2023,0,0
Fiji,November,2023,0,0
Fiji,December,2023,0,0
Fiji,January,2024,0,0
Fiji,February,2024,0,0
Fiji,March,2024,0,0
Fiji,April,2024,2,0
Fiji,May,2024,0,0
Fiji,June,2024,0,0
Fiji,July,2024,0,0
Fiji,August,2024,0,0
Fiji,September,2024,0,0
Fiji,October,2024,0,0
Fiji,November,2024,0,0
Fiji,December,2024,0,0
Fiji,January,2025,0,0
Fiji,February,2025,0,0
Fiji,March,2025,0,0
Fiji,April,2025,0,0
Fiji,May,2025,0,0
Fiji,June,2025,0,0
Fiji,July,2025,0,0
Fiji,August,2025,0,0
Fiji,September,2025,0,0
Fiji,October,2025,0,0
Fiji,November,2025,0,0
Fiji,December,2025,0,0
Fiji,January,2026,0,0
Fiji,February,2026,0,0
Fiji,March,2026,0,0
Fiji,April,2026,0,0
