Country,Month,Year,Events,Fatalities
Guadeloupe,January,2018,0,0
Guadeloupe,February,2018,0,0
Guadeloupe,March,2018,1,1
Guadeloupe,April,2018,0,0
Guadeloupe,May,2018,1,0
Guadeloupe,June,2018,0,0
Guadeloupe,July,2018,0,0
Guadeloupe,August,2018,0,0
Guadeloupe,September,2018,0,0
Guadeloupe,October,2018,0,0
Guadeloupe,November,2018,0,0
Guadeloupe,December,2018,0,0
Guadeloupe,January,2019,0,0
Guadeloupe,February,2019,0,0
Guadeloupe,March,2019,0,0
Guadeloupe,April,2019,0,0
Guadeloupe,May,2019,0,0
Guadeloupe,June,2019,0,0
Guadeloupe,July,2019,0,0
Guadeloupe,August,2019,0,0
Guadeloupe,September,2019,0,0
Guadeloupe,October,2019,0,0
Guadeloupe,November,2019,0,0
Guadeloupe,December,2019,0,0
Guadeloupe,January,2020,0,0
Guadeloupe,February,2020,0,0
Guadeloupe,March,2020,0,0
Guadeloupe,April,2020,0,0
Guadeloupe,May,2020,0,0
Guadeloupe,June,2020,0,0
Guadeloupe,July,2020,0,0
Guadeloupe,August,2020,0,0
Guadeloupe,September,2020,0,0
Guadeloupe,October,2020,0,0
Guadeloupe,November,2020,1,1
Guadeloupe,December,2020,0,0
Guadeloupe,January,2021,0,0
Guadeloupe,February,2021,0,0
Guadeloupe,March,2021,0,0
Guadeloupe,April,2021,0,0
Guadeloupe,May,2021,0,0
Guadeloupe,June,2021,0,0
Guadeloupe,July,2021,0,0
Guadeloupe,August,2021,0,0
Guadeloupe,September,2021,0,0
Guadeloupe,October,2021,0,0
Guadeloupe,November,2021,0,0
Guadeloupe,December,2021,0,0
Guadeloupe,January,2022,0,0
Guadeloupe,February,2022,0,0
Guadeloupe,March,2022,0,0
Guadeloupe,April,2022,0,0
Guadeloupe,May,2022,0,0
Guadeloupe,June,2022,1,0
Guadeloupe,July,2022,0,0
Guadeloupe,August,2022,0,0
Guadeloupe,September,2022,0,0
Guadeloupe,October,2022,0,0
Guadeloupe,November,2022,0,0
Guadeloupe,December,2022,0,0
Guadeloupe,January,2023,0,0
Guadeloupe,February,2023,0,0
Guadeloupe,March,2023,0,0
Guadeloupe,April,2023,0,0
Guadeloupe,May,2023,1,0
Guadeloupe,June,2023,0,0
Guadeloupe,July,2023,0,0
Guadeloupe,August,2023,0,0
Guadeloupe,September,2023,0,0
Guadeloupe,October,2023,0,0
Guadeloupe,November,2023,0,0
Guadeloupe,December,2023,0,0
Guadeloupe,January,2024,0,0
Guadeloupe,February,2024,0,0
Guadeloupe,March,2024,0,0
Guadeloupe,April,2024,0,0
Guadeloupe,May,2024,0,0
Guadeloupe,June,2024,0,0
Guadeloupe,July,2024,0,0
Guadeloupe,August,2024,0,0
Guadeloupe,September,2024,0,0
Guadeloupe,October,2024,0,0
Guadeloupe,November,2024,0,0
Guadeloupe,December,2024,0,0
Guadeloupe,January,2025,0,0
Guadeloupe,February,2025,0,0
Guadeloupe,March,2025,0,0
Guadeloupe,April,2025,0,0
Guadeloupe,May,2025,0,0
Guadeloupe,June,2025,0,0
Guadeloupe,July,2025,0,0
Guadeloupe,August,2025,0,0
Guadeloupe,September,2025,0,0
Guadeloupe,October,2025,0,0
Guadeloupe,November,2025,0,0
Guadeloupe,December,2025,0,0
Guadeloupe,January,2026,0,0
Guadeloupe,February,2026,0,0
Guadeloupe,March,2026,0,0
Guadeloupe,April,2026,0,0
