Country,Month,Year,Events,Fatalities
Guam,January,2021,0,0
Guam,February,2021,0,0
Guam,March,2021,0,0
Guam,April,2021,0,0
Guam,May,2021,0,0
Guam,June,2021,0,0
Guam,July,2021,0,0
Guam,August,2021,0,0
Guam,September,2021,0,0
Guam,October,2021,0,0
Guam,November,2021,0,0
Guam,December,2021,0,0
Guam,January,2022,0,0
Guam,February,2022,0,0
Guam,March,2022,0,0
Guam,April,2022,0,0
Guam,May,2022,0,0
Guam,June,2022,0,0
Guam,July,2022,0,0
Guam,August,2022,0,0
Guam,September,2022,0,0
Guam,October,2022,0,0
Guam,November,2022,0,0
Guam,December,2022,0,0
Guam,January,2023,0,0
Guam,February,2023,0,0
Guam,March,2023,0,0
Guam,April,2023,0,0
Guam,May,2023,0,0
Guam,June,2023,0,0
Guam,July,2023,0,0
Guam,August,2023,0,0
Guam,September,2023,0,0
Guam,October,2023,0,0
Guam,November,2023,0,0
Guam,December,2023,0,0
Guam,January,2024,0,0
Guam,February,2024,0,0
Guam,March,2024,0,0
Guam,April,2024,0,0
Guam,May,2024,0,0
Guam,June,2024,0,0
Guam,July,2024,0,0
Guam,August,2024,0,0
Guam,September,2024,0,0
Guam,October,2024,0,0
Guam,November,2024,0,0
Guam,December,2024,0,0
Guam,January,2025,0,0
Guam,February,2025,0,0
Guam,March,2025,0,0
Guam,April,2025,0,0
Guam,May,2025,0,0
Guam,June,2025,0,0
Guam,July,2025,0,0
Guam,August,2025,0,0
Guam,September,2025,0,0
Guam,October,2025,0,0
Guam,November,2025,0,0
Guam,December,2025,0,0
Guam,January,2026,0,0
Guam,February,2026,0,0
Guam,March,2026,0,0
Guam,April,2026,0,0
