Country,Month,Year,Events,Fatalities
Guatemala,January,2018,33,26
Guatemala,February,2018,35,28
Guatemala,March,2018,24,29
Guatemala,April,2018,15,10
Guatemala,May,2018,47,42
Guatemala,June,2018,29,27
Guatemala,July,2018,38,34
Guatemala,August,2018,45,36
Guatemala,September,2018,29,28
Guatemala,October,2018,31,22
Guatemala,November,2018,22,13
Guatemala,December,2018,19,13
Guatemala,January,2019,29,27
Guatemala,February,2019,34,38
Guatemala,March,2019,48,33
Guatemala,April,2019,55,48
Guatemala,May,2019,48,47
Guatemala,June,2019,66,58
Guatemala,July,2019,65,70
Guatemala,August,2019,57,62
Guatemala,September,2019,49,37
Guatemala,October,2019,42,33
Guatemala,November,2019,44,37
Guatemala,December,2019,40,30
Guatemala,January,2020,46,46
Guatemala,February,2020,36,28
Guatemala,March,2020,25,18
Guatemala,April,2020,27,22
Guatemala,May,2020,21,15
Guatemala,June,2020,33,27
Guatemala,July,2020,30,21
Guatemala,August,2020,24,16
Guatemala,September,2020,13,12
Guatemala,October,2020,30,30
Guatemala,November,2020,30,27
Guatemala,December,2020,25,23
Guatemala,January,2021,20,12
Guatemala,February,2021,26,16
Guatemala,March,2021,25,25
Guatemala,April,2021,24,20
Guatemala,May,2021,34,35
Guatemala,June,2021,25,30
Guatemala,July,2021,21,25
Guatemala,August,2021,26,30
Guatemala,September,2021,26,22
Guatemala,October,2021,28,28
Guatemala,November,2021,16,11
Guatemala,December,2021,24,28
Guatemala,January,2022,45,42
Guatemala,February,2022,42,44
Guatemala,March,2022,43,46
Guatemala,April,2022,26,18
Guatemala,May,2022,38,33
Guatemala,June,2022,36,36
Guatemala,July,2022,48,46
Guatemala,August,2022,49,46
Guatemala,September,2022,37,36
Guatemala,October,2022,33,38
Guatemala,November,2022,34,26
Guatemala,December,2022,27,22
Guatemala,January,2023,36,32
Guatemala,February,2023,19,22
Guatemala,March,2023,49,44
Guatemala,April,2023,45,43
Guatemala,May,2023,81,76
Guatemala,June,2023,98,84
Guatemala,July,2023,80,65
Guatemala,August,2023,114,107
Guatemala,September,2023,106,94
Guatemala,October,2023,104,106
Guatemala,November,2023,10,12
Guatemala,December,2023,14,22
Guatemala,January,2024,19,24
Guatemala,February,2024,6,5
Guatemala,March,2024,13,15
Guatemala,April,2024,21,26
Guatemala,May,2024,9,17
Guatemala,June,2024,9,12
Guatemala,July,2024,18,16
Guatemala,August,2024,11,16
Guatemala,September,2024,26,35
Guatemala,October,2024,36,53
Guatemala,November,2024,16,20
Guatemala,December,2024,11,8
Guatemala,January,2025,30,24
Guatemala,February,2025,17,15
Guatemala,March,2025,25,23
Guatemala,April,2025,23,20
Guatemala,May,2025,48,45
Guatemala,June,2025,29,27
Guatemala,July,2025,30,42
Guatemala,August,2025,29,34
Guatemala,September,2025,36,34
Guatemala,October,2025,23,26
Guatemala,November,2025,27,28
Guatemala,December,2025,22,25
Guatemala,January,2026,25,24
Guatemala,February,2026,17,19
Guatemala,March,2026,19,21
Guatemala,April,2026,20,22
