Country,Month,Year,Events,Fatalities
Guinea,January,1997,0,0
Guinea,February,1997,0,0
Guinea,March,1997,0,0
Guinea,April,1997,0,0
Guinea,May,1997,0,0
Guinea,June,1997,0,0
Guinea,July,1997,0,0
Guinea,August,1997,0,0
Guinea,September,1997,0,0
Guinea,October,1997,0,0
Guinea,November,1997,0,0
Guinea,December,1997,0,0
Guinea,January,1998,0,0
Guinea,February,1998,0,0
Guinea,March,1998,2,5
Guinea,April,1998,0,0
Guinea,May,1998,0,0
Guinea,June,1998,0,0
Guinea,July,1998,0,0
Guinea,August,1998,1,7
Guinea,September,1998,0,0
Guinea,October,1998,4,15
Guinea,November,1998,1,8
Guinea,December,1998,3,3
Guinea,January,1999,0,0
Guinea,February,1999,0,0
Guinea,March,1999,7,10
Guinea,April,1999,0,0
Guinea,May,1999,7,3
Guinea,June,1999,3,2
Guinea,July,1999,0,0
Guinea,August,1999,0,0
Guinea,September,1999,2,56
Guinea,October,1999,0,0
Guinea,November,1999,0,0
Guinea,December,1999,0,0
Guinea,January,2000,0,0
Guinea,February,2000,0,0
Guinea,March,2000,0,0
Guinea,April,2000,0,0
Guinea,May,2000,0,0
Guinea,June,2000,2,1
Guinea,July,2000,0,0
Guinea,August,2000,3,0
Guinea,September,2000,35,308
Guinea,October,2000,6,88
Guinea,November,2000,11,615
Guinea,December,2000,11,66
Guinea,January,2001,10,59
Guinea,February,2001,1,0
Guinea,March,2001,6,82
Guinea,April,2001,2,0
Guinea,May,2001,1,0
Guinea,June,2001,0,0
Guinea,July,2001,0,0
Guinea,August,2001,0,0
Guinea,September,2001,0,0
Guinea,October,2001,0,0
Guinea,November,2001,0,0
Guinea,December,2001,3,5
Guinea,January,2002,0,0
Guinea,February,2002,0,0
Guinea,March,2002,1,0
Guinea,April,2002,1,0
Guinea,May,2002,1,0
Guinea,June,2002,1,0
Guinea,July,2002,1,0
Guinea,August,2002,1,0
Guinea,September,2002,1,0
Guinea,October,2002,0,0
Guinea,November,2002,2,0
Guinea,December,2002,0,0
Guinea,January,2003,0,0
Guinea,February,2003,0,0
Guinea,March,2003,0,0
Guinea,April,2003,0,0
Guinea,May,2003,0,0
Guinea,June,2003,0,0
Guinea,July,2003,0,0
Guinea,August,2003,0,0
Guinea,September,2003,0,0
Guinea,October,2003,0,0
Guinea,November,2003,0,0
Guinea,December,2003,0,0
Guinea,January,2004,0,0
Guinea,February,2004,0,0
Guinea,March,2004,0,0
Guinea,April,2004,0,0
Guinea,May,2004,0,0
Guinea,June,2004,0,0
Guinea,July,2004,0,0
Guinea,August,2004,0,0
Guinea,September,2004,1,0
Guinea,October,2004,0,0
Guinea,November,2004,0,0
Guinea,December,2004,2,3
Guinea,January,2005,1,1
Guinea,February,2005,0,0
Guinea,March,2005,0,0
Guinea,April,2005,0,0
Guinea,May,2005,0,0
Guinea,June,2005,0,0
Guinea,July,2005,0,0
Guinea,August,2005,0,0
Guinea,September,2005,0,0
Guinea,October,2005,0,0
Guinea,November,2005,1,3
Guinea,December,2005,0,0
Guinea,January,2006,0,0
Guinea,February,2006,2,2
Guinea,March,2006,0,0
Guinea,April,2006,0,0
Guinea,May,2006,0,0
Guinea,June,2006,4,12
Guinea,July,2006,0,0
Guinea,August,2006,0,0
Guinea,September,2006,0,0
Guinea,October,2006,0,0
Guinea,November,2006,0,0
Guinea,December,2006,0,0
