Country,Month,Year,Events,Fatalities
Honduras,January,2018,49,53
Honduras,February,2018,56,68
Honduras,March,2018,47,55
Honduras,April,2018,51,53
Honduras,May,2018,37,50
Honduras,June,2018,54,65
Honduras,July,2018,58,83
Honduras,August,2018,53,62
Honduras,September,2018,38,46
Honduras,October,2018,40,48
Honduras,November,2018,66,75
Honduras,December,2018,52,52
Honduras,January,2019,20,33
Honduras,February,2019,26,36
Honduras,March,2019,27,27
Honduras,April,2019,57,75
Honduras,May,2019,59,72
Honduras,June,2019,80,106
Honduras,July,2019,54,52
Honduras,August,2019,82,91
Honduras,September,2019,55,64
Honduras,October,2019,88,82
Honduras,November,2019,81,95
Honduras,December,2019,56,65
Honduras,January,2020,76,82
Honduras,February,2020,64,56
Honduras,March,2020,45,53
Honduras,April,2020,25,36
Honduras,May,2020,34,39
Honduras,June,2020,38,52
Honduras,July,2020,56,73
Honduras,August,2020,31,41
Honduras,September,2020,33,50
Honduras,October,2020,50,55
Honduras,November,2020,39,45
Honduras,December,2020,44,45
Honduras,January,2021,50,55
Honduras,February,2021,47,57
Honduras,March,2021,35,43
Honduras,April,2021,37,45
Honduras,May,2021,60,72
Honduras,June,2021,61,65
Honduras,July,2021,56,61
Honduras,August,2021,31,36
Honduras,September,2021,47,53
Honduras,October,2021,38,45
Honduras,November,2021,44,51
Honduras,December,2021,42,46
Honduras,January,2022,49,57
Honduras,February,2022,28,33
Honduras,March,2022,46,55
Honduras,April,2022,42,41
Honduras,May,2022,44,40
Honduras,June,2022,45,49
Honduras,July,2022,42,51
Honduras,August,2022,43,48
Honduras,September,2022,40,51
Honduras,October,2022,45,52
Honduras,November,2022,56,56
Honduras,December,2022,40,42
Honduras,January,2023,42,48
Honduras,February,2023,41,59
Honduras,March,2023,34,53
Honduras,April,2023,36,38
Honduras,May,2023,56,61
Honduras,June,2023,63,86
Honduras,July,2023,37,35
Honduras,August,2023,26,26
Honduras,September,2023,37,44
Honduras,October,2023,31,35
Honduras,November,2023,26,33
Honduras,December,2023,23,28
Honduras,January,2024,28,33
Honduras,February,2024,32,36
Honduras,March,2024,36,41
Honduras,April,2024,19,17
Honduras,May,2024,39,48
Honduras,June,2024,32,39
Honduras,July,2024,31,38
Honduras,August,2024,29,34
Honduras,September,2024,23,26
Honduras,October,2024,34,38
Honduras,November,2024,27,31
Honduras,December,2024,37,35
Honduras,January,2025,43,45
Honduras,February,2025,30,42
Honduras,March,2025,31,37
Honduras,April,2025,34,44
Honduras,May,2025,36,43
Honduras,June,2025,38,44
Honduras,July,2025,40,43
Honduras,August,2025,29,24
Honduras,September,2025,29,30
Honduras,October,2025,38,37
Honduras,November,2025,33,39
Honduras,December,2025,46,52
Honduras,January,2026,41,36
Honduras,February,2026,38,36
Honduras,March,2026,30,30
Honduras,April,2026,22,23
