Country,Month,Year,Events,Fatalities
Isle of Man,January,2020,0,0
Isle of Man,February,2020,0,0
Isle of Man,March,2020,0,0
Isle of Man,April,2020,0,0
Isle of Man,May,2020,0,0
Isle of Man,June,2020,0,0
Isle of Man,July,2020,0,0
Isle of Man,August,2020,0,0
Isle of Man,September,2020,0,0
Isle of Man,October,2020,0,0
Isle of Man,November,2020,0,0
Isle of Man,December,2020,0,0
Isle of Man,January,2021,0,0
Isle of Man,February,2021,0,0
Isle of Man,March,2021,0,0
Isle of Man,April,2021,0,0
Isle of Man,May,2021,0,0
Isle of Man,June,2021,0,0
Isle of Man,July,2021,0,0
Isle of Man,August,2021,0,0
Isle of Man,September,2021,0,0
Isle of Man,October,2021,0,0
Isle of Man,November,2021,0,0
Isle of Man,December,2021,0,0
Isle of Man,January,2022,0,0
Isle of Man,February,2022,0,0
Isle of Man,March,2022,0,0
Isle of Man,April,2022,0,0
Isle of Man,May,2022,0,0
Isle of Man,June,2022,0,0
Isle of Man,July,2022,0,0
Isle of Man,August,2022,0,0
Isle of Man,September,2022,0,0
Isle of Man,October,2022,0,0
Isle of Man,November,2022,0,0
Isle of Man,December,2022,0,0
Isle of Man,January,2023,0,0
Isle of Man,February,2023,0,0
Isle of Man,March,2023,0,0
Isle of Man,April,2023,0,0
Isle of Man,May,2023,0,0
Isle of Man,June,2023,0,0
Isle of Man,July,2023,0,0
Isle of Man,August,2023,0,0
Isle of Man,September,2023,0,0
Isle of Man,October,2023,0,0
Isle of Man,November,2023,0,0
Isle of Man,December,2023,0,0
Isle of Man,January,2024,0,0
Isle of Man,February,2024,0,0
Isle of Man,March,2024,0,0
Isle of Man,April,2024,0,0
Isle of Man,May,2024,0,0
Isle of Man,June,2024,0,0
Isle of Man,July,2024,0,0
Isle of Man,August,2024,0,0
Isle of Man,September,2024,0,0
Isle of Man,October,2024,0,0
Isle of Man,November,2024,0,0
Isle of Man,December,2024,0,0
Isle of Man,January,2025,0,0
Isle of Man,February,2025,0,0
Isle of Man,March,2025,0,0
Isle of Man,April,2025,0,0
Isle of Man,May,2025,0,0
Isle of Man,June,2025,0,0
Isle of Man,July,2025,0,0
Isle of Man,August,2025,0,0
Isle of Man,September,2025,0,0
Isle of Man,October,2025,0,0
Isle of Man,November,2025,0,0
Isle of Man,December,2025,0,0
Isle of Man,January,2026,0,0
Isle of Man,February,2026,0,0
Isle of Man,March,2026,0,0
Isle of Man,April,2026,0,0
