Country,Month,Year,Events,Fatalities
Ivory Coast,January,1997,1,2
Ivory Coast,February,1997,0,0
Ivory Coast,March,1997,3,15
Ivory Coast,April,1997,0,0
Ivory Coast,May,1997,0,0
Ivory Coast,June,1997,0,0
Ivory Coast,July,1997,0,0
Ivory Coast,August,1997,0,0
Ivory Coast,September,1997,0,0
Ivory Coast,October,1997,0,0
Ivory Coast,November,1997,1,0
Ivory Coast,December,1997,0,0
Ivory Coast,January,1998,0,0
Ivory Coast,February,1998,0,0
Ivory Coast,March,1998,0,0
Ivory Coast,April,1998,0,0
Ivory Coast,May,1998,1,1
Ivory Coast,June,1998,0,0
Ivory Coast,July,1998,1,1
Ivory Coast,August,1998,0,0
Ivory Coast,September,1998,3,4
Ivory Coast,October,1998,0,0
Ivory Coast,November,1998,0,0
Ivory Coast,December,1998,2,8
Ivory Coast,January,1999,0,0
Ivory Coast,February,1999,0,0
Ivory Coast,March,1999,0,0
Ivory Coast,April,1999,1,0
Ivory Coast,May,1999,0,0
Ivory Coast,June,1999,2,0
Ivory Coast,July,1999,0,0
Ivory Coast,August,1999,0,0
Ivory Coast,September,1999,2,1
Ivory Coast,October,1999,4,1
Ivory Coast,November,1999,1,1
Ivory Coast,December,1999,2,0
Ivory Coast,January,2000,0,0
Ivory Coast,February,2000,0,0
Ivory Coast,March,2000,0,0
Ivory Coast,April,2000,0,0
Ivory Coast,May,2000,2,1
Ivory Coast,June,2000,0,0
Ivory Coast,July,2000,1,1
Ivory Coast,August,2000,2,3
Ivory Coast,September,2000,4,1
Ivory Coast,October,2000,15,68
Ivory Coast,November,2000,0,0
Ivory Coast,December,2000,14,4
Ivory Coast,January,2001,3,0
Ivory Coast,February,2001,0,0
Ivory Coast,March,2001,2,0
Ivory Coast,April,2001,0,0
Ivory Coast,May,2001,0,0
Ivory Coast,June,2001,0,0
Ivory Coast,July,2001,1,0
Ivory Coast,August,2001,1,0
Ivory Coast,September,2001,0,0
Ivory Coast,October,2001,0,0
Ivory Coast,November,2001,0,0
Ivory Coast,December,2001,0,0
Ivory Coast,January,2002,0,0
Ivory Coast,February,2002,0,0
Ivory Coast,March,2002,0,0
Ivory Coast,April,2002,0,0
Ivory Coast,May,2002,0,0
Ivory Coast,June,2002,0,0
Ivory Coast,July,2002,0,0
Ivory Coast,August,2002,0,0
Ivory Coast,September,2002,8,19
Ivory Coast,October,2002,12,157
Ivory Coast,November,2002,3,30
Ivory Coast,December,2002,6,25
Ivory Coast,January,2003,11,38
Ivory Coast,February,2003,3,11
Ivory Coast,March,2003,9,268
Ivory Coast,April,2003,13,177
Ivory Coast,May,2003,8,163
Ivory Coast,June,2003,1,10
Ivory Coast,July,2003,2,13
Ivory Coast,August,2003,1,10
Ivory Coast,September,2003,2,11
Ivory Coast,October,2003,2,11
Ivory Coast,November,2003,3,12
Ivory Coast,December,2003,0,0
Ivory Coast,January,2004,1,6
Ivory Coast,February,2004,1,3
Ivory Coast,March,2004,5,128
Ivory Coast,April,2004,0,0
Ivory Coast,May,2004,1,0
Ivory Coast,June,2004,5,151
Ivory Coast,July,2004,0,0
Ivory Coast,August,2004,1,0
Ivory Coast,September,2004,0,0
Ivory Coast,October,2004,3,1
Ivory Coast,November,2004,12,80
Ivory Coast,December,2004,4,43
Ivory Coast,January,2005,0,0
Ivory Coast,February,2005,4,35
Ivory Coast,March,2005,0,0
Ivory Coast,April,2005,4,8
Ivory Coast,May,2005,2,5
Ivory Coast,June,2005,6,116
Ivory Coast,July,2005,1,0
Ivory Coast,August,2005,0,0
Ivory Coast,September,2005,1,0
Ivory Coast,October,2005,1,0
Ivory Coast,November,2005,0,0
Ivory Coast,December,2005,1,1
Ivory Coast,January,2006,1,5
Ivory Coast,February,2006,1,12
Ivory Coast,March,2006,0,0
Ivory Coast,April,2006,1,5
Ivory Coast,May,2006,0,0
Ivory Coast,June,2006,2,10
Ivory Coast,July,2006,0,0
Ivory Coast,August,2006,0,0
Ivory Coast,September,2006,0,0
Ivory Coast,October,2006,0,0
Ivory Coast,November,2006,2,5
Ivory Coast,December,2006,0,0
Ivory Coast,January,2007,0,0
Ivory Coast,February,2007,0,0
Ivory Coast,March,2007,0,0
Ivory Coast,April,2007,0,0
Ivory Coast,May,2007,0,0
Ivory Coast,June,2007,1,0
Ivory Coast,July,2007,0,0
Ivory Coast,August,2007,0,0
Ivory Coast,September,2007,0,0
Ivory Coast,October,2007,0,0
Ivory Coast,November,2007,0,0
Ivory Coast,December,2007,0,0
Ivory Coast,January,2008,0,0
Ivory Coast,February,2008,0,0
