Country,Month,Year,Events,Fatalities
Kazakhstan,January,2018,2,0
Kazakhstan,February,2018,0,0
Kazakhstan,March,2018,2,1
Kazakhstan,April,2018,1,0
Kazakhstan,May,2018,0,0
Kazakhstan,June,2018,1,0
Kazakhstan,July,2018,0,0
Kazakhstan,August,2018,1,0
Kazakhstan,September,2018,0,0
Kazakhstan,October,2018,1,0
Kazakhstan,November,2018,2,0
Kazakhstan,December,2018,1,0
Kazakhstan,January,2019,4,0
Kazakhstan,February,2019,1,0
Kazakhstan,March,2019,0,0
Kazakhstan,April,2019,1,0
Kazakhstan,May,2019,2,1
Kazakhstan,June,2019,4,1
Kazakhstan,July,2019,9,3
Kazakhstan,August,2019,1,0
Kazakhstan,September,2019,3,1
Kazakhstan,October,2019,3,0
Kazakhstan,November,2019,1,0
Kazakhstan,December,2019,1,0
Kazakhstan,January,2020,1,0
Kazakhstan,February,2020,1,0
Kazakhstan,March,2020,0,0
Kazakhstan,April,2020,1,0
Kazakhstan,May,2020,2,0
Kazakhstan,June,2020,1,0
Kazakhstan,July,2020,2,0
Kazakhstan,August,2020,0,0
Kazakhstan,September,2020,2,0
Kazakhstan,October,2020,5,1
Kazakhstan,November,2020,4,0
Kazakhstan,December,2020,4,0
Kazakhstan,January,2021,5,0
Kazakhstan,February,2021,5,0
Kazakhstan,March,2021,9,0
Kazakhstan,April,2021,2,0
Kazakhstan,May,2021,2,0
Kazakhstan,June,2021,3,1
Kazakhstan,July,2021,4,0
Kazakhstan,August,2021,3,0
Kazakhstan,September,2021,4,0
Kazakhstan,October,2021,5,0
Kazakhstan,November,2021,6,0
Kazakhstan,December,2021,3,2
Kazakhstan,January,2022,95,38
Kazakhstan,February,2022,8,0
Kazakhstan,March,2022,2,0
Kazakhstan,April,2022,1,0
Kazakhstan,May,2022,1,0
Kazakhstan,June,2022,4,0
Kazakhstan,July,2022,6,1
Kazakhstan,August,2022,9,2
Kazakhstan,September,2022,3,0
Kazakhstan,October,2022,8,0
Kazakhstan,November,2022,2,0
Kazakhstan,December,2022,7,0
Kazakhstan,January,2023,5,0
Kazakhstan,February,2023,8,0
Kazakhstan,March,2023,6,0
Kazakhstan,April,2023,2,0
Kazakhstan,May,2023,4,0
Kazakhstan,June,2023,9,0
Kazakhstan,July,2023,6,1
Kazakhstan,August,2023,4,0
Kazakhstan,September,2023,4,0
Kazakhstan,October,2023,4,1
Kazakhstan,November,2023,9,1
Kazakhstan,December,2023,7,1
Kazakhstan,January,2024,7,0
Kazakhstan,February,2024,4,0
Kazakhstan,March,2024,7,0
Kazakhstan,April,2024,7,1
Kazakhstan,May,2024,9,3
Kazakhstan,June,2024,2,0
Kazakhstan,July,2024,7,0
Kazakhstan,August,2024,5,0
Kazakhstan,September,2024,7,1
Kazakhstan,October,2024,2,0
Kazakhstan,November,2024,5,1
Kazakhstan,December,2024,3,0
Kazakhstan,January,2025,4,0
Kazakhstan,February,2025,5,0
Kazakhstan,March,2025,4,0
Kazakhstan,April,2025,5,1
Kazakhstan,May,2025,7,1
Kazakhstan,June,2025,9,0
Kazakhstan,July,2025,7,0
Kazakhstan,August,2025,2,1
Kazakhstan,September,2025,8,1
Kazakhstan,October,2025,5,0
Kazakhstan,November,2025,10,1
Kazakhstan,December,2025,6,0
Kazakhstan,January,2026,7,1
Kazakhstan,February,2026,2,0
Kazakhstan,March,2026,9,1
Kazakhstan,April,2026,2,0
