Country,Month,Year,Events,Fatalities
Latvia,January,2020,0,0
Latvia,February,2020,0,0
Latvia,March,2020,0,0
Latvia,April,2020,0,0
Latvia,May,2020,0,0
Latvia,June,2020,0,0
Latvia,July,2020,0,0
Latvia,August,2020,0,0
Latvia,September,2020,0,0
Latvia,October,2020,0,0
Latvia,November,2020,1,0
Latvia,December,2020,0,0
Latvia,January,2021,0,0
Latvia,February,2021,0,0
Latvia,March,2021,0,0
Latvia,April,2021,0,0
Latvia,May,2021,0,0
Latvia,June,2021,0,0
Latvia,July,2021,0,0
Latvia,August,2021,0,0
Latvia,September,2021,0,0
Latvia,October,2021,0,0
Latvia,November,2021,0,0
Latvia,December,2021,0,0
Latvia,January,2022,0,0
Latvia,February,2022,0,0
Latvia,March,2022,0,0
Latvia,April,2022,0,0
Latvia,May,2022,0,0
Latvia,June,2022,0,0
Latvia,July,2022,0,0
Latvia,August,2022,0,0
Latvia,September,2022,0,0
Latvia,October,2022,0,0
Latvia,November,2022,0,0
Latvia,December,2022,0,0
Latvia,January,2023,0,0
Latvia,February,2023,0,0
Latvia,March,2023,0,0
Latvia,April,2023,0,0
Latvia,May,2023,0,0
Latvia,June,2023,0,0
Latvia,July,2023,0,0
Latvia,August,2023,0,0
Latvia,September,2023,0,0
Latvia,October,2023,0,0
Latvia,November,2023,0,0
Latvia,December,2023,0,0
Latvia,January,2024,0,0
Latvia,February,2024,0,0
Latvia,March,2024,0,0
Latvia,April,2024,0,0
Latvia,May,2024,0,0
Latvia,June,2024,0,0
Latvia,July,2024,0,0
Latvia,August,2024,0,0
Latvia,September,2024,0,0
Latvia,October,2024,0,0
Latvia,November,2024,1,1
Latvia,December,2024,0,0
Latvia,January,2025,0,0
Latvia,February,2025,0,0
Latvia,March,2025,0,0
Latvia,April,2025,0,0
Latvia,May,2025,0,0
Latvia,June,2025,0,0
Latvia,July,2025,1,1
Latvia,August,2025,0,0
Latvia,September,2025,0,0
Latvia,October,2025,2,2
Latvia,November,2025,0,0
Latvia,December,2025,0,0
Latvia,January,2026,0,0
Latvia,February,2026,0,0
Latvia,March,2026,0,0
Latvia,April,2026,0,0
