Country,Month,Year,Events,Fatalities
Madagascar,January,1997,0,0
Madagascar,February,1997,0,0
Madagascar,March,1997,0,0
Madagascar,April,1997,0,0
Madagascar,May,1997,0,0
Madagascar,June,1997,0,0
Madagascar,July,1997,2,0
Madagascar,August,1997,2,0
Madagascar,September,1997,0,0
Madagascar,October,1997,0,0
Madagascar,November,1997,0,0
Madagascar,December,1997,0,0
Madagascar,January,1998,0,0
Madagascar,February,1998,0,0
Madagascar,March,1998,0,0
Madagascar,April,1998,0,0
Madagascar,May,1998,0,0
Madagascar,June,1998,0,0
Madagascar,July,1998,0,0
Madagascar,August,1998,0,0
Madagascar,September,1998,0,0
Madagascar,October,1998,0,0
Madagascar,November,1998,0,0
Madagascar,December,1998,0,0
Madagascar,January,1999,0,0
Madagascar,February,1999,0,0
Madagascar,March,1999,0,0
Madagascar,April,1999,0,0
Madagascar,May,1999,0,0
Madagascar,June,1999,0,0
Madagascar,July,1999,0,0
Madagascar,August,1999,0,0
Madagascar,September,1999,0,0
Madagascar,October,1999,0,0
Madagascar,November,1999,0,0
Madagascar,December,1999,0,0
Madagascar,January,2000,0,0
Madagascar,February,2000,1,1
Madagascar,March,2000,0,0
Madagascar,April,2000,0,0
Madagascar,May,2000,0,0
Madagascar,June,2000,0,0
Madagascar,July,2000,0,0
Madagascar,August,2000,0,0
Madagascar,September,2000,0,0
Madagascar,October,2000,0,0
Madagascar,November,2000,0,0
Madagascar,December,2000,0,0
Madagascar,January,2001,0,0
Madagascar,February,2001,0,0
Madagascar,March,2001,0,0
Madagascar,April,2001,0,0
Madagascar,May,2001,0,0
Madagascar,June,2001,0,0
Madagascar,July,2001,0,0
Madagascar,August,2001,0,0
Madagascar,September,2001,0,0
Madagascar,October,2001,0,0
Madagascar,November,2001,0,0
Madagascar,December,2001,0,0
Madagascar,January,2002,1,1
Madagascar,February,2002,2,1
Madagascar,March,2002,4,17
Madagascar,April,2002,8,12
Madagascar,May,2002,0,0
Madagascar,June,2002,0,0
Madagascar,July,2002,0,0
Madagascar,August,2002,0,0
Madagascar,September,2002,0,0
Madagascar,October,2002,0,0
Madagascar,November,2002,0,0
Madagascar,December,2002,0,0
Madagascar,January,2003,1,0
Madagascar,February,2003,0,0
Madagascar,March,2003,0,0
Madagascar,April,2003,0,0
Madagascar,May,2003,0,0
Madagascar,June,2003,0,0
Madagascar,July,2003,0,0
Madagascar,August,2003,1,0
Madagascar,September,2003,0,0
Madagascar,October,2003,0,0
Madagascar,November,2003,0,0
Madagascar,December,2003,0,0
Madagascar,January,2004,0,0
Madagascar,February,2004,0,0
Madagascar,March,2004,0,0
Madagascar,April,2004,0,0
Madagascar,May,2004,0,0
Madagascar,June,2004,4,1
