Country,Month,Year,Events,Fatalities
Malawi,January,1997,0,0
Malawi,February,1997,0,0
Malawi,March,1997,0,0
Malawi,April,1997,0,0
Malawi,May,1997,0,0
Malawi,June,1997,0,0
Malawi,July,1997,0,0
Malawi,August,1997,0,0
Malawi,September,1997,0,0
Malawi,October,1997,0,0
Malawi,November,1997,0,0
Malawi,December,1997,0,0
Malawi,January,1998,1,0
Malawi,February,1998,0,0
Malawi,March,1998,0,0
Malawi,April,1998,0,0
Malawi,May,1998,0,0
Malawi,June,1998,0,0
Malawi,July,1998,0,0
Malawi,August,1998,1,0
Malawi,September,1998,1,0
Malawi,October,1998,0,0
Malawi,November,1998,0,0
Malawi,December,1998,0,0
Malawi,January,1999,0,0
Malawi,February,1999,0,0
Malawi,March,1999,0,0
Malawi,April,1999,0,0
Malawi,May,1999,0,0
Malawi,June,1999,1,0
Malawi,July,1999,0,0
Malawi,August,1999,0,0
Malawi,September,1999,0,0
Malawi,October,1999,0,0
Malawi,November,1999,0,0
Malawi,December,1999,0,0
Malawi,January,2000,1,0
Malawi,February,2000,1,0
Malawi,March,2000,0,0
Malawi,April,2000,0,0
Malawi,May,2000,1,0
Malawi,June,2000,1,0
Malawi,July,2000,0,0
Malawi,August,2000,1,0
Malawi,September,2000,1,0
Malawi,October,2000,1,1
Malawi,November,2000,0,0
Malawi,December,2000,1,1
Malawi,January,2001,0,0
Malawi,February,2001,1,0
Malawi,March,2001,0,0
Malawi,April,2001,2,3
Malawi,May,2001,2,2
Malawi,June,2001,1,0
Malawi,July,2001,0,0
Malawi,August,2001,1,1
Malawi,September,2001,0,0
Malawi,October,2001,1,0
Malawi,November,2001,1,1
Malawi,December,2001,2,0
Malawi,January,2002,1,0
Malawi,February,2002,1,0
Malawi,March,2002,0,0
Malawi,April,2002,0,0
Malawi,May,2002,0,0
Malawi,June,2002,0,0
Malawi,July,2002,0,0
Malawi,August,2002,2,0
Malawi,September,2002,0,0
Malawi,October,2002,0,0
Malawi,November,2002,0,0
Malawi,December,2002,3,1
Malawi,January,2003,0,0
Malawi,February,2003,3,0
Malawi,March,2003,0,0
Malawi,April,2003,0,0
Malawi,May,2003,0,0
Malawi,June,2003,1,0
Malawi,July,2003,1,0
Malawi,August,2003,0,0
Malawi,September,2003,0,0
Malawi,October,2003,0,0
Malawi,November,2003,0,0
Malawi,December,2003,0,0
Malawi,January,2004,0,0
Malawi,February,2004,1,0
Malawi,March,2004,0,0
Malawi,April,2004,1,1
Malawi,May,2004,0,0
Malawi,June,2004,0,0
Malawi,July,2004,0,0
Malawi,August,2004,0,0
Malawi,September,2004,0,0
Malawi,October,2004,0,0
Malawi,November,2004,0,0
Malawi,December,2004,0,0
Malawi,January,2005,1,0
Malawi,February,2005,0,0
Malawi,March,2005,0,0
Malawi,April,2005,0,0
Malawi,May,2005,1,0
Malawi,June,2005,0,0
Malawi,July,2005,0,0
Malawi,August,2005,0,0
Malawi,September,2005,0,0
Malawi,October,2005,0,0
Malawi,November,2005,0,0
Malawi,December,2005,0,0
Malawi,January,2006,0,0
Malawi,February,2006,0,0
Malawi,March,2006,0,0
Malawi,April,2006,0,0
Malawi,May,2006,0,0
Malawi,June,2006,0,0
Malawi,July,2006,0,0
Malawi,August,2006,0,0
Malawi,September,2006,0,0
Malawi,October,2006,0,0
Malawi,November,2006,1,0
Malawi,December,2006,0,0
Malawi,January,2007,1,1
Malawi,February,2007,0,0
Malawi,March,2007,0,0
Malawi,April,2007,0,0
Malawi,May,2007,0,0
Malawi,June,2007,0,0
Malawi,July,2007,0,0
Malawi,August,2007,0,0
Malawi,September,2007,0,0
Malawi,October,2007,1,0
Malawi,November,2007,0,0
Malawi,December,2007,0,0
Malawi,January,2008,0,0
Malawi,February,2008,0,0
Malawi,March,2008,0,0
Malawi,April,2008,0,0
Malawi,May,2008,2,0
Malawi,June,2008,0,0
Malawi,July,2008,0,0
Malawi,August,2008,0,0
Malawi,September,2008,0,0
Malawi,October,2008,1,3
Malawi,November,2008,1,0
Malawi,December,2008,0,0
Malawi,January,2009,0,0
Malawi,February,2009,1,0
Malawi,March,2009,0,0
Malawi,April,2009,1,0
Malawi,May,2009,0,0
Malawi,June,2009,0,0
Malawi,July,2009,0,0
Malawi,August,2009,0,0
Malawi,September,2009,0,0
Malawi,October,2009,0,0
Malawi,November,2009,0,0
Malawi,December,2009,1,0
Malawi,January,2010,0,0
Malawi,February,2010,0,0
Malawi,March,2010,0,0
Malawi,April,2010,0,0
Malawi,May,2010,0,0
Malawi,June,2010,1,0
Malawi,July,2010,0,0
Malawi,August,2010,0,0
Malawi,September,2010,0,0
Malawi,October,2010,0,0
Malawi,November,2010,0,0
Malawi,December,2010,1,0
Malawi,January,2011,0,0
Malawi,February,2011,0,0
Malawi,March,2011,0,0
Malawi,April,2011,0,0
Malawi,May,2011,0,0
Malawi,June,2011,0,0
Malawi,July,2011,0,0
Malawi,August,2011,1,0
Malawi,September,2011,3,1
Malawi,October,2011,0,0
Malawi,November,2011,0,0
Malawi,December,2011,0,0
Malawi,January,2012,1,0
Malawi,February,2012,1,0
Malawi,March,2012,0,0
Malawi,April,2012,0,0
Malawi,May,2012,0,0
Malawi,June,2012,0,0
Malawi,July,2012,0,0
Malawi,August,2012,0,0
Malawi,September,2012,0,0
Malawi,October,2012,0,0
Malawi,November,2012,0,0
Malawi,December,2012,0,0
Malawi,January,2013,0,0
Malawi,February,2013,0,0
Malawi,March,2013,0,0
Malawi,April,2013,0,0
Malawi,May,2013,1,0
Malawi,June,2013,0,0
Malawi,July,2013,3,1
Malawi,August,2013,0,0
Malawi,September,2013,1,1
Malawi,October,2013,0,0
Malawi,November,2013,1,0
Malawi,December,2013,0,0
Malawi,January,2014,0,0
Malawi,February,2014,2,3
Malawi,March,2014,3,1
Malawi,April,2014,1,1
Malawi,May,2014,1,1
Malawi,June,2014,0,0
