Country,Month,Year,Events,Fatalities
Malta,January,2020,0,0
Malta,February,2020,0,0
Malta,March,2020,0,0
Malta,April,2020,0,0
Malta,May,2020,0,0
Malta,June,2020,0,0
Malta,July,2020,1,0
Malta,August,2020,0,0
Malta,September,2020,0,0
Malta,October,2020,0,0
Malta,November,2020,0,0
Malta,December,2020,0,0
Malta,January,2021,0,0
Malta,February,2021,0,0
Malta,March,2021,0,0
Malta,April,2021,0,0
Malta,May,2021,0,0
Malta,June,2021,0,0
Malta,July,2021,1,0
Malta,August,2021,1,0
Malta,September,2021,0,0
Malta,October,2021,0,0
Malta,November,2021,0,0
Malta,December,2021,0,0
Malta,January,2022,0,0
Malta,February,2022,0,0
Malta,March,2022,0,0
Malta,April,2022,0,0
Malta,May,2022,0,0
Malta,June,2022,1,0
Malta,July,2022,0,0
Malta,August,2022,0,0
Malta,September,2022,0,0
Malta,October,2022,0,0
Malta,November,2022,0,0
Malta,December,2022,0,0
Malta,January,2023,0,0
Malta,February,2023,1,0
Malta,March,2023,0,0
Malta,April,2023,0,0
Malta,May,2023,0,0
Malta,June,2023,0,0
Malta,July,2023,0,0
Malta,August,2023,0,0
Malta,September,2023,1,0
Malta,October,2023,0,0
Malta,November,2023,0,0
Malta,December,2023,0,0
Malta,January,2024,0,0
Malta,February,2024,0,0
Malta,March,2024,0,0
Malta,April,2024,0,0
Malta,May,2024,0,0
Malta,June,2024,0,0
Malta,July,2024,0,0
Malta,August,2024,0,0
Malta,September,2024,0,0
Malta,October,2024,0,0
Malta,November,2024,0,0
Malta,December,2024,0,0
Malta,January,2025,0,0
Malta,February,2025,0,0
Malta,March,2025,0,0
Malta,April,2025,0,0
Malta,May,2025,1,0
Malta,June,2025,0,0
Malta,July,2025,0,0
Malta,August,2025,0,0
Malta,September,2025,0,0
Malta,October,2025,1,2
Malta,November,2025,0,0
Malta,December,2025,0,0
Malta,January,2026,0,0
Malta,February,2026,0,0
Malta,March,2026,0,0
Malta,April,2026,0,0
