Country,Month,Year,Events,Fatalities
Mongolia,January,2018,0,0
Mongolia,February,2018,0,0
Mongolia,March,2018,1,0
Mongolia,April,2018,0,0
Mongolia,May,2018,0,0
Mongolia,June,2018,0,0
Mongolia,July,2018,1,0
Mongolia,August,2018,0,0
Mongolia,September,2018,0,0
Mongolia,October,2018,0,0
Mongolia,November,2018,0,0
Mongolia,December,2018,1,1
Mongolia,January,2019,0,0
Mongolia,February,2019,0,0
Mongolia,March,2019,0,0
Mongolia,April,2019,0,0
Mongolia,May,2019,0,0
Mongolia,June,2019,0,0
Mongolia,July,2019,0,0
Mongolia,August,2019,0,0
Mongolia,September,2019,0,0
Mongolia,October,2019,0,0
Mongolia,November,2019,0,0
Mongolia,December,2019,0,0
Mongolia,January,2020,0,0
Mongolia,February,2020,0,0
Mongolia,March,2020,0,0
Mongolia,April,2020,0,0
Mongolia,May,2020,0,0
Mongolia,June,2020,0,0
Mongolia,July,2020,0,0
Mongolia,August,2020,0,0
Mongolia,September,2020,0,0
Mongolia,October,2020,0,0
Mongolia,November,2020,0,0
Mongolia,December,2020,0,0
Mongolia,January,2021,0,0
Mongolia,February,2021,0,0
Mongolia,March,2021,0,0
Mongolia,April,2021,0,0
Mongolia,May,2021,1,0
Mongolia,June,2021,0,0
Mongolia,July,2021,0,0
Mongolia,August,2021,0,0
Mongolia,September,2021,0,0
Mongolia,October,2021,0,0
Mongolia,November,2021,0,0
Mongolia,December,2021,0,0
Mongolia,January,2022,0,0
Mongolia,February,2022,0,0
Mongolia,March,2022,0,0
Mongolia,April,2022,0,0
Mongolia,May,2022,0,0
Mongolia,June,2022,0,0
Mongolia,July,2022,0,0
Mongolia,August,2022,0,0
Mongolia,September,2022,0,0
Mongolia,October,2022,0,0
Mongolia,November,2022,0,0
Mongolia,December,2022,0,0
Mongolia,January,2023,0,0
Mongolia,February,2023,0,0
Mongolia,March,2023,0,0
Mongolia,April,2023,0,0
Mongolia,May,2023,0,0
Mongolia,June,2023,0,0
Mongolia,July,2023,0,0
Mongolia,August,2023,0,0
Mongolia,September,2023,0,0
Mongolia,October,2023,0,0
Mongolia,November,2023,0,0
Mongolia,December,2023,0,0
Mongolia,January,2024,0,0
Mongolia,February,2024,0,0
Mongolia,March,2024,0,0
Mongolia,April,2024,0,0
Mongolia,May,2024,0,0
Mongolia,June,2024,0,0
Mongolia,July,2024,0,0
Mongolia,August,2024,0,0
Mongolia,September,2024,0,0
Mongolia,October,2024,0,0
Mongolia,November,2024,0,0
Mongolia,December,2024,0,0
Mongolia,January,2025,0,0
Mongolia,February,2025,0,0
Mongolia,March,2025,0,0
Mongolia,April,2025,0,0
Mongolia,May,2025,0,0
Mongolia,June,2025,0,0
Mongolia,July,2025,0,0
Mongolia,August,2025,0,0
Mongolia,September,2025,0,0
Mongolia,October,2025,0,0
Mongolia,November,2025,0,0
Mongolia,December,2025,0,0
Mongolia,January,2026,0,0
Mongolia,February,2026,0,0
Mongolia,March,2026,0,0
Mongolia,April,2026,0,0
