Country,Month,Year,Events,Fatalities
Nepal,January,2010,8,6
Nepal,February,2010,8,2
Nepal,March,2010,11,5
Nepal,April,2010,15,2
Nepal,May,2010,26,2
Nepal,June,2010,9,3
Nepal,July,2010,9,2
Nepal,August,2010,0,0
Nepal,September,2010,0,0
Nepal,October,2010,6,2
Nepal,November,2010,2,2
Nepal,December,2010,7,0
Nepal,January,2011,8,2
Nepal,February,2011,3,1
Nepal,March,2011,10,0
Nepal,April,2011,8,4
Nepal,May,2011,2,1
Nepal,June,2011,0,0
Nepal,July,2011,1,0
Nepal,August,2011,2,0
Nepal,September,2011,7,1
Nepal,October,2011,1,0
Nepal,November,2011,1,0
Nepal,December,2011,5,0
Nepal,January,2012,5,1
Nepal,February,2012,2,3
Nepal,March,2012,3,2
Nepal,April,2012,2,5
Nepal,May,2012,5,1
Nepal,June,2012,4,0
Nepal,July,2012,7,1
Nepal,August,2012,2,1
Nepal,September,2012,6,0
Nepal,October,2012,1,0
Nepal,November,2012,1,0
Nepal,December,2012,6,1
Nepal,January,2013,2,0
Nepal,February,2013,5,0
Nepal,March,2013,14,2
Nepal,April,2013,6,0
Nepal,May,2013,3,0
Nepal,June,2013,2,0
Nepal,July,2013,1,0
Nepal,August,2013,1,0
Nepal,September,2013,3,0
Nepal,October,2013,29,0
Nepal,November,2013,50,1
Nepal,December,2013,3,0
Nepal,January,2014,2,0
Nepal,February,2014,2,1
Nepal,March,2014,2,0
Nepal,April,2014,1,0
Nepal,May,2014,1,0
Nepal,June,2014,0,0
Nepal,July,2014,6,3
Nepal,August,2014,1,0
Nepal,September,2014,2,0
Nepal,October,2014,0,0
Nepal,November,2014,0,0
Nepal,December,2014,1,0
Nepal,January,2015,5,1
Nepal,February,2015,0,0
Nepal,March,2015,1,0
Nepal,April,2015,1,0
Nepal,May,2015,0,0
Nepal,June,2015,0,0
Nepal,July,2015,2,0
Nepal,August,2015,12,3
Nepal,September,2015,12,3
Nepal,October,2015,2,0
Nepal,November,2015,14,0
Nepal,December,2015,6,0
Nepal,January,2016,1,0
Nepal,February,2016,6,2
Nepal,March,2016,1,0
Nepal,April,2016,1,0
Nepal,May,2016,0,0
Nepal,June,2016,4,0
Nepal,July,2016,2,0
Nepal,August,2016,0,0
Nepal,September,2016,0,0
Nepal,October,2016,0,0
Nepal,November,2016,0,0
Nepal,December,2016,2,1
Nepal,January,2017,0,0
Nepal,February,2017,1,0
Nepal,March,2017,6,1
Nepal,April,2017,3,0
Nepal,May,2017,0,0
Nepal,June,2017,8,0
Nepal,July,2017,2,0
Nepal,August,2017,2,0
Nepal,September,2017,7,3
Nepal,October,2017,2,1
Nepal,November,2017,30,0
Nepal,December,2017,10,0
Nepal,January,2018,19,2
Nepal,February,2018,11,0
Nepal,March,2018,18,0
Nepal,April,2018,23,0
Nepal,May,2018,5,0
Nepal,June,2018,5,0
Nepal,July,2018,9,2
Nepal,August,2018,16,4
Nepal,September,2018,7,2
Nepal,October,2018,11,1
Nepal,November,2018,14,2
Nepal,December,2018,13,0
Nepal,January,2019,10,3
Nepal,February,2019,11,1
Nepal,March,2019,17,2
Nepal,April,2019,16,1
Nepal,May,2019,33,15
Nepal,June,2019,27,2
Nepal,July,2019,30,1
Nepal,August,2019,27,2
Nepal,September,2019,28,0
Nepal,October,2019,18,1
Nepal,November,2019,16,1
Nepal,December,2019,19,5
Nepal,January,2020,11,1
Nepal,February,2020,16,2
Nepal,March,2020,27,1
Nepal,April,2020,47,5
Nepal,May,2020,28,7
Nepal,June,2020,24,0
Nepal,July,2020,15,2
Nepal,August,2020,36,2
Nepal,September,2020,14,1
Nepal,October,2020,13,3
Nepal,November,2020,3,0
Nepal,December,2020,8,1
Nepal,January,2021,10,2
Nepal,February,2021,2,0
Nepal,March,2021,10,1
Nepal,April,2021,11,1
Nepal,May,2021,20,0
Nepal,June,2021,16,0
Nepal,July,2021,11,0
Nepal,August,2021,10,0
Nepal,September,2021,10,0
Nepal,October,2021,6,0
Nepal,November,2021,7,0
Nepal,December,2021,5,0
Nepal,January,2022,1,0
Nepal,February,2022,2,0
Nepal,March,2022,6,1
Nepal,April,2022,8,1
Nepal,May,2022,70,2
Nepal,June,2022,6,0
Nepal,July,2022,6,0
Nepal,August,2022,5,0
Nepal,September,2022,8,1
Nepal,October,2022,7,2
Nepal,November,2022,26,1
Nepal,December,2022,6,1
Nepal,January,2023,7,0
Nepal,February,2023,8,0
Nepal,March,2023,6,0
Nepal,April,2023,12,0
Nepal,May,2023,7,0
Nepal,June,2023,9,0
Nepal,July,2023,16,0
Nepal,August,2023,13,0
Nepal,September,2023,15,0
Nepal,October,2023,4,0
Nepal,November,2023,12,1
Nepal,December,2023,5,1
Nepal,January,2024,7,1
Nepal,February,2024,8,0
Nepal,March,2024,9,0
Nepal,April,2024,6,0
Nepal,May,2024,10,0
Nepal,June,2024,9,0
Nepal,July,2024,8,1
Nepal,August,2024,7,2
Nepal,September,2024,1,0
Nepal,October,2024,8,1
Nepal,November,2024,5,0
Nepal,December,2024,5,0
Nepal,January,2025,4,0
Nepal,February,2025,8,0
Nepal,March,2025,7,0
Nepal,April,2025,8,0
Nepal,May,2025,4,0
Nepal,June,2025,12,0
Nepal,July,2025,13,1
Nepal,August,2025,7,0
Nepal,September,2025,8,0
Nepal,October,2025,4,0
Nepal,November,2025,2,0
Nepal,December,2025,2,0
Nepal,January,2026,2,1
Nepal,February,2026,7,1
Nepal,March,2026,13,1
Nepal,April,2026,6,0
