Country,Month,Year,Events,Fatalities
Netherlands,January,2020,0,0
Netherlands,February,2020,1,0
Netherlands,March,2020,0,0
Netherlands,April,2020,2,0
Netherlands,May,2020,2,0
Netherlands,June,2020,1,0
Netherlands,July,2020,2,0
Netherlands,August,2020,2,0
Netherlands,September,2020,1,0
Netherlands,October,2020,1,1
Netherlands,November,2020,3,0
Netherlands,December,2020,0,0
Netherlands,January,2021,0,0
Netherlands,February,2021,0,0
Netherlands,March,2021,0,0
Netherlands,April,2021,1,0
Netherlands,May,2021,1,0
Netherlands,June,2021,0,0
Netherlands,July,2021,2,1
Netherlands,August,2021,3,0
Netherlands,September,2021,2,0
Netherlands,October,2021,0,0
Netherlands,November,2021,0,0
Netherlands,December,2021,0,0
Netherlands,January,2022,0,0
Netherlands,February,2022,0,0
Netherlands,March,2022,0,0
Netherlands,April,2022,0,0
Netherlands,May,2022,0,0
Netherlands,June,2022,0,0
Netherlands,July,2022,1,0
Netherlands,August,2022,1,0
Netherlands,September,2022,1,0
Netherlands,October,2022,0,0
Netherlands,November,2022,0,0
Netherlands,December,2022,0,0
Netherlands,January,2023,0,0
Netherlands,February,2023,0,0
Netherlands,March,2023,0,0
Netherlands,April,2023,2,0
Netherlands,May,2023,1,0
Netherlands,June,2023,0,0
Netherlands,July,2023,3,0
Netherlands,August,2023,0,0
Netherlands,September,2023,0,0
Netherlands,October,2023,0,0
Netherlands,November,2023,2,0
Netherlands,December,2023,1,0
Netherlands,January,2024,0,0
Netherlands,February,2024,0,0
Netherlands,March,2024,1,0
Netherlands,April,2024,1,0
Netherlands,May,2024,1,0
Netherlands,June,2024,0,0
Netherlands,July,2024,0,0
Netherlands,August,2024,0,0
Netherlands,September,2024,2,1
Netherlands,October,2024,1,0
Netherlands,November,2024,1,0
Netherlands,December,2024,1,0
Netherlands,January,2025,0,0
Netherlands,February,2025,1,0
Netherlands,March,2025,2,0
Netherlands,April,2025,2,0
Netherlands,May,2025,2,1
Netherlands,June,2025,1,0
Netherlands,July,2025,0,0
Netherlands,August,2025,1,0
Netherlands,September,2025,0,0
Netherlands,October,2025,0,0
Netherlands,November,2025,1,0
Netherlands,December,2025,0,0
Netherlands,January,2026,0,0
Netherlands,February,2026,0,0
Netherlands,March,2026,1,0
Netherlands,April,2026,1,0
