Country,Month,Year,Events,Fatalities
Oman,January,2016,0,0
Oman,February,2016,0,0
Oman,March,2016,0,0
Oman,April,2016,0,0
Oman,May,2016,0,0
Oman,June,2016,0,0
Oman,July,2016,0,0
Oman,August,2016,0,0
Oman,September,2016,0,0
Oman,October,2016,0,0
Oman,November,2016,0,0
Oman,December,2016,0,0
Oman,January,2017,0,0
Oman,February,2017,0,0
Oman,March,2017,0,0
Oman,April,2017,0,0
Oman,May,2017,0,0
Oman,June,2017,1,0
Oman,July,2017,0,0
Oman,August,2017,0,0
Oman,September,2017,0,0
Oman,October,2017,0,0
Oman,November,2017,0,0
Oman,December,2017,0,0
Oman,January,2018,0,0
Oman,February,2018,0,0
Oman,March,2018,0,0
Oman,April,2018,1,0
Oman,May,2018,0,0
Oman,June,2018,0,0
Oman,July,2018,0,0
Oman,August,2018,0,0
Oman,September,2018,0,0
Oman,October,2018,0,0
Oman,November,2018,0,0
Oman,December,2018,0,0
Oman,January,2019,0,0
Oman,February,2019,0,0
Oman,March,2019,0,0
Oman,April,2019,0,0
Oman,May,2019,0,0
Oman,June,2019,0,0
Oman,July,2019,0,0
Oman,August,2019,0,0
Oman,September,2019,0,0
Oman,October,2019,0,0
Oman,November,2019,0,0
Oman,December,2019,0,0
Oman,January,2020,0,0
Oman,February,2020,0,0
Oman,March,2020,0,0
Oman,April,2020,0,0
Oman,May,2020,0,0
Oman,June,2020,0,0
Oman,July,2020,0,0
Oman,August,2020,0,0
Oman,September,2020,0,0
Oman,October,2020,0,0
Oman,November,2020,0,0
Oman,December,2020,0,0
Oman,January,2021,0,0
Oman,February,2021,0,0
Oman,March,2021,0,0
Oman,April,2021,0,0
Oman,May,2021,0,0
Oman,June,2021,0,0
Oman,July,2021,1,2
Oman,August,2021,0,0
Oman,September,2021,0,0
Oman,October,2021,0,0
Oman,November,2021,0,0
Oman,December,2021,0,0
Oman,January,2022,0,0
Oman,February,2022,0,0
Oman,March,2022,0,0
Oman,April,2022,0,0
Oman,May,2022,0,0
Oman,June,2022,0,0
Oman,July,2022,0,0
Oman,August,2022,0,0
Oman,September,2022,0,0
Oman,October,2022,0,0
Oman,November,2022,0,0
Oman,December,2022,0,0
Oman,January,2023,0,0
Oman,February,2023,0,0
Oman,March,2023,0,0
Oman,April,2023,0,0
Oman,May,2023,0,0
Oman,June,2023,0,0
Oman,July,2023,0,0
Oman,August,2023,0,0
Oman,September,2023,0,0
Oman,October,2023,0,0
Oman,November,2023,0,0
Oman,December,2023,0,0
Oman,January,2024,0,0
Oman,February,2024,0,0
Oman,March,2024,0,0
Oman,April,2024,0,0
Oman,May,2024,1,0
Oman,June,2024,1,0
Oman,July,2024,1,5
Oman,August,2024,0,0
Oman,September,2024,0,0
Oman,October,2024,0,0
Oman,November,2024,1,1
Oman,December,2024,0,0
Oman,January,2025,0,0
Oman,February,2025,0,0
Oman,March,2025,0,0
Oman,April,2025,0,0
Oman,May,2025,0,0
Oman,June,2025,0,0
Oman,July,2025,0,0
Oman,August,2025,0,0
Oman,September,2025,0,0
Oman,October,2025,0,0
Oman,November,2025,0,0
Oman,December,2025,0,0
Oman,January,2026,0,0
Oman,February,2026,0,0
Oman,March,2026,8,9
Oman,April,2026,1,0
