Country,Month,Year,Events,Fatalities
Pakistan,January,2010,45,194
Pakistan,February,2010,46,108
Pakistan,March,2010,101,154
Pakistan,April,2010,81,212
Pakistan,May,2010,32,114
Pakistan,June,2010,36,42
Pakistan,July,2010,40,244
Pakistan,August,2010,48,103
Pakistan,September,2010,44,181
Pakistan,October,2010,68,97
Pakistan,November,2010,32,105
Pakistan,December,2010,51,144
Pakistan,January,2011,51,91
Pakistan,February,2011,36,46
Pakistan,March,2011,89,222
Pakistan,April,2011,77,161
Pakistan,May,2011,27,64
Pakistan,June,2011,72,123
Pakistan,July,2011,35,89
Pakistan,August,2011,37,130
Pakistan,September,2011,19,115
Pakistan,October,2011,34,37
Pakistan,November,2011,21,22
Pakistan,December,2011,43,53
Pakistan,January,2012,56,127
Pakistan,February,2012,76,284
Pakistan,March,2012,75,141
Pakistan,April,2012,76,142
Pakistan,May,2012,98,109
Pakistan,June,2012,115,254
Pakistan,July,2012,100,206
Pakistan,August,2012,101,183
Pakistan,September,2012,52,124
Pakistan,October,2012,71,112
Pakistan,November,2012,116,242
Pakistan,December,2012,77,139
Pakistan,January,2013,109,181
Pakistan,February,2013,64,202
Pakistan,March,2013,66,111
Pakistan,April,2013,69,127
Pakistan,May,2013,114,190
Pakistan,June,2013,64,206
Pakistan,July,2013,49,171
Pakistan,August,2013,69,101
Pakistan,September,2013,71,342
Pakistan,October,2013,41,70
Pakistan,November,2013,55,92
Pakistan,December,2013,50,69
Pakistan,January,2014,48,103
Pakistan,February,2014,55,142
Pakistan,March,2014,47,56
Pakistan,April,2014,95,236
Pakistan,May,2014,61,62
Pakistan,June,2014,89,104
Pakistan,July,2014,17,25
Pakistan,August,2014,51,54
Pakistan,September,2014,62,72
Pakistan,October,2014,49,104
Pakistan,November,2014,41,103
Pakistan,December,2014,18,155
Pakistan,January,2015,50,117
Pakistan,February,2015,60,83
Pakistan,March,2015,56,63
Pakistan,April,2015,49,79
Pakistan,May,2015,89,165
Pakistan,June,2015,35,31
Pakistan,July,2015,37,41
Pakistan,August,2015,33,58
Pakistan,September,2015,41,106
Pakistan,October,2015,24,68
Pakistan,November,2015,49,33
Pakistan,December,2015,27,68
Pakistan,January,2016,30,52
Pakistan,February,2016,30,23
Pakistan,March,2016,22,104
Pakistan,April,2016,27,32
Pakistan,May,2016,28,27
Pakistan,June,2016,33,32
Pakistan,July,2016,37,33
Pakistan,August,2016,27,116
Pakistan,September,2016,22,58
Pakistan,October,2016,25,31
Pakistan,November,2016,21,90
Pakistan,December,2016,18,14
Pakistan,January,2017,24,38
Pakistan,February,2017,29,133
Pakistan,March,2017,30,35
Pakistan,April,2017,17,19
Pakistan,May,2017,25,56
Pakistan,June,2017,14,95
Pakistan,July,2017,14,47
Pakistan,August,2017,15,19
Pakistan,September,2017,17,23
Pakistan,October,2017,20,40
Pakistan,November,2017,11,7
Pakistan,December,2017,18,41
Pakistan,January,2018,11,15
Pakistan,February,2018,11,8
Pakistan,March,2018,18,16
Pakistan,April,2018,24,27
Pakistan,May,2018,23,25
Pakistan,June,2018,35,29
Pakistan,July,2018,60,205
Pakistan,August,2018,52,43
Pakistan,September,2018,40,31
Pakistan,October,2018,60,54
Pakistan,November,2018,39,62
Pakistan,December,2018,49,43
Pakistan,January,2019,55,39
Pakistan,February,2019,26,16
Pakistan,March,2019,53,45
Pakistan,April,2019,50,60
Pakistan,May,2019,53,42
Pakistan,June,2019,55,42
Pakistan,July,2019,49,30
Pakistan,August,2019,53,48
Pakistan,September,2019,45,25
Pakistan,October,2019,40,23
Pakistan,November,2019,39,27
Pakistan,December,2019,27,21
Pakistan,January,2020,15,32
Pakistan,February,2020,14,24
Pakistan,March,2020,12,7
Pakistan,April,2020,7,6
Pakistan,May,2020,12,11
Pakistan,June,2020,7,3
Pakistan,July,2020,17,21
Pakistan,August,2020,24,16
Pakistan,September,2020,19,17
Pakistan,October,2020,15,25
Pakistan,November,2020,21,19
Pakistan,December,2020,19,23
Pakistan,January,2021,22,36
Pakistan,February,2021,29,28
Pakistan,March,2021,30,30
Pakistan,April,2021,25,20
Pakistan,May,2021,32,23
Pakistan,June,2021,41,46
Pakistan,July,2021,25,32
Pakistan,August,2021,35,45
Pakistan,September,2021,28,41
Pakistan,October,2021,16,14
Pakistan,November,2021,26,20
Pakistan,December,2021,24,18
Pakistan,January,2022,58,33
Pakistan,February,2022,68,19
Pakistan,March,2022,56,84
Pakistan,April,2022,54,34
Pakistan,May,2022,64,23
Pakistan,June,2022,52,33
Pakistan,July,2022,88,39
Pakistan,August,2022,63,26
Pakistan,September,2022,58,27
Pakistan,October,2022,63,54
Pakistan,November,2022,49,38
Pakistan,December,2022,75,35
Pakistan,January,2023,59,114
Pakistan,February,2023,65,38
Pakistan,March,2023,75,49
Pakistan,April,2023,62,36
Pakistan,May,2023,63,40
Pakistan,June,2023,67,45
Pakistan,July,2023,84,104
Pakistan,August,2023,121,78
Pakistan,September,2023,116,134
Pakistan,October,2023,80,52
Pakistan,November,2023,97,63
Pakistan,December,2023,83,67
Pakistan,January,2024,104,61
Pakistan,February,2024,97,78
Pakistan,March,2024,62,41
Pakistan,April,2024,90,68
Pakistan,May,2024,117,66
Pakistan,June,2024,90,46
Pakistan,July,2024,104,68
Pakistan,August,2024,94,87
Pakistan,September,2024,74,48
Pakistan,October,2024,97,60
Pakistan,November,2024,95,133
Pakistan,December,2024,83,42
Pakistan,January,2025,116,54
Pakistan,February,2025,115,75
Pakistan,March,2025,120,103
Pakistan,April,2025,154,84
Pakistan,May,2025,159,67
Pakistan,June,2025,143,107
Pakistan,July,2025,129,75
Pakistan,August,2025,141,89
Pakistan,September,2025,134,101
Pakistan,October,2025,125,66
