Country,Month,Year,Events,Fatalities
Panama,January,2018,0,0
Panama,February,2018,0,0
Panama,March,2018,0,0
Panama,April,2018,0,0
Panama,May,2018,1,0
Panama,June,2018,0,0
Panama,July,2018,0,0
Panama,August,2018,0,0
Panama,September,2018,1,0
Panama,October,2018,0,0
Panama,November,2018,1,1
Panama,December,2018,0,0
Panama,January,2019,0,0
Panama,February,2019,2,0
Panama,March,2019,0,0
Panama,April,2019,1,0
Panama,May,2019,0,0
Panama,June,2019,1,1
Panama,July,2019,0,0
Panama,August,2019,2,1
Panama,September,2019,1,0
Panama,October,2019,0,0
Panama,November,2019,1,0
Panama,December,2019,0,0
Panama,January,2020,1,1
Panama,February,2020,1,0
Panama,March,2020,1,0
Panama,April,2020,2,0
Panama,May,2020,0,0
Panama,June,2020,0,0
Panama,July,2020,2,0
Panama,August,2020,3,1
Panama,September,2020,2,0
Panama,October,2020,0,0
Panama,November,2020,1,1
Panama,December,2020,1,1
Panama,January,2021,1,1
Panama,February,2021,1,1
Panama,March,2021,0,0
Panama,April,2021,0,0
Panama,May,2021,1,1
Panama,June,2021,1,0
Panama,July,2021,1,0
Panama,August,2021,0,0
Panama,September,2021,0,0
Panama,October,2021,1,1
Panama,November,2021,1,1
Panama,December,2021,1,0
Panama,January,2022,2,0
Panama,February,2022,0,0
Panama,March,2022,0,0
Panama,April,2022,0,0
Panama,May,2022,0,0
Panama,June,2022,0,0
Panama,July,2022,1,0
Panama,August,2022,0,0
Panama,September,2022,1,1
Panama,October,2022,0,0
Panama,November,2022,1,0
Panama,December,2022,0,0
Panama,January,2023,0,0
Panama,February,2023,0,0
Panama,March,2023,1,1
Panama,April,2023,0,0
Panama,May,2023,0,0
Panama,June,2023,1,2
Panama,July,2023,0,0
Panama,August,2023,0,0
Panama,September,2023,0,0
Panama,October,2023,3,0
Panama,November,2023,4,4
Panama,December,2023,0,0
Panama,January,2024,0,0
Panama,February,2024,1,0
Panama,March,2024,2,0
Panama,April,2024,1,0
Panama,May,2024,1,0
Panama,June,2024,0,0
Panama,July,2024,0,0
Panama,August,2024,0,0
Panama,September,2024,0,0
Panama,October,2024,0,0
Panama,November,2024,1,0
Panama,December,2024,1,1
Panama,January,2025,1,0
Panama,February,2025,0,0
Panama,March,2025,0,0
Panama,April,2025,0,0
Panama,May,2025,1,0
Panama,June,2025,3,0
Panama,July,2025,0,0
Panama,August,2025,1,0
Panama,September,2025,0,0
Panama,October,2025,0,0
Panama,November,2025,0,0
Panama,December,2025,0,0
Panama,January,2026,0,0
Panama,February,2026,0,0
Panama,March,2026,0,0
Panama,April,2026,0,0
