Country,Month,Year,Events,Fatalities
Peru,January,2018,1,0
Peru,February,2018,2,1
Peru,March,2018,0,0
Peru,April,2018,1,1
Peru,May,2018,0,0
Peru,June,2018,0,0
Peru,July,2018,2,0
Peru,August,2018,3,3
Peru,September,2018,3,2
Peru,October,2018,2,0
Peru,November,2018,0,0
Peru,December,2018,0,0
Peru,January,2019,2,1
Peru,February,2019,0,0
Peru,March,2019,1,1
Peru,April,2019,6,4
Peru,May,2019,2,1
Peru,June,2019,3,0
Peru,July,2019,6,2
Peru,August,2019,11,6
Peru,September,2019,13,1
Peru,October,2019,5,0
Peru,November,2019,5,6
Peru,December,2019,9,2
Peru,January,2020,6,0
Peru,February,2020,10,0
Peru,March,2020,6,0
Peru,April,2020,6,0
Peru,May,2020,5,0
Peru,June,2020,5,0
Peru,July,2020,3,0
Peru,August,2020,5,0
Peru,September,2020,11,1
Peru,October,2020,8,0
Peru,November,2020,12,0
Peru,December,2020,14,0
Peru,January,2021,4,0
Peru,February,2021,6,0
Peru,March,2021,10,0
Peru,April,2021,2,0
Peru,May,2021,9,17
Peru,June,2021,1,0
Peru,July,2021,6,0
Peru,August,2021,6,0
Peru,September,2021,8,1
Peru,October,2021,7,0
Peru,November,2021,2,0
Peru,December,2021,9,1
Peru,January,2022,3,0
Peru,February,2022,12,0
Peru,March,2022,6,0
Peru,April,2022,9,1
Peru,May,2022,11,0
Peru,June,2022,11,0
Peru,July,2022,4,0
Peru,August,2022,5,0
Peru,September,2022,8,0
Peru,October,2022,4,1
Peru,November,2022,8,1
Peru,December,2022,4,2
Peru,January,2023,7,6
Peru,February,2023,7,1
Peru,March,2023,5,0
Peru,April,2023,13,7
Peru,May,2023,7,9
Peru,June,2023,7,1
Peru,July,2023,6,0
Peru,August,2023,5,0
Peru,September,2023,14,4
Peru,October,2023,9,2
Peru,November,2023,9,2
Peru,December,2023,5,9
Peru,January,2024,8,4
Peru,February,2024,4,0
Peru,March,2024,16,4
Peru,April,2024,18,5
Peru,May,2024,15,3
Peru,June,2024,13,2
Peru,July,2024,17,4
Peru,August,2024,16,4
Peru,September,2024,12,1
Peru,October,2024,11,5
Peru,November,2024,19,7
Peru,December,2024,21,1
Peru,January,2025,23,7
Peru,February,2025,11,3
Peru,March,2025,15,4
Peru,April,2025,16,1
Peru,May,2025,14,4
Peru,June,2025,13,1
Peru,July,2025,26,7
Peru,August,2025,15,2
Peru,September,2025,16,2
Peru,October,2025,7,3
Peru,November,2025,19,4
Peru,December,2025,15,5
Peru,January,2026,12,3
Peru,February,2026,9,4
Peru,March,2026,11,7
Peru,April,2026,2,1
