Country,Month,Year,Events,Fatalities
Philippines,January,2016,29,26
Philippines,February,2016,35,36
Philippines,March,2016,19,15
Philippines,April,2016,34,30
Philippines,May,2016,52,65
Philippines,June,2016,80,100
Philippines,July,2016,650,900
Philippines,August,2016,470,619
Philippines,September,2016,427,623
Philippines,October,2016,319,434
Philippines,November,2016,305,462
Philippines,December,2016,195,283
Philippines,January,2017,206,273
Philippines,February,2017,99,113
Philippines,March,2017,138,189
Philippines,April,2017,167,221
Philippines,May,2017,217,268
Philippines,June,2017,200,228
Philippines,July,2017,176,208
Philippines,August,2017,259,377
Philippines,September,2017,148,188
Philippines,October,2017,93,123
Philippines,November,2017,52,47
Philippines,December,2017,68,84
Philippines,January,2018,65,77
Philippines,February,2018,62,68
Philippines,March,2018,100,110
Philippines,April,2018,79,92
Philippines,May,2018,124,155
Philippines,June,2018,136,150
Philippines,July,2018,108,127
Philippines,August,2018,168,199
Philippines,September,2018,102,121
Philippines,October,2018,118,162
Philippines,November,2018,105,126
Philippines,December,2018,79,96
Philippines,January,2019,80,109
Philippines,February,2019,68,73
Philippines,March,2019,85,106
Philippines,April,2019,78,78
Philippines,May,2019,96,94
Philippines,June,2019,91,100
Philippines,July,2019,95,113
Philippines,August,2019,136,144
Philippines,September,2019,116,120
Philippines,October,2019,82,93
Philippines,November,2019,56,52
Philippines,December,2019,66,69
Philippines,January,2020,101,121
Philippines,February,2020,95,103
Philippines,March,2020,66,66
Philippines,April,2020,56,64
Philippines,May,2020,78,90
Philippines,June,2020,73,88
Philippines,July,2020,71,76
Philippines,August,2020,57,64
Philippines,September,2020,53,52
Philippines,October,2020,50,58
Philippines,November,2020,45,46
Philippines,December,2020,69,86
Philippines,January,2021,89,116
Philippines,February,2021,74,83
Philippines,March,2021,53,67
Philippines,April,2021,59,61
Philippines,May,2021,79,100
Philippines,June,2021,65,79
Philippines,July,2021,39,46
Philippines,August,2021,28,30
Philippines,September,2021,28,33
Philippines,October,2021,30,38
Philippines,November,2021,23,26
Philippines,December,2021,26,28
Philippines,January,2022,32,31
Philippines,February,2022,34,51
Philippines,March,2022,33,31
Philippines,April,2022,32,35
Philippines,May,2022,62,44
Philippines,June,2022,53,50
Philippines,July,2022,44,46
Philippines,August,2022,40,41
Philippines,September,2022,32,26
Philippines,October,2022,35,43
Philippines,November,2022,47,49
Philippines,December,2022,22,24
Philippines,January,2023,42,44
Philippines,February,2023,34,39
Philippines,March,2023,25,38
Philippines,April,2023,48,41
Philippines,May,2023,38,38
Philippines,June,2023,31,34
Philippines,July,2023,29,27
Philippines,August,2023,36,35
Philippines,September,2023,41,38
Philippines,October,2023,45,40
Philippines,November,2023,40,39
Philippines,December,2023,25,29
Philippines,January,2024,32,35
Philippines,February,2024,23,24
Philippines,March,2024,41,42
Philippines,April,2024,28,30
Philippines,May,2024,29,30
Philippines,June,2024,32,27
Philippines,July,2024,21,19
Philippines,August,2024,39,34
Philippines,September,2024,27,24
Philippines,October,2024,22,22
Philippines,November,2024,26,24
Philippines,December,2024,25,30
Philippines,January,2025,29,24
Philippines,February,2025,30,29
Philippines,March,2025,33,28
Philippines,April,2025,36,23
Philippines,May,2025,31,24
Philippines,June,2025,30,29
Philippines,July,2025,22,22
Philippines,August,2025,19,24
Philippines,September,2025,24,20
Philippines,October,2025,22,23
Philippines,November,2025,20,19
Philippines,December,2025,21,23
Philippines,January,2026,32,34
Philippines,February,2026,12,13
Philippines,March,2026,20,15
Philippines,April,2026,12,13
