Country,Month,Year,Events,Fatalities
Qatar,January,2016,0,0
Qatar,February,2016,0,0
Qatar,March,2016,0,0
Qatar,April,2016,0,0
Qatar,May,2016,0,0
Qatar,June,2016,0,0
Qatar,July,2016,0,0
Qatar,August,2016,0,0
Qatar,September,2016,0,0
Qatar,October,2016,0,0
Qatar,November,2016,0,0
Qatar,December,2016,0,0
Qatar,January,2017,0,0
Qatar,February,2017,0,0
Qatar,March,2017,0,0
Qatar,April,2017,0,0
Qatar,May,2017,0,0
Qatar,June,2017,0,0
Qatar,July,2017,0,0
Qatar,August,2017,0,0
Qatar,September,2017,0,0
Qatar,October,2017,0,0
Qatar,November,2017,0,0
Qatar,December,2017,0,0
Qatar,January,2018,0,0
Qatar,February,2018,0,0
Qatar,March,2018,0,0
Qatar,April,2018,0,0
Qatar,May,2018,0,0
Qatar,June,2018,0,0
Qatar,July,2018,0,0
Qatar,August,2018,0,0
Qatar,September,2018,0,0
Qatar,October,2018,0,0
Qatar,November,2018,0,0
Qatar,December,2018,0,0
Qatar,January,2019,0,0
Qatar,February,2019,0,0
Qatar,March,2019,0,0
Qatar,April,2019,0,0
Qatar,May,2019,0,0
Qatar,June,2019,0,0
Qatar,July,2019,0,0
Qatar,August,2019,0,0
Qatar,September,2019,0,0
Qatar,October,2019,0,0
Qatar,November,2019,0,0
Qatar,December,2019,0,0
Qatar,January,2020,0,0
Qatar,February,2020,0,0
Qatar,March,2020,0,0
Qatar,April,2020,0,0
Qatar,May,2020,0,0
Qatar,June,2020,0,0
Qatar,July,2020,0,0
Qatar,August,2020,0,0
Qatar,September,2020,0,0
Qatar,October,2020,0,0
Qatar,November,2020,0,0
Qatar,December,2020,0,0
Qatar,January,2021,0,0
Qatar,February,2021,0,0
Qatar,March,2021,0,0
Qatar,April,2021,0,0
Qatar,May,2021,0,0
Qatar,June,2021,0,0
Qatar,July,2021,0,0
Qatar,August,2021,0,0
Qatar,September,2021,0,0
Qatar,October,2021,0,0
Qatar,November,2021,0,0
Qatar,December,2021,0,0
Qatar,January,2022,0,0
Qatar,February,2022,0,0
Qatar,March,2022,0,0
Qatar,April,2022,0,0
Qatar,May,2022,0,0
Qatar,June,2022,0,0
Qatar,July,2022,0,0
Qatar,August,2022,0,0
Qatar,September,2022,0,0
Qatar,October,2022,0,0
Qatar,November,2022,0,0
Qatar,December,2022,0,0
Qatar,January,2023,0,0
Qatar,February,2023,0,0
Qatar,March,2023,0,0
Qatar,April,2023,0,0
Qatar,May,2023,0,0
Qatar,June,2023,0,0
Qatar,July,2023,0,0
Qatar,August,2023,0,0
Qatar,September,2023,0,0
Qatar,October,2023,0,0
Qatar,November,2023,0,0
Qatar,December,2023,0,0
Qatar,January,2024,0,0
Qatar,February,2024,0,0
Qatar,March,2024,0,0
Qatar,April,2024,0,0
Qatar,May,2024,0,0
Qatar,June,2024,0,0
Qatar,July,2024,0,0
Qatar,August,2024,0,0
Qatar,September,2024,0,0
Qatar,October,2024,0,0
Qatar,November,2024,0,0
Qatar,December,2024,0,0
Qatar,January,2025,0,0
Qatar,February,2025,0,0
Qatar,March,2025,0,0
Qatar,April,2025,0,0
Qatar,May,2025,0,0
Qatar,June,2025,0,0
Qatar,July,2025,0,0
Qatar,August,2025,0,0
Qatar,September,2025,0,0
Qatar,October,2025,0,0
Qatar,November,2025,0,0
Qatar,December,2025,0,0
Qatar,January,2026,0,0
Qatar,February,2026,1,0
Qatar,March,2026,1,0
Qatar,April,2026,2,0
