Country,Month,Year,Events,Fatalities
Reunion,January,2020,0,0
Reunion,February,2020,0,0
Reunion,March,2020,0,0
Reunion,April,2020,0,0
Reunion,May,2020,0,0
Reunion,June,2020,2,0
Reunion,July,2020,0,0
Reunion,August,2020,0,0
Reunion,September,2020,0,0
Reunion,October,2020,0,0
Reunion,November,2020,0,0
Reunion,December,2020,0,0
Reunion,January,2021,0,0
Reunion,February,2021,0,0
Reunion,March,2021,0,0
Reunion,April,2021,0,0
Reunion,May,2021,0,0
Reunion,June,2021,0,0
Reunion,July,2021,0,0
Reunion,August,2021,0,0
Reunion,September,2021,0,0
Reunion,October,2021,0,0
Reunion,November,2021,0,0
Reunion,December,2021,1,0
Reunion,January,2022,0,0
Reunion,February,2022,2,0
Reunion,March,2022,1,0
Reunion,April,2022,0,0
Reunion,May,2022,0,0
Reunion,June,2022,1,0
Reunion,July,2022,0,0
Reunion,August,2022,0,0
Reunion,September,2022,1,0
Reunion,October,2022,0,0
Reunion,November,2022,1,0
Reunion,December,2022,0,0
Reunion,January,2023,0,0
Reunion,February,2023,0,0
Reunion,March,2023,0,0
Reunion,April,2023,0,0
Reunion,May,2023,0,0
Reunion,June,2023,1,0
Reunion,July,2023,0,0
Reunion,August,2023,0,0
Reunion,September,2023,0,0
Reunion,October,2023,0,0
Reunion,November,2023,0,0
Reunion,December,2023,0,0
Reunion,January,2024,0,0
Reunion,February,2024,0,0
Reunion,March,2024,0,0
Reunion,April,2024,0,0
Reunion,May,2024,0,0
Reunion,June,2024,0,0
Reunion,July,2024,0,0
Reunion,August,2024,0,0
Reunion,September,2024,0,0
Reunion,October,2024,0,0
Reunion,November,2024,0,0
Reunion,December,2024,0,0
Reunion,January,2025,0,0
Reunion,February,2025,0,0
Reunion,March,2025,0,0
Reunion,April,2025,0,0
Reunion,May,2025,0,0
Reunion,June,2025,0,0
Reunion,July,2025,0,0
Reunion,August,2025,0,0
Reunion,September,2025,0,0
Reunion,October,2025,0,0
Reunion,November,2025,0,0
Reunion,December,2025,0,0
Reunion,January,2026,0,0
Reunion,February,2026,0,0
Reunion,March,2026,1,0
Reunion,April,2026,0,0
