Country,Month,Year,Events,Fatalities
Romania,January,2018,0,0
Romania,February,2018,0,0
Romania,March,2018,0,0
Romania,April,2018,0,0
Romania,May,2018,0,0
Romania,June,2018,0,0
Romania,July,2018,0,0
Romania,August,2018,0,0
Romania,September,2018,0,0
Romania,October,2018,0,0
Romania,November,2018,1,0
Romania,December,2018,0,0
Romania,January,2019,0,0
Romania,February,2019,0,0
Romania,March,2019,0,0
Romania,April,2019,0,0
Romania,May,2019,2,0
Romania,June,2019,0,0
Romania,July,2019,1,1
Romania,August,2019,0,0
Romania,September,2019,0,0
Romania,October,2019,0,0
Romania,November,2019,0,0
Romania,December,2019,0,0
Romania,January,2020,0,0
Romania,February,2020,0,0
Romania,March,2020,0,0
Romania,April,2020,1,0
Romania,May,2020,0,0
Romania,June,2020,0,0
Romania,July,2020,1,0
Romania,August,2020,1,0
Romania,September,2020,1,0
Romania,October,2020,0,0
Romania,November,2020,0,0
Romania,December,2020,1,0
Romania,January,2021,0,0
Romania,February,2021,0,0
Romania,March,2021,0,0
Romania,April,2021,0,0
Romania,May,2021,0,0
Romania,June,2021,1,0
Romania,July,2021,0,0
Romania,August,2021,1,0
Romania,September,2021,1,0
Romania,October,2021,2,0
Romania,November,2021,1,0
Romania,December,2021,0,0
Romania,January,2022,1,0
Romania,February,2022,1,0
Romania,March,2022,1,0
Romania,April,2022,0,0
Romania,May,2022,0,0
Romania,June,2022,0,0
Romania,July,2022,0,0
Romania,August,2022,0,0
Romania,September,2022,0,0
Romania,October,2022,0,0
Romania,November,2022,1,0
Romania,December,2022,1,0
Romania,January,2023,0,0
Romania,February,2023,1,0
Romania,March,2023,1,0
Romania,April,2023,1,0
Romania,May,2023,1,0
Romania,June,2023,0,0
Romania,July,2023,0,0
Romania,August,2023,0,0
Romania,September,2023,0,0
Romania,October,2023,2,1
Romania,November,2023,2,0
Romania,December,2023,0,0
Romania,January,2024,0,0
Romania,February,2024,0,0
Romania,March,2024,0,0
Romania,April,2024,1,0
Romania,May,2024,3,0
Romania,June,2024,0,0
Romania,July,2024,1,0
Romania,August,2024,1,0
Romania,September,2024,0,0
Romania,October,2024,1,0
Romania,November,2024,0,0
Romania,December,2024,0,0
Romania,January,2025,1,0
Romania,February,2025,0,0
Romania,March,2025,1,0
Romania,April,2025,0,0
Romania,May,2025,0,0
Romania,June,2025,0,0
Romania,July,2025,1,0
Romania,August,2025,1,0
Romania,September,2025,0,0
Romania,October,2025,0,0
Romania,November,2025,2,0
Romania,December,2025,0,0
Romania,January,2026,0,0
Romania,February,2026,0,0
Romania,March,2026,0,0
Romania,April,2026,0,0
