Country,Month,Year,Events,Fatalities
Sao Tome and Principe,January,2020,0,0
Sao Tome and Principe,February,2020,0,0
Sao Tome and Principe,March,2020,0,0
Sao Tome and Principe,April,2020,0,0
Sao Tome and Principe,May,2020,0,0
Sao Tome and Principe,June,2020,0,0
Sao Tome and Principe,July,2020,0,0
Sao Tome and Principe,August,2020,0,0
Sao Tome and Principe,September,2020,0,0
Sao Tome and Principe,October,2020,0,0
Sao Tome and Principe,November,2020,0,0
Sao Tome and Principe,December,2020,0,0
Sao Tome and Principe,January,2021,0,0
Sao Tome and Principe,February,2021,0,0
Sao Tome and Principe,March,2021,1,1
Sao Tome and Principe,April,2021,0,0
Sao Tome and Principe,May,2021,0,0
Sao Tome and Principe,June,2021,0,0
Sao Tome and Principe,July,2021,0,0
Sao Tome and Principe,August,2021,0,0
Sao Tome and Principe,September,2021,0,0
Sao Tome and Principe,October,2021,0,0
Sao Tome and Principe,November,2021,0,0
Sao Tome and Principe,December,2021,0,0
Sao Tome and Principe,January,2022,0,0
Sao Tome and Principe,February,2022,0,0
Sao Tome and Principe,March,2022,0,0
Sao Tome and Principe,April,2022,0,0
Sao Tome and Principe,May,2022,0,0
Sao Tome and Principe,June,2022,0,0
Sao Tome and Principe,July,2022,0,0
Sao Tome and Principe,August,2022,0,0
Sao Tome and Principe,September,2022,0,0
Sao Tome and Principe,October,2022,0,0
Sao Tome and Principe,November,2022,1,0
Sao Tome and Principe,December,2022,0,0
Sao Tome and Principe,January,2023,0,0
Sao Tome and Principe,February,2023,0,0
Sao Tome and Principe,March,2023,0,0
Sao Tome and Principe,April,2023,1,0
Sao Tome and Principe,May,2023,0,0
Sao Tome and Principe,June,2023,0,0
Sao Tome and Principe,July,2023,0,0
Sao Tome and Principe,August,2023,0,0
Sao Tome and Principe,September,2023,0,0
Sao Tome and Principe,October,2023,0,0
Sao Tome and Principe,November,2023,0,0
Sao Tome and Principe,December,2023,0,0
Sao Tome and Principe,January,2024,0,0
Sao Tome and Principe,February,2024,0,0
Sao Tome and Principe,March,2024,0,0
Sao Tome and Principe,April,2024,0,0
Sao Tome and Principe,May,2024,0,0
Sao Tome and Principe,June,2024,0,0
Sao Tome and Principe,July,2024,0,0
Sao Tome and Principe,August,2024,0,0
Sao Tome and Principe,September,2024,0,0
Sao Tome and Principe,October,2024,0,0
Sao Tome and Principe,November,2024,1,0
Sao Tome and Principe,December,2024,0,0
Sao Tome and Principe,January,2025,0,0
Sao Tome and Principe,February,2025,0,0
Sao Tome and Principe,March,2025,0,0
Sao Tome and Principe,April,2025,0,0
Sao Tome and Principe,May,2025,0,0
Sao Tome and Principe,June,2025,0,0
Sao Tome and Principe,July,2025,0,0
Sao Tome and Principe,August,2025,0,0
Sao Tome and Principe,September,2025,0,0
Sao Tome and Principe,October,2025,0,0
Sao Tome and Principe,November,2025,0,0
Sao Tome and Principe,December,2025,0,0
Sao Tome and Principe,January,2026,0,0
Sao Tome and Principe,February,2026,0,0
Sao Tome and Principe,March,2026,0,0
Sao Tome and Principe,April,2026,0,0
