Country,Month,Year,Events,Fatalities
Senegal,January,1997,0,0
Senegal,February,1997,0,0
Senegal,March,1997,1,0
Senegal,April,1997,0,0
Senegal,May,1997,0,0
Senegal,June,1997,0,0
Senegal,July,1997,2,3
Senegal,August,1997,2,12
Senegal,September,1997,5,39
Senegal,October,1997,2,1
Senegal,November,1997,5,14
Senegal,December,1997,4,14
Senegal,January,1998,2,9
Senegal,February,1998,4,17
Senegal,March,1998,0,0
Senegal,April,1998,5,38
Senegal,May,1998,0,0
Senegal,June,1998,0,0
Senegal,July,1998,0,0
Senegal,August,1998,0,0
Senegal,September,1998,0,0
Senegal,October,1998,2,4
Senegal,November,1998,2,11
Senegal,December,1998,0,0
Senegal,January,1999,0,0
Senegal,February,1999,0,0
Senegal,March,1999,1,3
Senegal,April,1999,1,3
Senegal,May,1999,4,30
Senegal,June,1999,1,2
Senegal,July,1999,1,0
Senegal,August,1999,1,0
Senegal,September,1999,1,0
Senegal,October,1999,0,0
Senegal,November,1999,0,0
Senegal,December,1999,1,2
Senegal,January,2000,0,0
Senegal,February,2000,6,3
Senegal,March,2000,2,2
Senegal,April,2000,1,0
Senegal,May,2000,1,2
Senegal,June,2000,0,0
Senegal,July,2000,0,0
Senegal,August,2000,1,2
Senegal,September,2000,1,0
Senegal,October,2000,0,0
Senegal,November,2000,2,0
Senegal,December,2000,4,6
Senegal,January,2001,0,0
Senegal,February,2001,3,41
Senegal,March,2001,5,17
Senegal,April,2001,4,1
Senegal,May,2001,0,0
Senegal,June,2001,1,0
Senegal,July,2001,0,0
Senegal,August,2001,1,0
Senegal,September,2001,3,2
Senegal,October,2001,0,0
Senegal,November,2001,3,2
Senegal,December,2001,2,4
Senegal,January,2002,2,1
Senegal,February,2002,0,0
Senegal,March,2002,6,6
Senegal,April,2002,3,10
Senegal,May,2002,2,9
Senegal,June,2002,0,0
Senegal,July,2002,0,0
Senegal,August,2002,2,3
Senegal,September,2002,1,5
Senegal,October,2002,1,3
Senegal,November,2002,0,0
Senegal,December,2002,0,0
Senegal,January,2003,1,0
Senegal,February,2003,2,1
Senegal,March,2003,1,0
Senegal,April,2003,0,0
Senegal,May,2003,2,0
Senegal,June,2003,0,0
Senegal,July,2003,0,0
Senegal,August,2003,0,0
Senegal,September,2003,0,0
Senegal,October,2003,2,0
Senegal,November,2003,0,0
Senegal,December,2003,1,0
Senegal,January,2004,0,0
Senegal,February,2004,0,0
Senegal,March,2004,0,0
Senegal,April,2004,0,0
Senegal,May,2004,0,0
Senegal,June,2004,0,0
Senegal,July,2004,0,0
Senegal,August,2004,0,0
Senegal,September,2004,0,0
Senegal,October,2004,0,0
Senegal,November,2004,0,0
Senegal,December,2004,0,0
Senegal,January,2005,0,0
Senegal,February,2005,0,0
Senegal,March,2005,0,0
Senegal,April,2005,0,0
Senegal,May,2005,0,0
Senegal,June,2005,0,0
Senegal,July,2005,0,0
Senegal,August,2005,0,0
Senegal,September,2005,0,0
Senegal,October,2005,0,0
Senegal,November,2005,0,0
Senegal,December,2005,0,0
Senegal,January,2006,1,0
Senegal,February,2006,0,0
Senegal,March,2006,0,0
Senegal,April,2006,0,0
Senegal,May,2006,1,0
Senegal,June,2006,0,0
Senegal,July,2006,0,0
Senegal,August,2006,0,0
Senegal,September,2006,1,1
Senegal,October,2006,1,0
Senegal,November,2006,0,0
Senegal,December,2006,3,4
