Country,Month,Year,Events,Fatalities
Serbia,January,2018,0,0
Serbia,February,2018,1,0
Serbia,March,2018,3,0
Serbia,April,2018,3,2
Serbia,May,2018,0,0
Serbia,June,2018,1,1
Serbia,July,2018,2,1
Serbia,August,2018,1,0
Serbia,September,2018,1,0
Serbia,October,2018,2,0
Serbia,November,2018,1,0
Serbia,December,2018,1,1
Serbia,January,2019,1,0
Serbia,February,2019,1,0
Serbia,March,2019,4,0
Serbia,April,2019,4,0
Serbia,May,2019,5,0
Serbia,June,2019,3,0
Serbia,July,2019,1,0
Serbia,August,2019,0,0
Serbia,September,2019,0,0
Serbia,October,2019,0,0
Serbia,November,2019,2,0
Serbia,December,2019,0,0
Serbia,January,2020,0,0
Serbia,February,2020,2,0
Serbia,March,2020,1,0
Serbia,April,2020,0,0
Serbia,May,2020,0,0
Serbia,June,2020,1,0
Serbia,July,2020,1,0
Serbia,August,2020,0,0
Serbia,September,2020,0,0
Serbia,October,2020,3,0
Serbia,November,2020,0,0
Serbia,December,2020,0,0
Serbia,January,2021,0,0
Serbia,February,2021,0,0
Serbia,March,2021,0,0
Serbia,April,2021,1,0
Serbia,May,2021,0,0
Serbia,June,2021,0,0
Serbia,July,2021,0,0
Serbia,August,2021,3,1
Serbia,September,2021,1,0
Serbia,October,2021,0,0
Serbia,November,2021,0,0
Serbia,December,2021,0,0
Serbia,January,2022,1,0
Serbia,February,2022,3,0
Serbia,March,2022,0,0
Serbia,April,2022,2,0
Serbia,May,2022,0,0
Serbia,June,2022,1,0
Serbia,July,2022,0,0
Serbia,August,2022,0,0
Serbia,September,2022,0,0
Serbia,October,2022,1,0
Serbia,November,2022,0,0
Serbia,December,2022,0,0
Serbia,January,2023,2,0
Serbia,February,2023,1,0
Serbia,March,2023,0,0
Serbia,April,2023,3,0
Serbia,May,2023,1,0
Serbia,June,2023,0,0
Serbia,July,2023,0,0
Serbia,August,2023,0,0
Serbia,September,2023,0,0
Serbia,October,2023,0,0
Serbia,November,2023,0,0
Serbia,December,2023,1,0
Serbia,January,2024,0,0
Serbia,February,2024,2,0
Serbia,March,2024,1,0
Serbia,April,2024,3,0
Serbia,May,2024,1,0
Serbia,June,2024,4,1
Serbia,July,2024,2,0
Serbia,August,2024,3,0
Serbia,September,2024,3,0
Serbia,October,2024,0,0
Serbia,November,2024,2,0
Serbia,December,2024,5,0
Serbia,January,2025,12,0
Serbia,February,2025,6,0
Serbia,March,2025,12,0
Serbia,April,2025,8,0
Serbia,May,2025,13,0
Serbia,June,2025,13,0
Serbia,July,2025,10,0
Serbia,August,2025,13,0
Serbia,September,2025,7,0
Serbia,October,2025,7,1
Serbia,November,2025,13,1
Serbia,December,2025,2,0
Serbia,January,2026,3,0
Serbia,February,2026,1,0
Serbia,March,2026,12,0
Serbia,April,2026,4,0
