Country,Month,Year,Events,Fatalities
Slovenia,January,2020,0,0
Slovenia,February,2020,0,0
Slovenia,March,2020,0,0
Slovenia,April,2020,0,0
Slovenia,May,2020,0,0
Slovenia,June,2020,0,0
Slovenia,July,2020,0,0
Slovenia,August,2020,0,0
Slovenia,September,2020,0,0
Slovenia,October,2020,0,0
Slovenia,November,2020,0,0
Slovenia,December,2020,0,0
Slovenia,January,2021,0,0
Slovenia,February,2021,0,0
Slovenia,March,2021,1,0
Slovenia,April,2021,0,0
Slovenia,May,2021,0,0
Slovenia,June,2021,0,0
Slovenia,July,2021,0,0
Slovenia,August,2021,0,0
Slovenia,September,2021,0,0
Slovenia,October,2021,0,0
Slovenia,November,2021,0,0
Slovenia,December,2021,0,0
Slovenia,January,2022,0,0
Slovenia,February,2022,0,0
Slovenia,March,2022,0,0
Slovenia,April,2022,0,0
Slovenia,May,2022,0,0
Slovenia,June,2022,0,0
Slovenia,July,2022,0,0
Slovenia,August,2022,0,0
Slovenia,September,2022,0,0
Slovenia,October,2022,2,0
Slovenia,November,2022,0,0
Slovenia,December,2022,0,0
Slovenia,January,2023,0,0
Slovenia,February,2023,0,0
Slovenia,March,2023,0,0
Slovenia,April,2023,0,0
Slovenia,May,2023,0,0
Slovenia,June,2023,0,0
Slovenia,July,2023,0,0
Slovenia,August,2023,1,0
Slovenia,September,2023,1,0
Slovenia,October,2023,0,0
Slovenia,November,2023,0,0
Slovenia,December,2023,0,0
Slovenia,January,2024,0,0
Slovenia,February,2024,0,0
Slovenia,March,2024,0,0
Slovenia,April,2024,0,0
Slovenia,May,2024,1,0
Slovenia,June,2024,1,0
Slovenia,July,2024,0,0
Slovenia,August,2024,0,0
Slovenia,September,2024,1,0
Slovenia,October,2024,0,0
Slovenia,November,2024,0,0
Slovenia,December,2024,1,1
Slovenia,January,2025,0,0
Slovenia,February,2025,0,0
Slovenia,March,2025,0,0
Slovenia,April,2025,0,0
Slovenia,May,2025,0,0
Slovenia,June,2025,1,0
Slovenia,July,2025,1,0
Slovenia,August,2025,1,0
Slovenia,September,2025,1,0
Slovenia,October,2025,1,0
Slovenia,November,2025,0,0
Slovenia,December,2025,0,0
Slovenia,January,2026,0,0
Slovenia,February,2026,0,0
Slovenia,March,2026,2,0
Slovenia,April,2026,0,0
