Country,Month,Year,Events,Fatalities
Solomon Islands,January,2021,0,0
Solomon Islands,February,2021,1,1
Solomon Islands,March,2021,0,0
Solomon Islands,April,2021,1,0
Solomon Islands,May,2021,0,0
Solomon Islands,June,2021,0,0
Solomon Islands,July,2021,0,0
Solomon Islands,August,2021,2,0
Solomon Islands,September,2021,0,0
Solomon Islands,October,2021,1,1
Solomon Islands,November,2021,1,3
Solomon Islands,December,2021,0,0
Solomon Islands,January,2022,0,0
Solomon Islands,February,2022,1,0
Solomon Islands,March,2022,0,0
Solomon Islands,April,2022,0,0
Solomon Islands,May,2022,1,1
Solomon Islands,June,2022,0,0
Solomon Islands,July,2022,0,0
Solomon Islands,August,2022,0,0
Solomon Islands,September,2022,0,0
Solomon Islands,October,2022,0,0
Solomon Islands,November,2022,0,0
Solomon Islands,December,2022,0,0
Solomon Islands,January,2023,1,1
Solomon Islands,February,2023,0,0
Solomon Islands,March,2023,0,0
Solomon Islands,April,2023,0,0
Solomon Islands,May,2023,0,0
Solomon Islands,June,2023,0,0
Solomon Islands,July,2023,0,0
Solomon Islands,August,2023,0,0
Solomon Islands,September,2023,0,0
Solomon Islands,October,2023,0,0
Solomon Islands,November,2023,0,0
Solomon Islands,December,2023,0,0
Solomon Islands,January,2024,0,0
Solomon Islands,February,2024,0,0
Solomon Islands,March,2024,0,0
Solomon Islands,April,2024,0,0
Solomon Islands,May,2024,0,0
Solomon Islands,June,2024,0,0
Solomon Islands,July,2024,0,0
Solomon Islands,August,2024,0,0
Solomon Islands,September,2024,0,0
Solomon Islands,October,2024,0,0
Solomon Islands,November,2024,0,0
Solomon Islands,December,2024,0,0
Solomon Islands,January,2025,0,0
Solomon Islands,February,2025,0,0
Solomon Islands,March,2025,0,0
Solomon Islands,April,2025,0,0
Solomon Islands,May,2025,0,0
Solomon Islands,June,2025,0,0
Solomon Islands,July,2025,0,0
Solomon Islands,August,2025,0,0
Solomon Islands,September,2025,0,0
Solomon Islands,October,2025,0,0
Solomon Islands,November,2025,0,0
Solomon Islands,December,2025,0,0
Solomon Islands,January,2026,0,0
Solomon Islands,February,2026,0,0
Solomon Islands,March,2026,0,0
Solomon Islands,April,2026,0,0
